resolution,particle_count,layout,jitter_fraction,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure
16,256,regular,0.0,physical_nu_laplacian,uniform_density,0.0,0.0,0.0,1.1746485029107134e-07,1.86824617998127e-08,-1.1641532182693481e-08,-2.7729663848876953,,,,
16,256,regular,0.0,physical_nu_laplacian,density_perturbation_05,0.05,2.139359639841132e-05,0.00013071834109723568,0.06945458054542542,0.011033950373530388,-7.450580596923828e-09,-2.7748827934265137,,,,
16,256,regular,0.0,Antuono_pressure,all_positive_pressure,,3.740683318653737e-10,1.862645149230957e-09,2.3743331212244811e-07,3.925237024304806e-08,,,1.01,0.005,0.5380630493164062,1.461935043334961
16,256,regular,0.0,Antuono_pressure,mixed_sign_pressure,,0.001296713831834495,0.007594817318022251,2.055947021517568e-07,3.2748271650007155e-08,,,1.0,0.005,-0.4619419574737549,0.46193599700927734
24,576,regular,0.0,physical_nu_laplacian,uniform_density,0.0,4.3075387701208e-10,3.725290298461914e-09,3.0940950068725215e-07,3.1536256273057006e-08,7.916241884231567e-09,-2.977099895477295,,,,
24,576,regular,0.0,physical_nu_laplacian,density_perturbation_05,0.05,9.818254511628766e-06,5.978415720164776e-05,0.07456698268651962,0.007591814734041691,-1.0477378964424133e-08,-2.9786081314086914,,,,
24,576,regular,0.0,Antuono_pressure,all_positive_pressure,,2.93467072864928e-09,2.2351741790771484e-08,1.9834251361317e-06,2.8705193244604743e-07,,,1.01,0.005,0.5170345306396484,1.4829635620117188
24,576,regular,0.0,Antuono_pressure,mixed_sign_pressure,,0.000614103686530143,0.004186809994280338,1.0222777291346574e-06,1.425341196181762e-07,,,1.0,0.005,-0.48296451568603516,0.48296451568603516
32,1024,regular,0.0,physical_nu_laplacian,uniform_density,0.0,0.0,0.0,1.0671280392671179e-07,8.048277599925768e-09,3.958120942115784e-09,-3.052983283996582,,,,
32,1024,regular,0.0,physical_nu_laplacian,density_perturbation_05,0.05,5.7724946600501426e-06,3.39635880663991e-05,0.07646775990724564,0.0057609654031693935,1.3969838619232178e-09,-3.054287910461426,,,,
32,1024,regular,0.0,Antuono_pressure,all_positive_pressure,,3.260460790244224e-10,3.725290298461914e-09,1.1207571048998943e-07,1.5487698235006064e-08,,,1.01,0.005,0.5096077919006348,1.4903903007507324
32,1024,regular,0.0,Antuono_pressure,mixed_sign_pressure,,0.00036762584932148457,0.0025223891716450453,3.5770227668763255e-07,4.761955096910242e-08,,,1.0,0.005,-0.49039125442504883,0.49039125442504883
16,256,jitter_05,0.05,physical_nu_laplacian,uniform_density,0.0,2.8531424445255027e-10,3.958120942115784e-09,4.050517077303084e-08,6.423693132973085e-09,-0.0009231767617166042,-2.769134998321533,,,,
16,256,jitter_05,0.05,physical_nu_laplacian,density_perturbation_05,0.05,2.0921570467180572e-05,0.0001365826465189457,0.06950419396162033,0.011008384637534618,-0.0009397722315043211,-2.771240234375,,,,
