resolution,particle_count,layout,jitter_fraction,operator,norm,error,observed_order_from_previous
16,256,jitter_05,0.05,generic_sph_divergence,l1,1.1680903434753418,
24,576,jitter_05,0.05,generic_sph_divergence,l1,0.5686097741127014,1.7755686149322036
32,1024,jitter_05,0.05,generic_sph_divergence,l1,0.3336268961429596,1.85333445754011
16,256,jitter_05,0.05,generic_sph_divergence,l2,1.4666997194290161,
24,576,jitter_05,0.05,generic_sph_divergence,l2,0.7023531198501587,1.8160225256148155
32,1024,jitter_05,0.05,generic_sph_divergence,l2,0.410977303981781,1.8628143950723173
16,256,jitter_05,0.05,generic_sph_divergence,linf,2.8324766159057617,
24,576,jitter_05,0.05,generic_sph_divergence,linf,1.4794034957885742,1.6018949155267617
32,1024,jitter_05,0.05,generic_sph_divergence,linf,0.9563608169555664,1.5164621589781098
16,256,jitter_05,0.05,generic_sph_gradient,l1,0.7194442749023438,
24,576,jitter_05,0.05,generic_sph_gradient,l1,0.33885252475738525,1.8569146296566506
32,1024,jitter_05,0.05,generic_sph_gradient,l1,0.1967504620552063,1.889685867969281
16,256,jitter_05,0.05,generic_sph_gradient,l2,0.8220709562301636,
24,576,jitter_05,0.05,generic_sph_gradient,l2,0.39499443769454956,1.8076895276696312
32,1024,jitter_05,0.05,generic_sph_gradient,l2,0.2321879118680954,1.8469161797861924
16,256,jitter_05,0.05,generic_sph_gradient,linf,1.520883560180664,
24,576,jitter_05,0.05,generic_sph_gradient,linf,0.8702030181884766,1.376987032223694
32,1024,jitter_05,0.05,generic_sph_gradient,linf,0.5757179260253906,1.4359904534829286
16,256,jitter_05,0.05,physical_nu_generic_laplacian,l1,3.271660566329956,
24,576,jitter_05,0.05,physical_nu_generic_laplacian,l1,1.8285223245620728,1.434869474768126
32,1024,jitter_05,0.05,physical_nu_generic_laplacian,l1,1.4719955921173096,0.7539195615821663
16,256,jitter_05,0.05,physical_nu_generic_laplacian,l2,3.8746464252471924,
24,576,jitter_05,0.05,physical_nu_generic_laplacian,l2,2.1800143718719482,1.418427708482929
32,1024,jitter_05,0.05,physical_nu_generic_laplacian,l2,1.8098077774047852,0.6469323183252579
16,256,jitter_05,0.05,physical_nu_generic_laplacian,linf,7.701824188232422,
24,576,jitter_05,0.05,physical_nu_generic_laplacian,linf,5.350982666015625,0.8981709674871458
32,1024,jitter_05,0.05,physical_nu_generic_laplacian,linf,5.71497917175293,-0.2287609799917306
16,256,jitter_10,0.1,generic_sph_divergence,l1,1.1769936084747314,
24,576,jitter_10,0.1,generic_sph_divergence,l1,0.5881801247596741,1.7108388056281512
32,1024,jitter_10,0.1,generic_sph_divergence,l1,0.3517597019672394,1.7869899004175192
16,256,jitter_10,0.1,generic_sph_divergence,l2,1.4629433155059814,
24,576,jitter_10,0.1,generic_sph_divergence,l2,0.7166470289230347,1.7600089626493822
32,1024,jitter_10,0.1,generic_sph_divergence,l2,0.4234042465686798,1.8292973133668167
16,256,jitter_10,0.1,generic_sph_divergence,linf,2.8259763717651367,
24,576,jitter_10,0.1,generic_sph_divergence,linf,1.6699886322021484,1.2973671306110235
32,1024,jitter_10,0.1,generic_sph_divergence,linf,1.0503158569335938,1.6119387639564349
