support_family,resolution,layout,jitter_fraction,seed,candidate,operator_variant,operator,norm,float32_error,float64_error,absolute_error_difference,relative_error_difference
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,mean_abs,0.0004156713839620352,0.00041575045503263494,7.907107059976042e-08,0.0001901887770478895
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,L2,0.0004156713839620352,0.00041575045503263494,7.907107059976042e-08,0.0001901887770478895
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S0,Linf,0.0004156827926635742,0.00041575045503283725,6.766236926303293e-08,0.00016274755311497795
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S1,L2,7.786414291111043e-10,5.885308957643755e-19,7.786414285225734e-10,0.9999999992441566
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,kernel_S1,Linf,2.7939677238464355e-09,7.37257477290143e-18,2.7939677164738608e-09,0.9999999973612527
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,mean_abs,4.394678398966789e-08,2.3527187142935446e-16,4.394678375439602e-08,0.9999999946464371
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,L2,1.3409751886683807e-07,2.475736667744043e-16,1.340975186192644e-07,0.9999999981537788
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S0,Linf,7.152557373046875e-07,6.661338147750939e-16,7.152557366385537e-07,0.9999999990686774
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,L2,5.700148686393902e-10,2.113727699082614e-18,5.700148665256625e-10,0.9999999962918025
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,kernel_S1,Linf,3.3796823117882013e-09,7.37257477290143e-18,3.3796823044156266e-09,0.9999999978185599
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,mean_abs,2.155429683625698e-07,2.3548871186385156e-16,2.155429681270811e-07,0.9999999989074628
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,L2,2.3855679387452255e-07,2.4786521584512986e-16,2.385567936266573e-07,0.9999999989609801
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S0,Linf,5.960464477539062e-07,6.661338147750939e-16,5.960464470877724e-07,0.9999999988824129
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,L2,5.98765148573932e-10,2.1262958443623714e-18,5.987651464476361e-10,0.999999996448865
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,kernel_S1,Linf,4.423782229423523e-09,8.239936510889834e-18,4.4237822211835864e-09,0.9999999981373549
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,L1,0.04274247586727142,0.042742366191287046,1.0967598437772175e-07,2.5659717213925446e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,L2,0.049828510731458664,0.04982836881839263,1.4191306603461573e-07,2.8480294504371075e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_kernel_weights,scalar_interpolation,Linf,0.09272682666778564,0.09272607139939892,7.552683867206866e-07,8.145090410853836e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L1,0.043006472289562225,0.0430064249112303,4.737833192436369e-08,1.1016558532252024e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,L2,0.0501362606883049,0.050136204262695334,5.642560956670151e-08,1.1254451128195866e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_normalized_weights,scalar_interpolation,Linf,0.09329938888549805,0.09329892521871064,4.636667874091671e-07,4.969665856849326e-06
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L1,0.04300646111369133,0.0430064249112303,3.620246102897795e-08,8.417912120988888e-07
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,L2,0.050136253237724304,0.05013620426269534,4.8975028962838785e-08,9.768386307333438e-07
constant_neighbor,32,regular,0.0,20261001,linear_reproducing_kernel,local_linear_reproducing_kernel_weights,scalar_interpolation,Linf,0.09329938888549805,0.09329892521871064,4.636667874091671e-07,4.969665856849326e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,L1,0.19540806114673615,0.19540755701769535,5.041290407903354e-07,2.579878423806549e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,L2,0.2273169755935669,0.22731642392847418,5.51665092718423e-07,2.4268539174336754e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,gradient,Linf,0.39882516860961914,0.3988225846912492,2.5839183699361e-06,6.478824741538088e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L1,0.1965814232826233,0.19658113012581058,2.9315681271402383e-07,1.4912742405601316e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,L2,0.22868190705776215,0.2286816343953919,2.7266237023759743e-07,1.192321569054986e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,gradient,Linf,0.40121984481811523,0.40121782194535527,2.0228727599658214e-06,5.041806346550104e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L1,0.19169455766677856,0.19169408679020306,4.708765755090383e-07,2.456389900894109e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,L2,0.2229970395565033,0.22299656657310096,4.7298340233314917e-07,2.121029961984334e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,gradient,Linf,0.39124584197998047,0.3912434725171572,2.369462823281765e-06,6.056199374006401e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L1,0.17898672819137573,0.1789863936444984,3.34546877339692e-07,1.8691155524223487e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,L2,0.20821411907672882,0.20821378433914475,3.34737584067879e-07,1.6076603524880325e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,gradient,Linf,0.3653092384338379,0.36530734648814,1.891945697884978e-06,5.179025052846106e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,L1,0.3274611234664917,0.32746004281829744,1.0806481942626789e-06,3.300080885397863e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,L2,0.40663716197013855,0.40663598104498216,1.1809251563854595e-06,2.904125020605423e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_difference_gradient,divergence,Linf,0.7976503372192383,0.7976451693824913,5.167836746977628e-06,6.478824750446036e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L1,0.3294273614883423,0.32942669296273897,6.685256033200915e-07,2.029356639654078e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,L2,0.40907883644104004,0.40907814377108004,6.926699600007247e-07,1.6932432047253028e-06
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_difference_gradient,divergence,Linf,0.8024377822875977,0.8024356438907052,2.1383968924482133e-06,2.6648756322914532e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L1,0.32123804092407227,0.321237084309129,9.566149432593818e-07,2.9779005640415015e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,L2,0.39890947937965393,0.39890838528520867,1.0940944452642043e-06,2.7427135774402653e-06
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,local_first_moment_inverse_gradient,divergence,Linf,0.7824926376342773,0.7824869450343073,5.692599970075207e-06,7.274956589094227e-06
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L1,0.2999420166015625,0.29994178844072317,2.2816083933285825e-07,7.606831544242864e-07
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,L2,0.3724643886089325,0.372464140507847,2.481010855093224e-07,6.661068630907831e-07
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_gradient,divergence,Linf,0.730616569519043,0.7306146929762765,1.8765427665101697e-06,2.5684371868892565e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L1,0.9117880463600159,0.9117863730605622,1.6732994536639012e-06,1.835184679535934e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,L2,1.0629490613937378,1.0629460118590088,3.0495347289605235e-06,2.8689377880083704e-06
constant_neighbor,32,regular,0.0,20261001,raw_sph,raw_brookshaw_component_laplacian,Laplacian,Linf,1.9781112670898438,1.9780460433809353,6.522370890849061e-05,3.2972719984779406e-05
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L1,0.9225330948829651,0.9225333215970487,2.2671408361762957e-07,2.4575164745827524e-07
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,L2,1.0754755735397339,1.075474633062425,9.404773089194407e-07,8.744757501316644e-07
constant_neighbor,32,regular,0.0,20261001,shepard_normalized,nodewise_S0_scaled_brookshaw_laplacian,Laplacian,Linf,2.001422882080078,2.001360670204832,6.221187524602101e-05,3.108382331542259e-05
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L1,0.8587064146995544,0.8587071739241265,7.592245720999813e-07,8.841483979113288e-07
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,L2,1.0010675191879272,1.0010671280527499,3.9113517735778203e-07,3.907180783121138e-07
constant_neighbor,32,regular,0.0,20261001,first_order_gradient_matrix,isotropic_quadratic_response_laplacian,Laplacian,Linf,1.8629531860351562,1.8628950574265986,5.812860855769486e-05,3.120239896172995e-05
constant_neighbor,32,regular,0.0,20261001,quadratic_weighted_least_squares,local_quadratic_weighted_least_squares_laplacian,Laplacian,L1,1.104093313217163,1.1040969633647393,3.650147576195195e-06,3.306002731020433e-06
