support_family,resolution,layout,jitter_fraction,dx,support_ratio,support,ensemble_neighbor_count_mean,ensemble_neighbor_count_std,mean_particle_neighbor_std,minimum_particle_neighbor_count,maximum_particle_neighbor_count,maximum_duplicate_edges,maximum_strict_omissions
constant_neighbor,16,jitter_05,0.05,0.125,4.0,0.5,47.0046875,0.05452605136792679,0.8232809335939205,45,49,0,0
constant_neighbor,16,jitter_10,0.1,0.125,4.0,0.5,47.54140625,0.09758156866643823,1.0880558569326424,45,51,0,0
constant_neighbor,16,regular,0.0,0.125,4.0,0.5,49.0,0.0,0.0,49,49,0,0
constant_neighbor,24,jitter_05,0.05,0.08333333333333333,4.0,0.3333333333333333,46.98923611111111,0.041809490299223304,0.8186450503135717,45,49,0,0
constant_neighbor,24,jitter_10,0.1,0.08333333333333333,4.0,0.3333333333333333,47.53923611111111,0.03962493752510359,1.0729364644788704,45,52,0,0
constant_neighbor,24,regular,0.0,0.08333333333333333,4.0,0.3333333333333333,49.0,0.0,0.0,49,49,0,0
constant_neighbor,32,jitter_05,0.05,0.0625,4.0,0.25,47.00390625,0.021474508466760665,0.8146245717552398,45,49,0,0
constant_neighbor,32,jitter_10,0.1,0.0625,4.0,0.25,47.565234375,0.036051487402374155,1.0917044691282909,45,52,0,0
constant_neighbor,32,regular,0.0,0.0625,4.0,0.25,49.0,0.0,0.0,49,49,0,0
constant_neighbor,48,jitter_05,0.05,0.041666666666666664,4.0,0.16666666666666666,46.99036458333334,0.023576228374058924,0.8155780000712121,45,49,0,0
constant_neighbor,48,jitter_10,0.1,0.041666666666666664,4.0,0.16666666666666666,47.563107638888894,0.025198709019221627,1.0962689675034294,45,53,0,0
constant_neighbor,48,regular,0.0,0.041666666666666664,4.0,0.16666666666666666,49.0,0.0,0.0,49,49,0,0
constant_neighbor,64,jitter_05,0.05,0.03125,4.0,0.125,46.993505859375,0.017983442556140955,0.8155197428125339,45,49,0,0
constant_neighbor,64,jitter_10,0.1,0.03125,4.0,0.125,47.550927734375,0.024717140056374105,1.0903561056785775,45,52,0,0
constant_neighbor,64,regular,0.0,0.03125,4.0,0.125,49.0,0.0,0.0,49,49,0,0
increasing_neighbor,16,jitter_05,0.05,0.125,4.0,0.5,47.0046875,0.05452605136792679,0.8232809335939205,45,49,0,0
increasing_neighbor,16,jitter_10,0.1,0.125,4.0,0.5,47.54140625,0.09758156866643823,1.0880558569326424,45,51,0,0
increasing_neighbor,16,regular,0.0,0.125,4.0,0.5,49.0,0.0,0.0,49,49,0,0
increasing_neighbor,24,jitter_05,0.05,0.08333333333333333,4.5,0.375,66.93229166666666,0.07646338258857137,1.0705589747555517,63,69,0,0
increasing_neighbor,24,jitter_10,0.1,0.08333333333333333,4.5,0.375,66.00381944444445,0.05282268435540031,1.1172437256530212,62,69,0,0
increasing_neighbor,24,regular,0.0,0.08333333333333333,4.5,0.375,69.0,0.0,0.0,69,69,0,0
increasing_neighbor,32,jitter_05,0.05,0.0625,5.0,0.3125,74.9990234375,0.03457576806842683,1.4197134722770026,70,80,0,0
increasing_neighbor,32,jitter_10,0.1,0.0625,5.0,0.3125,75.9642578125,0.041758626547905804,1.6791530561160914,70,82,0,0
increasing_neighbor,32,regular,0.0,0.0625,5.0,0.3125,81.0,0.0,0.0,81,81,0,0
increasing_neighbor,48,jitter_05,0.05,0.041666666666666664,5.5,0.22916666666666666,96.9984375,0.0010670769047806793,0.036189174390614434,96,97,0,0
increasing_neighbor,48,jitter_10,0.1,0.041666666666666664,5.5,0.22916666666666666,96.39826388888889,0.019815004109515758,0.8146462809100496,93,99,0,0
increasing_neighbor,48,regular,0.0,0.041666666666666664,5.5,0.22916666666666666,97.0,0.0,0.0,97,97,0,0
increasing_neighbor,64,jitter_05,0.05,0.03125,6.0,0.1875,111.122509765625,0.01781382832770272,0.8934222036036216,109,115,0,0
increasing_neighbor,64,jitter_10,0.1,0.03125,6.0,0.1875,112.216796875,0.02080788647720809,1.289080028909606,108,117,0,0
increasing_neighbor,64,regular,0.0,0.03125,6.0,0.1875,113.0,0.0,0.0,113,113,0,0
