AD_FD_threshold_applies,autograd_gradient,code_git_hash,config_sha256,density_scalar_scope,finite,finite_difference_gradient,finite_difference_step,gradient_norm,gradient_scope,loss,nonzero,parameter,parameter_value,pid,relative_difference,resolution,schema_version,stage01c_baseline_regression_scope,status,steps,support_ratio,time_step,topology_differentiability_claimed,wall_time_seconds
True,0.4999630965993064,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,0.49996309657573956,1e-06,0.4999630965993064,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24998154830000585,True,initial_velocity_amplitude,1.0,66163,4.713710937131066e-11,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,1,4.0,0.0001,False,0.14899449999211356
False,0.49940977176705476,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,0.4994097717453405,1e-06,0.49940977176705476,rebuilt_neighbor_indices_continuous_tensor_value_path,0.2497049058408068,True,initial_velocity_amplitude,1.0,66192,4.34798090536929e-11,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,16,4.0,0.0001,False,1.3496435839915648
True,0.49988929733631693,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,0.4998892973312463,1e-06,0.49988929733631693,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24994464869757244,True,initial_velocity_amplitude,1.0,66169,1.0143467013770841e-11,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,3,4.0,0.0001,False,0.29988850001245737
True,0.4998155076627141,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,0.4998155076485489,1e-06,0.4998155076627141,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24990775404281107,True,initial_velocity_amplitude,1.0,66176,2.8340906457926268e-11,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,5,4.0,0.0001,False,0.46595683303894475
True,0.49970483895242335,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,0.4997048389382419,1e-06,0.49970483895242335,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24985242079181708,True,initial_velocity_amplitude,1.0,66186,2.8379620727266252e-11,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,8,4.0,0.0001,False,0.6913817499880679
True,-0.0007473733821812486,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.0007473733854013176,1e-06,0.0007473733821812486,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24998154830000585,True,local_velocity_x_particle_0,0.0,66200,4.308514355257429e-09,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,1,4.0,0.0001,False,0.15088074997765943
False,-0.0007464958392166353,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.0007464958373670783,1e-06,0.0007464958392166353,rebuilt_neighbor_indices_continuous_tensor_value_path,0.2497049058408068,True,local_velocity_x_particle_0,0.0,66232,2.4776522214472972e-09,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,16,4.0,0.0001,False,1.3592771660187282
True,-0.0007472625978820283,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.00074726258514346,1e-06,0.0007472625978820283,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24994464869757244,True,local_velocity_x_particle_0,0.0,66206,1.704697702560288e-08,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,3,4.0,0.0001,False,0.35367179196327925
True,-0.0007471508534160365,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.0007471508411960315,1e-06,0.0007471508534160365,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24990775404281107,True,local_velocity_x_particle_0,0.0,66216,1.6355472269619777e-08,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,5,4.0,0.0001,False,0.4576554999803193
True,-0.0007469802894942592,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.0007469803109394491,1e-06,0.0007469802894942592,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24985242079181708,True,local_velocity_x_particle_0,0.0,66222,2.8709176793445738e-08,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,8,4.0,0.0001,False,0.6889732499839738
True,-0.0009225487813835777,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.0009225488012409855,1e-06,0.0009225487813835777,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24998154830000585,True,physical_viscosity,0.02,66124,2.15245066624675e-08,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,1,4.0,0.0001,False,0.15381612500641495
False,-0.014744501167383465,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.014744501147800904,1e-06,0.014744501167383465,rebuilt_neighbor_indices_continuous_tensor_value_path,0.2497049058408068,True,physical_viscosity,0.02,66155,1.328126400797756e-09,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,16,4.0,0.0001,False,1.3526523750042543
True,-0.002767238146810944,dc403e7df9d33b89080ef66a7703ca418bcc761c,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,EOS_reference_density_only_with_fixed_baseline_masses,True,-0.002767238160839014,1e-06,0.002767238146810944,rebuilt_neighbor_indices_continuous_tensor_value_path,0.24994464869757244,True,physical_viscosity,0.02,66134,5.069339580822767e-09,16,sph-pio-poc.stage01d2.ad.v1,frozen_identity_and_current_20_case_matrix,PASS,3,4.0,0.0001,False,0.3037203749991022
