schema_version,run_id,config_hash,git_hash,sample_index,step,time,dt,status,particle_count,dtype,device,state_all_finite,nonfinite_position_count,nonfinite_velocity_count,nonfinite_density_count,nonfinite_pressure_count,nonfinite_sound_speed_count,nonpositive_density_count,nonpositive_sound_speed_count,position_drift_linf,velocity_linf,relative_density_drift,total_mass,velocity_error_l1,velocity_error_l2,velocity_relative_l2,velocity_error_linf,modal_amplitude,exact_modal_amplitude,modal_amplitude_error,modal_amplitude_relative_error,kinetic_energy,exact_kinetic_energy,kinetic_energy_error,kinetic_energy_relative_error,density_mean,density_std,density_fluctuation_rms,density_fluctuation_relative_rms,density_fluctuation_linf,density_fluctuation_relative_linf,density_minimum,density_maximum,pressure_minimum,pressure_maximum,pressure_absolute_maximum,maximum_speed,maximum_mach,momentum_x,momentum_y,momentum_norm,momentum_drift_x,momentum_drift_y,momentum_drift_absolute,momentum_drift_normalized,angular_momentum,angular_momentum_drift_absolute,angular_momentum_drift_normalized,velocity_divergence_l2,minimum_separation,neighbor_edge_count,neighbor_unique_edge_count,neighbor_duplicate_edge_count,neighbor_self_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,neighbor_minimum_image_linf,neighbor_expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,neighbor_nonself_count_mean,pressure_pair_force_residual_linf,pressure_relative_pair_force_residual,pressure_total_internal_force,pressure_relative_total_internal_force,pressure_minimum_image_pair_torque_linf,pressure_relative_pair_torque_linf,pressure_relative_total_pair_torque,pressure_force_scale,viscosity_gamma_minimum,viscosity_gamma_maximum,viscosity_relative_gamma_symmetry_residual,viscosity_pair_force_residual_linf,viscosity_relative_pair_force_residual,viscosity_total_internal_force,viscosity_relative_total_internal_force,viscosity_minimum_image_pair_torque_linf,viscosity_force_scale,total_internal_force_x,total_internal_force_y,total_internal_force,relative_total_internal_force,assembled_mass_weighted_internal_force_x,assembled_mass_weighted_internal_force_y,assembled_mass_weighted_internal_force,assembled_relative_internal_force,assembly_force_consistency_linf,assembly_force_consistency_relative_linf,accumulated_viscous_power,pair_direct_viscous_power,viscous_power_identity_absolute_difference,viscous_power_positive_absolute_tolerance,viscous_power_roundoff_tolerance,wall_clock_seconds,step_time_count,step_time_mean_seconds,step_time_median_seconds,step_time_p95_seconds,step_time_early_mean_seconds,step_time_late_mean_seconds,step_time_late_to_early_ratio,thermal_slowdown_fraction,current_rss_bytes,system_memory_free_percent,peak_rss_bytes,peak_rss_gib
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,0,0,0.0,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.000088320350994,5.320371731151067e-16,8.83203509945464e-05,8.83203509945464e-05,8.83203509953745e-05,8.83203509953745e-05,1.000088320350994,1.0000883203509954,0.03532814039761689,0.0353281403981498,0.0353281403981498,0.9904392374738703,0.04952196187369352,4.87890977618477e-18,1.5924219408380846e-18,5.132208904732333e-18,0.0,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,7.480398340900634e-16,0.0625,82944,82944,0,1024,0,0,0,0,0,0.0,70656,81.0,0.0,81.0,81,81,80.0,0.0,0.0,1.0876916225692259e-16,2.3007358092714297e-17,4.235164736271502e-22,8.878490283872831e-17,1.499220446517475e-21,4.727581577102777,-0.0,146.61435955678792,0.0,0.0,0.0,1.9786689647860456e-18,3.605135325915861e-19,3.853810215898413e-05,5.488473485481097,1.0743088276615742e-16,-2.1348618402597386e-17,1.0953153920043112e-16,1.0721510262957422e-17,1.0743088276615742e-16,-2.1348618402597386e-17,1.0953153920043112e-16,1.0721510262957422e-17,0.0,0.0,-0.7687928697867699,-0.7687928697867701,2.220446049250313e-16,1e-12,2.5136058493825005e-14,0.09620670898584649,0,,,,,,,,231981056,39.1261100769043,262651904,0.2446136474609375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,1,1,0.0005,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.0007522337204132904,0.025113302851110172,0.001110080771037016,0.0010894136266561846,0.9998072038531918,0.9998026273925147,4.576460677085947e-06,4.577364123378388e-06,0.9996156766487239,0.9996052937409754,1.0382907748462955e-05,1.0387007565361539e-05,1.0000883216165737,1.1140328973656295e-06,8.832864214646016e-05,8.832864214646016e-05,9.050787793807302e-05,9.050787793807302e-05,1.0000861373703092,1.000090507877938,0.03445494812366334,0.03620315117522921,0.03620315117522921,0.9902489697957799,0.049512448489788995,-7.914675859144182e-18,0.0,7.914675859144182e-18,-1.2793585635328952e-17,-1.5924219408380846e-18,1.2892309375986827e-17,3.2230773439967067e-18,1.0408340855860843e-17,9.540979117872439e-18,1.1926223897340549e-18,0.004481398257939132,0.06240246421299478,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,0.0,0.0,1.7481505277709816e-17,3.697716298907959e-18,5.082197683525802e-21,2.3680158748824364e-16,1.5987720146569603e-19,4.72764913924646,1.4652431762379305e-26,146.78449500077383,0.0,0.0,0.0,3.036499585379586e-17,5.53356402134322e-18,3.8532193990869046e-05,5.487421079195365,4.9060148304969076e-17,-1.0711578650977882e-17,5.021589458430115e-17,4.915863866862476e-18,4.9060148304969076e-17,-1.0711578650977882e-17,5.021589458430115e-17,4.915863866862476e-18,0.0,0.0,-0.7684983222167792,-0.7684983222167794,2.220446049250313e-16,1e-12,2.5131872721101152e-14,0.24554179201368243,1,0.08136016700882465,0.08136016700882465,0.08136016700882465,,,,,292306944,38.898468017578125,292323328,0.272247314453125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,2,2,0.001,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.0015014709800103337,0.05012660519607487,0.0022161786428303845,0.0021748242713889965,0.9996132148707724,0.9996052937409754,7.921129796972792e-06,7.924257551026305e-06,0.9992314868541787,0.9992107432749818,2.0743579196902395e-05,2.0759964138209613e-05,1.000088325428499,4.452181464248788e-06,8.843756690053576e-05,8.843756690053576e-05,9.706275012999477e-05,9.706275012999477e-05,1.000079596218446,1.00009706275013,0.03183848737844386,0.03882510005199791,0.03882510005199791,0.9900592507083342,0.04950296253541671,-8.294146619514109e-18,-1.2935887170467675e-17,1.536652351812431e-17,-1.3173056395698879e-17,-1.452830911130576e-17,1.9611251373584326e-17,4.9028128433960815e-18,1.3010426069826053e-18,4.336808689942018e-19,5.421010862427522e-20,0.008944973079683007,0.062304947383606146,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,0.0,0.0,1.8944554917871253e-17,4.00701115266937e-18,5.082197683525802e-21,2.3498202111075817e-16,4.122808679708213e-20,4.727851806763969,4.535660931428561e-25,146.95394626190472,0.0,0.0,0.0,3.3083606427363724e-17,6.030140691373735e-18,3.852620323146205e-05,5.486373887543062,4.9168568522217626e-17,5.939395026147154e-18,4.952599866535385e-17,4.8487276615551496e-18,4.9168568522217626e-17,5.939395026147154e-18,4.952599866535385e-17,4.8487276615551496e-18,0.0,0.0,-0.7682056979640957,-0.7682056979640957,0.0,1e-12,2.512771428036012e-14,0.3894940000027418,2,0.07963291701162234,0.07963291701162234,0.08136016700882465,0.08136016700882465,0.07790566701442003,0.9575406476976636,-0.04245935230233644,296550400,38.965415954589844,296550400,0.27618408203125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,3,3,0.0015,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.002245301033563796,0.07495943091433666,0.003314732444370506,0.003252739726838243,0.999418040601388,0.9994079990376936,1.0041563694329625e-05,1.0047511831002363e-05,0.9988473942333511,0.9988163485405266,3.1045692824527293e-05,3.1082483651665644e-05,1.0000883318334863,1.0002020571096776e-05,8.889630601182867e-05,8.889630601182867e-05,0.00010796071193830414,0.00010796071193830414,1.0000687213910593,1.0001079607119383,0.02748855642371595,0.04318428477532166,0.04318428477532166,0.9898705564830573,0.049493527824152866,-2.8731357570865868e-18,1.4230153513872246e-19,2.8766575753037328e-18,-7.752045533271357e-18,-1.4501204056993622e-18,7.886511214785539e-18,1.9716278036963847e-18,-6.071532165918825e-18,6.938893903907228e-18,8.673617379884035e-19,0.013376361694954382,0.062207450276934195,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,0.0,0.0,2.5563537647992023e-17,5.406622790781235e-18,5.082197683525802e-21,2.9055948453318853e-16,2.1157841509113244e-19,4.728189599537089,3.321403087969748e-24,147.1227127938605,0.0,0.0,0.0,1.6705555459087788e-17,3.0454956815915483e-18,3.8520130497997334e-05,5.485332177636718,2.1141942363467336e-17,-1.1905895106606446e-17,2.4263801540354103e-17,2.3756547515844396e-18,2.1141942363467336e-17,-1.1905895106606446e-17,2.4263801540354103e-17,2.3756547515844396e-18,0.0,0.0,-0.7679149304328633,-0.7679149304328634,1.1102230246251565e-16,1e-12,2.512358222521788e-14,0.5332573750056326,3,0.07908851401104282,0.07799970800988376,0.08136016700882465,0.08136016700882465,0.0779526875121519,0.9581185778993895,-0.04188142210061052,301105152,38.991737365722656,301105152,0.280426025390625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,4,4,0.002,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.002981331388650924,0.09953191302798346,0.004402205135349553,0.004319693268542014,0.9992216925087404,0.9992107432749818,1.0949233758550392e-05,1.095788234087989e-05,0.9984633395225881,0.9984221094761416,4.123004644651651e-05,4.129520576036657e-05,1.0000883409093908,1.7744014175873262e-05,9.010530678641701e-05,9.010530678641701e-05,0.00012316363598063873,0.00012316363598063873,1.000053551412824,1.0001231636359806,0.02142056512957069,0.04926545439225549,0.04926545439225549,0.9896833530869465,0.04948416765434733,5.204170427930421e-18,-1.5246593050577406e-17,1.6110306933539807e-17,3.2526065174565133e-19,-1.683901499141549e-17,1.6842156048816603e-17,4.210539012204151e-18,-1.474514954580286e-17,1.5612511283791264e-17,1.951563910473908e-18,0.017761309778875047,0.06210997415019737,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,0.0,0.0,9.662419630564281e-18,2.0433726087357692e-18,5.082197683525802e-21,2.130854573704006e-16,3.46603593186502e-19,4.728662598909164,1.3435173619089374e-23,147.2907952670281,0.0,0.0,0.0,2.5322127237941128e-17,4.617206438043486e-18,3.85139766636192e-05,5.484296094993585,1.713039432527097e-17,-2.354751593366955e-17,2.911933921615834e-17,2.8512148231386576e-18,1.713039432527097e-17,-2.354751593366955e-17,2.911933921615834e-17,2.8512148231386576e-18,0.0,0.0,-0.7676259130378276,-0.7676259130378276,0.0,1e-12,2.511947504100686e-14,0.6781937500345521,4,0.07891488549648784,0.07819685398135334,0.08136016700882465,0.07963291701162234,0.07819685398135334,0.9819664645706825,-0.018033535429317515,303366144,39.02578353881836,303366144,0.28253173828125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,5,5,0.0025,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.0037071954900066532,0.1237650501761235,0.005475095177224386,0.005372254758304781,0.9990241859321088,0.9990135264451542,1.065948695466723e-05,1.0670012639966428e-05,0.9980792415970936,0.9980280260203829,5.121557671072807e-05,5.131677204992847e-05,1.000088352763813,2.7651580572188103e-05,9.257872747847849e-05,9.257872747847849e-05,0.00014261964682593664,0.00014261964682593664,1.0000341387049076,1.000142619646826,0.013655481963059657,0.057047858730374656,0.057047858730374656,0.9894980945700875,0.049474904728504375,-5.421010862427522e-20,1.0293144375034258e-17,1.0293287126140824e-17,-4.933119884809045e-18,8.700722434196173e-18,1.0001911950963326e-17,2.5004779877408314e-18,9.540979117872439e-18,8.673617379884035e-18,1.0842021724855044e-18,0.022085717062399667,0.06201252074926955,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,0.0,0.0,6.2971325597290246e-18,1.331522899961567e-18,6.776263578034403e-21,2.7758618083749885e-16,2.5077202533643873e-19,4.729270942250249,3.9116773308445213e-23,147.45819556797102,0.0,0.0,0.0,2.2864282157751817e-17,4.169829358977818e-18,3.850774285433505e-05,5.483265666141483,-1.6263032587282567e-17,-1.5517643593698782e-17,2.2478511775383964e-17,2.2010703743194586e-18,-1.6263032587282567e-17,-1.5517643593698782e-17,2.2478511775383964e-17,2.2010703743194586e-18,0.0,0.0,-0.7673385007871462,-0.7673385007871462,0.0,1e-12,2.5115390667269055e-14,0.8234453339828178,5,0.07858996680006385,0.07799970800988376,0.08136016700882465,0.07963291701162234,0.07789466665902485,0.9781717106715582,-0.02182828932844183,307609600,39.05630111694336,307609600,0.2864837646484375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,6,6,0.003,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.004420560318617367,0.1475809602479153,0.006529947792014678,0.006407041621332019,0.9988255400345816,0.9988163485405266,9.191494054983096e-06,9.202386473162693e-06,0.9976949988454598,0.9976340981118307,6.0900733629076775e-05,6.104516048954258e-05,1.0000883675322074,3.9691180189081134e-05,9.687213496787945e-05,9.687213496787945e-05,0.00016626328743862828,0.00016626328743862828,1.000010549406623,1.0001662632874386,0.004219762649171344,0.06650531497545131,0.06650531497545131,0.9893152214482874,0.04946576107241437,-2.6020852139652106e-18,-7.43356114510374e-18,7.87582876646848e-18,-7.48099499014998e-18,-9.025983085941824e-18,1.1723210170868601e-17,2.9308025427171502e-18,3.469446951953614e-18,2.6020852139652106e-18,3.2526065174565133e-19,0.0263356824451851,0.06191509230360637,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.0933907907559277,75.0,72,78,73.84375,6.776263578034403e-21,1.4508496932620702e-17,1.1455926434319775e-17,2.4219641758146754e-18,6.776263578034403e-21,2.364537953657492e-16,3.9674489738955986e-22,4.730014815543813,9.214923612639353e-23,147.6249167951022,2.406581325110268e-17,2.2728278990911314e-20,5.178840985455908e-17,2.1546250780730347e-17,3.930190510844352e-18,3.850143044506374e-05,5.482240802647861,3.642919299551295e-17,2.020681798969859e-17,4.165815161013672e-17,4.079231187273522e-18,3.642919299551295e-17,2.020681798969859e-17,4.165815161013672e-17,4.079231187273522e-18,0.0,0.0,-0.7670525124118865,-0.7670525124118864,1.1102230246251565e-16,1e-12,2.5111326528018002e-14,0.9681221669889055,6,0.07847119450646763,0.0779526875121519,0.08136016700882465,0.07908851401104282,0.07785387500189245,0.9843891489859327,-0.01561085101406734,312213504,39.08090591430664,312213504,0.290771484375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,7,7,0.0035,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.005119133881497102,0.17090313037264823,0.007563366073196661,0.0074207296629783676,0.9986257777391511,0.9986192095534161,6.5681857349675354e-06,6.577267563183405e-06,0.9973104908802255,0.9972403256890896,7.016519113589581e-05,7.035936005436995e-05,1.000088385375521,5.3822425657320894e-05,0.00010348346780821193,0.00010348346780821193,0.00019401572788502186,0.00019401572788502186,0.9999828631518984,1.000194015727885,-0.006854739240624852,0.07760629115400874,0.07760629115400874,0.9891351590873619,0.049456757954368095,4.445228907190568e-18,-1.4955213716721927e-17,1.5601874161463755e-17,-4.336808689942018e-19,-1.654763565756001e-17,1.6553317641834916e-17,4.138329410458729e-18,2.168404344971009e-18,1.3010426069826053e-18,1.6263032587282567e-19,0.030497548470330323,0.06181769151956329,76672,76672,0,1024,0,0,0,0,0,2.220446049250313e-16,76672,74.875,1.0974065223374687,75.0,72,78,73.875,0.0,0.0,1.3276165172901806e-17,2.78323490931706e-18,6.776263578034403e-21,2.2730094915798697e-16,4.325681038400923e-19,4.770048380917824,4.0149056496099993e-32,147.790963250583,0.0,0.0,0.0,1.2061056295084146e-17,2.2004322796987086e-18,3.8495041054787286e-05,5.4812213065405455,1.431146867680866e-17,-1.0191500421363742e-17,1.7569428463269164e-17,1.7138782803425799e-18,1.431146867680866e-17,-1.0191500421363742e-17,1.7569428463269164e-17,1.7138782803425799e-18,0.0,0.0,-0.7667677330139011,-0.7667677330139011,0.0,1e-12,2.510727956936735e-14,1.1162795419804752,7,0.07874356556983132,0.07799970800988376,0.08136016700882465,0.07908851401104282,0.07848485423892271,0.9923672889841397,-0.007632711015860272,320602112,38.94996643066406,320602112,0.298583984375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,8,8,0.004,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.005800672568434615,0.19365666247673288,0.008572021913504355,0.008410063691488041,0.9984249256528824,0.9984221094761416,2.816176740805254e-06,2.8206273820226833e-06,0.9969255805609274,0.9968467086907885,7.887187013888575e-05,7.912136284471696e-05,1.000088406477392,6.999821378816574e-05,0.00011276282711265758,0.00011276282711265758,0.00022578501569925358,0.00022578501569925358,0.9999511728013964,1.0002257850156993,-0.019530879441420623,0.09031400627970143,0.09031400627970143,0.9889583160960387,0.049447915804801935,-2.7647155398380363e-18,-6.315477654728063e-18,6.894121410563597e-18,-7.643625316022806e-18,-7.907899595566148e-18,1.0998176393625445e-17,2.749544098406361e-18,-2.3852447794681098e-18,3.2526065174565133e-18,4.0657581468206416e-19,0.03455794502234047,0.061720321572110826,76640,76640,0,1024,0,0,0,0,0,2.220446049250313e-16,76640,74.84375,1.121634751658949,75.0,72,78,73.84375,0.0,0.0,8.341324492918587e-18,1.662169841830661e-18,1.0164395367051604e-20,2.2078678463796222e-16,9.000342945011636e-20,5.018334638854786,2.0223065997358779e-29,147.95634042848027,0.0,0.0,0.0,9.002030891125236e-18,1.6426443550595102e-18,3.848857654082363e-05,5.480206877038279,-2.7321894746634712e-17,7.589415207398531e-18,2.835639532339182e-17,2.700984253904688e-18,-2.7321894746634712e-17,7.589415207398531e-18,2.835639532339182e-17,2.700984253904688e-18,0.0,0.0,-0.7664839171970206,-0.7664839171970206,0.0,1e-12,2.5103246304027786e-14,1.262604999996256,8,0.07866413550073048,0.07805391651345417,0.08136016700882465,0.07891488549648784,0.07841338550497312,0.9936450520284029,-0.00635494797159708,320667648,38.94939422607422,320667648,0.29864501953125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_smoke_n32,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,9,9,0.0045000000000000005,0.0005,OK,1024,float64,cpu,True,0,0,0,0,0,0,0,,,,4.0,0.006462988352427159,0.21576851363164382,0.00955266671502276,0.009371867913777107,0.9982230139793807,0.9982250483010232,2.0343216424745236e-06,2.0379388855618627e-06,0.996540116301873,0.9964532470555802,8.686924629275339e-05,8.717844670529534e-05,1.000088431040952,8.816487904143923e-05,0.00012487231438642902,0.00012487231438642902,0.00026146636723045624,0.00026146636723045624,0.9999155841312454,1.0002614663672305,-0.03376634750185126,0.1045865468921825,0.1045865468921825,0.9887850827347607,0.04943925413673804,9.161508357502512e-18,-8.978549240895584e-18,1.2827610138126861e-17,4.2825985813177425e-18,-1.0570971181733668e-17,1.140552858633691e-17,2.8513821465842275e-18,-1.3877787807814457e-17,1.474514954580286e-17,1.8431436932253575e-18,0.03850383211203164,0.061622986094962307,76608,76608,0,1024,0,0,0,0,0,2.220446049250313e-16,76608,74.8125,1.1580818063443221,75.0,72,78,73.8125,0.0,0.0,7.261777417537464e-18,1.3311018510304863e-18,1.0164395367051604e-20,2.7722474451366664e-16,4.914603379571208e-19,5.455463390660665,9.414300570698443e-28,148.12105499922166,0.0,0.0,0.0,2.1205980974756162e-17,3.870271595668479e-18,3.848203899223657e-05,5.479197118488899,-2.3418766925686896e-17,3.1170812458958252e-18,2.362530084069115e-17,2.1605884170727304e-18,-2.3418766925686896e-17,3.1170812458958252e-18,2.362530084069115e-17,2.1605884170727304e-18,0.0,0.0,-0.7662007926401935,-0.7662007926401935,0.0,1e-12,2.509922286208441e-14,1.4101454589981586,9,0.07869130556031854,0.07810812501702458,0.08136016700882465,0.07891488549648784,0.07851244161138311,0.9949002791732792,-0.005099720826720833,320749568,38.947105407714844,320749568,0.2987213134765625
