schema_version,run_id,config_hash,git_hash,sample_index,step,time,dt,status,particle_count,dtype,device,state_all_finite,nonfinite_position_count,nonfinite_velocity_count,nonfinite_density_count,nonfinite_pressure_count,nonfinite_sound_speed_count,nonpositive_density_count,nonpositive_sound_speed_count,position_drift_linf,velocity_linf,relative_density_drift,total_mass,velocity_error_l1,velocity_error_l2,velocity_relative_l2,velocity_error_linf,modal_amplitude,exact_modal_amplitude,modal_amplitude_error,modal_amplitude_relative_error,kinetic_energy,exact_kinetic_energy,kinetic_energy_error,kinetic_energy_relative_error,density_mean,density_std,density_fluctuation_rms,density_fluctuation_relative_rms,density_fluctuation_linf,density_fluctuation_relative_linf,density_minimum,density_maximum,pressure_minimum,pressure_maximum,pressure_absolute_maximum,maximum_speed,maximum_mach,momentum_x,momentum_y,momentum_norm,momentum_drift_x,momentum_drift_y,momentum_drift_absolute,momentum_drift_normalized,angular_momentum,angular_momentum_drift_absolute,angular_momentum_drift_normalized,velocity_divergence_l2,minimum_separation,neighbor_edge_count,neighbor_unique_edge_count,neighbor_duplicate_edge_count,neighbor_self_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,neighbor_minimum_image_linf,neighbor_expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,neighbor_nonself_count_mean,pressure_pair_force_residual_linf,pressure_relative_pair_force_residual,pressure_total_internal_force,pressure_relative_total_internal_force,pressure_minimum_image_pair_torque_linf,pressure_relative_pair_torque_linf,pressure_relative_total_pair_torque,pressure_force_scale,viscosity_gamma_minimum,viscosity_gamma_maximum,viscosity_relative_gamma_symmetry_residual,viscosity_pair_force_residual_linf,viscosity_relative_pair_force_residual,viscosity_total_internal_force,viscosity_relative_total_internal_force,viscosity_minimum_image_pair_torque_linf,viscosity_force_scale,total_internal_force_x,total_internal_force_y,total_internal_force,relative_total_internal_force,assembled_mass_weighted_internal_force_x,assembled_mass_weighted_internal_force_y,assembled_mass_weighted_internal_force,assembled_relative_internal_force,assembly_force_consistency_linf,assembly_force_consistency_relative_linf,accumulated_viscous_power,pair_direct_viscous_power,viscous_power_identity_absolute_difference,viscous_power_positive_absolute_tolerance,viscous_power_roundoff_tolerance,wall_clock_seconds,step_time_count,step_time_mean_seconds,step_time_median_seconds,step_time_p95_seconds,step_time_early_mean_seconds,step_time_late_mean_seconds,step_time_late_to_early_ratio,thermal_slowdown_fraction,current_rss_bytes,system_memory_free_percent,peak_rss_bytes,peak_rss_gib
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,0,0,0.0,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,4.1020767071492614e-29,4.2918673351431753e-29,3.2218764843188316e-18,1.262177448353619e-29,4.1020767071492614e-29,4.2918673351431753e-29,3.2218764843188316e-18,0.0,0.0,0.0,-0.0,0.0,1e-12,1.4210854715202004e-14,0.03920741699403152,0,,,,,,,,213614592,39.37873840332031,219217920,0.20416259765625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,1,5,0.005,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,1.3316626483688036e-15,0.0,4.0,4.165280175976132e-16,9.895325315329916e-15,,1.3316626483688048e-15,,,,,7.6498018043913374e-31,0.0,7.6498018043913374e-31,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,1.3316626483688048e-15,6.658313241844024e-17,-1.232595164407831e-32,1.6023737137301802e-31,1.6071074720897373e-31,-1.232595164407831e-32,1.6023737137301802e-31,1.6071074720897373e-31,4.017768680224343e-32,-1.8488927466117464e-32,1.8488927466117464e-32,2.311115933264683e-33,2.8959628399100084e-15,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,6.231923625988815e-32,1.703189974077657e-17,6.904619682335576e-19,3.658971530385882e-15,-7.888609052210118e-30,3.2343297114061484e-29,3.329142563764834e-29,2.498479078262502e-18,-7.888609052210118e-30,3.2343297114061484e-29,3.329142563764834e-29,2.498479078262502e-18,0.0,0.0,-1.8436607254129734e-30,-1.843660725412973e-30,3.503246160812043e-46,1e-12,1.4210854715202004e-14,0.17898566700750962,5,0.02267522501060739,0.022688500001095235,0.02284129202598706,0.022823396022431552,0.02257644433605795,0.989179888648872,-0.010820111351128037,225165312,39.342594146728516,227688448,0.2120513916015625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,2,10,0.01,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,2.6562858285888225e-15,0.0,4.0,8.311846558186719e-16,1.973128676891316e-14,,2.6562858285888367e-15,,,,,3.0415912309147462e-30,0.0,3.0415912309147462e-30,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,2.6562858285888367e-15,1.3281429142944184e-16,7.395570986446986e-32,3.2047474274603605e-31,3.28897412211917e-31,7.395570986446986e-32,3.2047474274603605e-31,3.28897412211917e-31,8.222435305297924e-32,-2.7733391199176196e-32,2.7733391199176196e-32,3.4666738998970245e-33,5.774583365261103e-15,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,4.930380657631324e-32,6.7606802075149305e-18,1.375331361065916e-18,7.292728699326569e-15,1.5777218104420236e-30,2.524354896707238e-29,2.529280471921067e-29,1.8976752563645456e-18,1.5777218104420236e-30,2.524354896707238e-29,2.529280471921067e-29,1.8976752563645456e-18,0.0,0.0,-7.317617307353625e-30,-7.317617307353625e-30,0.0,1e-12,1.4210854715202004e-14,0.3174115000292659,10,0.022593650018097832,0.02252041650353931,0.02284129202598706,0.02267522501060739,0.022512075025588274,0.9928049232171766,-0.007195076782823384,227786752,39.33706283569336,230309888,0.2144927978515625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,3,15,0.015,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,3.97391619292843e-15,0.0,4.0,1.2439858479060053e-15,2.950842141305376e-14,,3.973916192928501e-15,,,,,6.802710424143511e-30,0.0,6.802710424143511e-30,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,3.973916192928501e-15,1.9869580964642507e-16,2.465190328815662e-31,4.930380657631324e-31,5.512333152706879e-31,2.465190328815662e-31,4.930380657631324e-31,5.512333152706879e-31,1.3780832881767197e-31,-2.1570415377137042e-32,2.1570415377137042e-32,2.6963019221421302e-33,8.63600014365123e-15,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,9.62687598334037e-32,8.83078325925512e-18,2.0546625449166766e-18,1.090149729725379e-14,1.5777218104420236e-30,3.549874073494553e-29,3.5533783922881415e-29,2.6653164982888598e-18,1.5777218104420236e-30,3.549874073494553e-29,3.5533783922881415e-29,2.6653164982888598e-18,0.0,0.0,-1.633765382111747e-29,-1.6337653821117474e-29,2.802596928649634e-45,1e-12,1.4210854715202004e-14,0.4563245419994928,15,0.02258505834421764,0.022534582996740937,0.02284129202598706,0.022661196442121372,0.02251843750855187,0.9937002914239713,-0.006299708576028684,230391808,39.31779861450195,230391808,0.214569091796875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,4,20,0.02,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,5.284600050295574e-15,0.0,4.0,1.6549469707138205e-15,3.9227260536960725e-14,,5.2846000502958015e-15,,,,,1.2021702884645284e-29,0.0,1.2021702884645284e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,5.2846000502958015e-15,2.6423000251479006e-16,3.4512664603419266e-31,7.395570986446986e-31,8.161232161619808e-31,3.4512664603419266e-31,7.395570986446986e-31,8.161232161619808e-31,2.040308040404952e-31,-1.4174844390690056e-31,1.4174844390690056e-31,1.771855548836257e-32,1.1480350438767561e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,2.15263491097092e-31,1.4860620168614266e-17,2.728509309168486e-18,1.448549849566373e-14,-1.5777218104420236e-30,3.392101892450351e-29,3.395769030702279e-29,2.546412389331321e-18,-1.5777218104420236e-30,3.392101892450351e-29,3.395769030702279e-29,2.546412389331321e-18,0.0,0.0,-2.882128862867676e-29,-2.882128862867676e-29,0.0,1e-12,1.4210854715202004e-14,0.5977962500182912,20,0.02268323550815694,0.022560936980880797,0.023107208020519465,0.022593650018097832,0.022772820998216047,1.0079301476288558,0.0079301476288558,230490112,39.08958435058594,230490112,0.21466064453125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,5,25,0.025,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,6.588383368872936e-15,0.0,4.0,2.0640831679328007e-15,4.8888329734129444e-14,,6.5883833688735194e-15,,,,,1.8672412376507535e-29,0.0,1.8672412376507535e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,6.5883833688735194e-15,3.29419168443676e-16,0.0,7.888609052210118e-31,7.888609052210118e-31,0.0,7.888609052210118e-31,7.888609052210118e-31,1.9721522630525295e-31,-8.628166150854817e-32,8.628166150854817e-32,1.0785207688568521e-32,1.4307770223953634e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,2.0954117794933126e-31,1.161217790099785e-17,3.3969248726014068e-18,1.804495071775684e-14,0.0,3.076557530361946e-29,3.076557530361946e-29,2.3064270961700378e-18,0.0,3.076557530361946e-29,3.076557530361946e-29,2.3064270961700378e-18,0.0,0.0,-4.468773875946657e-29,-4.468773875946656e-29,5.605193857299268e-45,1e-12,1.4210854715202004e-14,0.7381176670314744,25,0.022641550085972996,0.022525833977852017,0.023107208020519465,0.02260808334297811,0.02267244246412212,1.0028467305329534,0.0028467305329533676,230490112,39.01357650756836,230522880,0.214691162109375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,6,30,0.03,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,7.885311778732996e-15,0.0,4.0,2.4714093950603113e-15,5.849214896890551e-14,,7.885311778734284e-15,,,,,2.672915227344246e-29,0.0,2.672915227344246e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,7.885311778734284e-15,3.942655889367142e-16,1.4791141972893971e-31,9.614242282381081e-31,9.727354906291189e-31,1.4791141972893971e-31,9.614242282381081e-31,9.727354906291189e-31,2.431838726572797e-31,-2.465190328815662e-32,2.465190328815662e-32,3.0814879110195774e-33,1.7118394195626775e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,5.491622998762125e-31,2.5447660801637092e-17,4.0599618897532735e-18,2.158006993872238e-14,3.1554436208840472e-30,2.9187853493177437e-29,2.935792254202889e-29,2.2003153560566746e-18,3.1554436208840472e-30,2.9187853493177437e-29,2.935792254202889e-29,2.2003153560566746e-18,0.0,0.0,-6.385788503758149e-29,-6.385788503758149e-29,0.0,1e-12,1.4210854715202004e-14,0.8778084170189686,30,0.02263663193831841,0.022530208487296477,0.023107208020519465,0.02258505834421764,0.022688205532419185,1.0045670543165965,0.004567054316596542,230539264,39.019012451171875,230539264,0.2147064208984375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,7,35,0.035,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,9.17543057443316e-15,0.0,4.0,2.876940442626359e-15,6.80392326422413e-14,,9.175430574435709e-15,,,,,3.616669670738309e-29,0.0,3.616669670738309e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,9.175430574435709e-15,4.587715287217855e-16,2.9582283945787943e-31,8.38164711797325e-31,8.8883701343228e-31,2.9582283945787943e-31,8.38164711797325e-31,8.8883701343228e-31,2.2220925335807e-31,-4.3140830754274083e-32,4.3140830754274083e-32,5.3926038442842604e-33,1.991235578654747e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,3.3530213555806057e-31,1.3363405316662777e-17,4.717672457206903e-18,2.509106979940013e-14,4.733165431326071e-30,2.8398992587956425e-29,2.8790721335373035e-29,2.1572371429381556e-18,4.733165431326071e-30,2.8398992587956425e-29,2.8790721335373035e-29,2.1572371429381556e-18,0.0,0.0,-8.625423793935966e-29,-8.625423793935967e-29,1.1210387714598537e-44,1e-12,1.4210854715202004e-14,1.0168962919851765,35,0.022607267889127668,0.022525833977852017,0.023107208020519465,0.022574183890623423,0.022638513887715008,1.0028497152943945,0.0028497152943944837,230555648,39.02273178100586,230604800,0.2147674560546875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,8,40,0.04,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,1.0458784717591071e-14,0.0,4.0,3.280690998419519e-15,7.753008965665451e-14,,1.045878471759573e-14,,,,,4.6960271891944426e-29,0.0,4.6960271891944426e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,1.045878471759573e-14,5.229392358797865e-16,-2.9582283945787943e-31,1.2818989709841442e-30,1.315589648847668e-30,-2.9582283945787943e-31,1.2818989709841442e-30,1.315589648847668e-30,3.28897412211917e-31,-7.395570986446986e-32,7.395570986446986e-32,9.244463733058732e-33,2.268978717894237e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,7.395570986446986e-31,2.587839993196338e-17,5.370108119805011e-18,2.857816173291471e-14,1.4199496293978212e-29,3.3132158019282496e-29,3.604671399749784e-29,2.7002101518187797e-18,1.4199496293978212e-29,3.3132158019282496e-29,3.604671399749784e-29,2.7002101518187797e-18,0.0,0.0,-1.1180090416568273e-28,-1.1180090416568273e-28,0.0,1e-12,1.4210854715202004e-14,1.1584109590039589,40,0.022631988578359595,0.02253352099796757,0.022975040948949754,0.02268323550815694,0.022580741648562254,0.9954815149912001,-0.004518485008799922,230621184,39.04895782470703,230653952,0.214813232421875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_prereq_zero_n16,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,9,45,0.045,0.001,OK,256,float64,cpu,True,0,0,0,0,0,0,0,0.0,1.1735418839440277e-14,0.0,4.0,3.682675949037289e-15,8.696522348039893e-14,,1.1735418839448274e-14,,,,,5.908554761715413e-29,0.0,5.908554761715413e-29,,1.000415750455033,4.1563916563713656e-16,4.1563916563713656e-16,4.154664352776189e-16,6.661338147750939e-16,6.658569844308298e-16,1.0004157504550324,1.0004157504550328,-2.6645352591003757e-13,-8.881784197001252e-14,2.6645352591003757e-13,1.1735418839448274e-14,5.867709419724137e-16,2.9582283945787943e-31,1.3312027775604574e-30,1.363675909932268e-30,2.9582283945787943e-31,1.3312027775604574e-30,1.363675909932268e-30,3.40918977483067e-31,-1.232595164407831e-31,1.232595164407831e-31,1.5407439555097887e-32,2.545081931748267e-14,0.125,12544,12544,0,256,0,0,0,0,0,0.0,11520,49.0,0.0,49.0,49,49,48.0,0.0,0.0,4.2918673351431753e-29,3.2218764843188316e-18,1.5407439555097887e-33,6.664021481759463e-17,6.116079411716598e-22,1.3321017599625832e-11,-0.0,18.236999307535882,0.0,0.0,0.0,5.9624999488574155e-31,1.86086471398422e-17,6.017319876793691e-18,3.204155521919353e-14,3.1554436208840472e-30,3.6287601640166543e-29,3.642453647254822e-29,2.7278046214100636e-18,3.1554436208840472e-30,3.6287601640166543e-29,3.642453647254822e-29,2.7278046214100636e-18,0.0,0.0,-1.4042355391366496e-28,-1.4042355391366498e-28,2.2420775429197073e-44,1e-12,1.4210854715202004e-14,1.2972542500356212,45,0.02262014077924606,0.022532458999194205,0.022975040948949754,0.022681869370651177,0.02256109603964116,0.9946753361005469,-0.005324663899453075,230653952,39.05153274536133,230653952,0.214813232421875
