schema_version,run_id,config_hash,git_hash,sample_index,step,time,dt,status,particle_count,dtype,device,state_all_finite,nonfinite_position_count,nonfinite_velocity_count,nonfinite_density_count,nonfinite_pressure_count,nonfinite_sound_speed_count,nonpositive_density_count,nonpositive_sound_speed_count,position_drift_linf,velocity_linf,relative_density_drift,total_mass,velocity_error_l1,velocity_error_l2,velocity_relative_l2,velocity_error_linf,modal_amplitude,exact_modal_amplitude,modal_amplitude_error,modal_amplitude_relative_error,kinetic_energy,exact_kinetic_energy,kinetic_energy_error,kinetic_energy_relative_error,density_mean,density_std,density_fluctuation_rms,density_fluctuation_relative_rms,density_fluctuation_linf,density_fluctuation_relative_linf,density_minimum,density_maximum,pressure_minimum,pressure_maximum,pressure_absolute_maximum,maximum_speed,maximum_mach,momentum_x,momentum_y,momentum_norm,momentum_drift_x,momentum_drift_y,momentum_drift_absolute,momentum_drift_normalized,angular_momentum,angular_momentum_drift_absolute,angular_momentum_drift_normalized,velocity_divergence_l2,minimum_separation,neighbor_edge_count,neighbor_unique_edge_count,neighbor_duplicate_edge_count,neighbor_self_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,neighbor_minimum_image_linf,neighbor_expected_strict_edge_count,neighbor_count_mean,neighbor_count_std,neighbor_count_median,neighbor_count_min,neighbor_count_max,neighbor_nonself_count_mean,pressure_pair_force_residual_linf,pressure_relative_pair_force_residual,pressure_total_internal_force,pressure_relative_total_internal_force,pressure_minimum_image_pair_torque_linf,pressure_relative_pair_torque_linf,pressure_relative_total_pair_torque,pressure_force_scale,viscosity_gamma_minimum,viscosity_gamma_maximum,viscosity_relative_gamma_symmetry_residual,viscosity_pair_force_residual_linf,viscosity_relative_pair_force_residual,viscosity_total_internal_force,viscosity_relative_total_internal_force,viscosity_minimum_image_pair_torque_linf,viscosity_force_scale,total_internal_force_x,total_internal_force_y,total_internal_force,relative_total_internal_force,assembled_mass_weighted_internal_force_x,assembled_mass_weighted_internal_force_y,assembled_mass_weighted_internal_force,assembled_relative_internal_force,assembly_force_consistency_linf,assembly_force_consistency_relative_linf,accumulated_viscous_power,pair_direct_viscous_power,viscous_power_identity_absolute_difference,viscous_power_positive_absolute_tolerance,viscous_power_roundoff_tolerance,wall_clock_seconds,step_time_count,step_time_mean_seconds,step_time_median_seconds,step_time_p95_seconds,step_time_early_mean_seconds,step_time_late_mean_seconds,step_time_late_to_early_ratio,thermal_slowdown_fraction,current_rss_bytes,system_memory_free_percent,peak_rss_bytes,peak_rss_gib
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,0,0,0.0,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.0,0.0,1.0004157504550324,3.137457878279676e-16,0.0004157504550325188,0.0004157504550325188,0.00041575045503328134,0.00041575045503328134,1.0004157504550315,1.0004157504550333,0.166300182012602,0.16630018201331254,0.16630018201331254,0.9831105486902834,0.049155527434514165,9.75781955236954e-19,-4.336808689942018e-18,4.445228907190568e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962192842222225e-16,0.08333333333333326,28224,28224,0,576,0,0,0,0,0,2.220446049250313e-16,25920,49.0,0.0,49.0,49,49,48.0,0.0,0.0,2.3119601327392596e-16,1.132118922577997e-17,2.710505431213761e-20,1.644959617489396e-16,1.3113759476997995e-19,20.42153069462522,-0.0,92.32480899440061,0.0,0.0,0.0,2.917289683928108e-18,5.796676605344464e-19,0.00011248365693723007,5.032693528630531,-2.0328790734103208e-16,1.0885389811754465e-16,2.305973642661183e-16,9.059296494113443e-18,-2.0372158821002628e-16,1.0842021724855044e-16,2.307757114841993e-16,9.066303080388348e-18,2.168404344971009e-19,8.302418177815294e-17,-0.7651133791197544,-0.7651133791197544,0.0,1e-12,2.5083769786530104e-14,0.06419275002554059,0,,,,,,,,218677248,37.418174743652344,229801984,0.214019775390625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,1,80,0.01,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.012011792091017914,0.30057964203210574,0.01778188600320607,0.017206696553050207,0.995960339394897,0.996059940722142,9.960132724495807e-05,9.999531471243312e-05,0.9922508024054248,0.9921354055113969,0.00011539689402795261,0.0001163116378942965,1.0004186224046365,0.00039497956348386965,0.0005755463258795946,0.0005755463258795946,0.0011836437271195432,0.0011836437271195432,0.9996575764944899,1.0011836437271195,-0.13696940220402354,0.4734574908478173,0.4734574908478173,0.980096473730034,0.0490048236865017,-1.8648277366750676e-17,-1.214306433183765e-17,2.225336514135364e-17,-1.962405932198763e-17,-7.806255641895632e-18,2.111969060899134e-17,5.279922652247833e-18,-1.474514954580286e-17,1.474514954580286e-17,1.843143693225357e-18,0.07058906318070486,0.08075423892237998,27072,27072,0,576,0,0,0,0,0,2.220446049250313e-16,27072,47.0,0.6672461249826392,47.0,46,48,46.0,0.0,0.0,2.766054524161103e-17,1.1985745495981128e-18,1.0842021724855044e-19,2.144061599692719e-16,5.426854659205764e-19,23.077867998186452,2.2261414707155827e-17,95.43220410303886,0.0,0.0,0.0,6.262382156919886e-18,1.2488624247681656e-18,0.00011203830990087528,5.014469194300895,2.0816681711721685e-17,-1.3444106938820255e-17,2.4780602270113676e-17,8.82112517029757e-19,2.0816681711721685e-17,-1.5178830414797062e-17,2.5762979840233863e-17,9.170821090358968e-19,9.69739903612216e-19,1.0613976319363683e-16,-0.7594265230776109,-0.759426523077611,1.1102230246251565e-16,1e-12,2.5002954701528934e-14,3.8598503340035677,80,0.046813990571536124,0.04654593748273328,0.04765233304351568,0.04724599886831129,0.04638198227476096,0.9817123859322225,-0.018287614067777458,241041408,37.43858337402344,246464512,0.2295379638671875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,2,160,0.02,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.01031217868122951,0.25810934801457075,0.015329791324229389,0.01491763361420612,0.9917431822718883,0.9921354055113971,0.00039222323950882654,0.00039533236827351675,0.9837870591977855,0.9843326628692641,0.0005456036714786006,0.0005542878866664875,1.0004276748019072,0.00112988943531026,0.0012081208019945559,0.0012081208019945559,0.002616110964109186,0.002616110964109186,0.9982506654336196,1.0026161109641092,-0.6997338265521513,1.0464443856436745,1.0464443856436745,0.9800086263900192,0.04900043131950096,-1.8648277366750676e-17,-7.892991815694472e-17,8.110296066734715e-17,-1.962405932198763e-17,-7.45931094670027e-17,7.713128862030725e-17,1.928282215507681e-17,-1.9081958235744878e-17,1.9081958235744878e-17,2.3852447794681094e-18,0.060572422963560704,0.07823494962840982,27744,27744,0,576,0,0,0,0,0,2.220446049250313e-16,27744,48.166666666666664,1.324025482481693,48.0,46,51,47.166666666666664,0.0,0.0,2.7809732887839817e-17,5.954432979256351e-19,3.2526065174565133e-19,2.204273217901827e-16,1.1990212820313274e-18,46.70425040423072,4.335726390172665e-14,98.42181369007778,0.0,0.0,0.0,2.8189256484623115e-17,5.641929513284146e-18,0.00011158550160471462,4.996385796428402,-8.326672684688674e-17,5.204170427930421e-18,8.342919866351945e-17,1.6136977181425059e-18,-5.551115123125783e-17,0.0,5.551115123125783e-17,1.0737034456560542e-18,2.4532694666933987e-18,9.932137823529692e-17,-0.7529232760385237,-0.7529232760385236,1.1102230246251565e-16,1e-12,2.4910538002679397e-14,7.814982375013642,160,0.04779425906817778,0.046781125012785196,0.052907290984876454,0.046813990571536124,0.04877452756481944,1.041879296538231,0.04187929653823108,250167296,36.426544189453125,250167296,0.2329864501953125
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,3,240,0.03,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.0033060066259886544,0.08316523713610086,0.004958932278599284,0.0049274714243223595,0.9878091185661453,0.9882263332020205,0.0004172146358751849,0.0004221853049830588,0.9757951294227409,0.9765912856339106,0.0007961562111696852,0.0008152399298268322,1.0004404486994316,0.0013732743019978493,0.001442177993646711,0.001442177993646711,0.0030959968603512245,0.0030959968603512245,0.9977917807804576,1.0030959968603512,-0.8832876878169582,1.2383987441404898,1.2383987441404898,0.9808708456954645,0.04904354228477322,-6.938893903907228e-17,-7.632783294297951e-17,1.0315407380583415e-16,-7.036472099430924e-17,-7.19910242530375e-17,1.0066728134606802e-16,2.5166820336517e-17,-8.673617379884035e-17,8.673617379884035e-17,1.0842021724855041e-17,0.01965984995060555,0.07585073434169398,28160,28160,0,576,0,0,0,0,0,2.220446049250313e-16,28160,48.888888888888886,1.3912077261135611,49.0,46,51,47.888888888888886,0.0,0.0,2.2301825219878386e-16,4.012833226655556e-18,4.336808689942018e-19,2.1926310416137804e-16,2.0698742092833638e-19,55.57625737281276,1.5955647834241619e-12,101.35118904329,0.0,0.0,0.0,1.3155979181158413e-17,2.6425011631266533e-18,0.00011116686753942907,4.978608662405291,-8.326672684688674e-17,-1.9081958235744878e-17,8.542522420166517e-17,1.4107078389370523e-18,-2.7755575615628914e-17,-4.336808689942018e-17,5.1489444928747816e-17,8.502940936043374e-19,2.4532694666933987e-18,8.186305192604565e-17,-0.7466821229775604,-0.7466821229775606,2.220446049250313e-16,1e-12,2.4821845883274714e-14,11.716196625027806,240,0.047900470611299775,0.04722420853795484,0.05336995801189914,0.04745073538069846,0.04835020584190109,1.0189558803248497,0.01895588032484974,257409024,40.524959564208984,257425408,0.23974609375
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,4,320,0.04,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.0133731377657753,0.3347935795722741,0.0200418231748805,0.019346488904666743,0.9843123809847465,0.9843326628692644,2.0281884517858728e-05,2.0604705383582804e-05,0.9692678808151814,0.9689107911912965,0.0003570896238849208,0.0003685474732362837,1.0004546663851381,0.0008524895486223232,0.0009661573123901277,0.0009661573123901277,0.0020933687130948453,0.0020933687130948453,0.9988118533385987,1.0020933687130948,-0.47525866456052945,0.8373474852379381,0.8373474852379381,0.9781674767724688,0.04890837383862344,-9.80118763926896e-17,-3.469446951953614e-18,9.807326330946822e-17,-9.898765834792655e-17,8.673617379884035e-19,9.899145832641501e-17,2.4747864581603747e-17,-1.249000902703301e-16,1.249000902703301e-16,1.561251128379126e-17,0.07864752637097047,0.07361789839657262,28384,28384,0,576,0,0,0,0,0,2.220446049250313e-16,28384,49.27777777777778,1.347174534740443,49.0,47,51,48.27777777777778,0.0,0.0,4.5111149621169534e-17,1.2007767445351663e-18,2.168404344971009e-19,2.2154908221726534e-16,3.56382601889261e-19,37.56830720321166,9.388128851741097e-14,104.25646348630977,0.0,0.0,0.0,1.4494286818569557e-17,2.9206160344223458e-18,0.0001107952910028725,4.96274986089923,1.8041124150158794e-16,4.5102810375396984e-17,1.8596365118996589e-16,4.372420156631568e-18,2.0816681711721685e-16,4.9873299934333204e-17,2.1405786552951695e-16,5.0329777886039436e-18,1.788112030672749e-18,9.503576429974744e-17,-0.7419598240296061,-0.7419598240296061,0.0,1e-12,2.475473797900358e-14,15.578907541988883,320,0.047830621059983966,0.04736083300667815,0.051757208013441414,0.04779425906817778,0.04786698305179016,1.0015216050008984,0.001521605000898374,257703936,40.60993194580078,257703936,0.2400054931640625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,5,400,0.05,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.00894266289316695,0.22401104848586254,0.013463033897547404,0.013143882634433461,0.9809351816895245,0.9804543338284276,0.00048084786109692246,0.0004904337147650033,0.962420623473035,0.9612907007229456,0.001129922750089385,0.0011754225326840448,1.000472554894766,0.00016117804146292556,0.000499285979792119,0.000499285979792119,0.0007636343021757419,0.0007636343021757419,1.0001915217708754,1.0007636343021757,0.07660870835017874,0.30545372087029676,0.30545372087029676,0.9715949817098527,0.04857974908549263,-1.3704315460216776e-16,1.3010426069826053e-17,1.3765935278734993e-16,-1.3801893655740471e-16,1.734723475976807e-17,1.3910482882433454e-16,3.477620720608363e-17,-9.627715291671279e-17,9.627715291671279e-17,1.2034644114589096e-17,0.05244697446132004,0.0714708638551903,28448,28448,0,576,0,0,0,0,0,2.220446049250313e-16,28448,49.388888888888886,1.3193469325777876,49.0,47,51,48.388888888888886,0.0,0.0,5.391657935722107e-17,2.3248839923653668e-18,8.131516293641283e-20,2.1152545262159119e-16,1.0172110351360487e-18,23.19108374193142,5.361504125410599e-12,107.104166441548,0.0,0.0,0.0,1.951563910473908e-17,3.947502364911683e-18,0.00011043356493656991,4.943794151514258,9.020562075079397e-17,2.6020852139652106e-17,9.388364480094342e-17,3.336913177889236e-18,7.979727989493313e-17,2.7321894746634712e-17,8.434507579685067e-17,2.997883129839343e-18,4.4702800766818725e-19,8.170323239688909e-17,-0.7365477968143141,-0.7365477968143141,0.0,1e-12,2.4677828446532347e-14,19.472450874978676,400,0.04786330819013528,0.047470874997088686,0.04977120796684176,0.04796355328406207,0.0477630630962085,0.9958199471447376,-0.004180052855262351,259014656,40.345191955566406,259014656,0.2412261962890625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,6,480,0.06,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.005026110921541014,0.1265424519529633,0.007635222192106846,0.007441319192417578,0.9772444862162016,0.9765912856339108,0.0006532005822907916,0.0006688576806896197,0.9550860471128568,0.9537305391760947,0.0013555079367620904,0.0014212693010051682,1.0004948362291115,4.692886596757449e-05,0.0004970565481937381,0.0004970565481937381,0.0006013497842860538,0.0006013497842860538,1.0004114489385836,1.000601349784286,0.16457957543343227,0.24053991371442152,0.24053991371442152,0.9659861922501201,0.048299309612506,-1.8995222061946038e-16,8.673617379884035e-18,1.9015014529764833e-16,-1.9092800257469733e-16,1.3010426069826053e-17,1.913707745547424e-16,4.784269363868559e-17,-9.627715291671279e-17,9.627715291671279e-17,1.2034644114589096e-17,0.030380544992211846,0.06934008031108063,28544,28544,0,576,0,0,0,0,0,2.220446049250313e-16,28544,49.55555555555556,1.364278578094421,49.0,47,51,48.55555555555556,0.0,0.0,2.9079264368403834e-17,1.197626935551039e-18,5.421010862427522e-20,2.2933535222355626e-16,8.226581749314922e-19,24.280736768018834,9.09065736338039e-12,109.81533422599297,0.0,0.0,0.0,1.2643861424099487e-17,2.5679261564671398e-18,0.00011003409094370063,4.923763634034732,3.8163916471489756e-17,-1.5829351718288365e-17,4.131649666010087e-17,1.4147304727457563e-18,3.642919299551295e-17,-1.5829351718288365e-17,3.971969886750916e-17,1.3600540437499214e-18,2.168404344971009e-19,8.054437703944995e-17,-0.7308013386194019,-0.7308013386194018,1.1102230246251565e-16,1e-12,2.4596166363997467e-14,23.43328954197932,480,0.04802590491587277,0.04756147900479846,0.05053316697012633,0.047900470611299775,0.04815133922044576,1.0052372890275278,0.005237289027527847,259047424,40.2989387512207,259047424,0.2412567138671875
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,7,560,0.07,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.012533387160656514,0.3140091151176796,0.019021242817216115,0.018556862676296373,0.9731730778520773,0.9727434580782738,0.00042961977380351346,0.0004416578392130839,0.9474464151837128,0.9462298352340781,0.0012165799496346441,0.0012857129466158578,1.0005223365248213,0.000651690831034778,0.0008351864369211926,0.0008351864369211926,0.001789042567709842,0.001789042567709842,0.9992671307125975,1.0017890425677098,-0.293147714960984,0.7156170270839368,0.7156170270839368,0.9633872892645704,0.04816936446322852,-2.489328188026718e-16,-5.204170427930421e-18,2.4898721185411667e-16,-2.4990860075790877e-16,-8.673617379884035e-19,2.499101059364354e-16,6.247752648410884e-17,-8.153200337090993e-17,8.153200337090993e-17,1.019150042136374e-17,0.07387796146307025,0.0672309717552112,28640,28640,0,576,0,0,0,0,0,2.220446049250313e-16,28640,49.72222222222222,1.503361772281534,50.0,47,54,48.72222222222222,0.0,0.0,1.5384366563884346e-16,4.681873385943776e-18,2.168404344971009e-19,2.098466058036283e-16,3.1629693843714996e-19,32.85942462705696,3.022350365549922e-16,112.3507458238658,0.0,0.0,0.0,7.973125766753545e-18,1.6256911674821772e-18,0.00010960112173354623,4.90445290362381,2.3592239273284576e-16,4.683753385137379e-17,2.4052677599400386e-16,6.369228790094211e-18,2.3592239273284576e-16,3.642919299551295e-17,2.387183727640071e-16,6.321341672874123e-18,8.673617379884035e-19,5.912060266289442e-17,-0.7250570997125454,-0.7250570997125453,1.1102230246251565e-16,1e-12,2.451453581944272e-14,27.303075124975294,560,0.04798053501747615,0.047582374478224665,0.05033970798831433,0.047880759334033685,0.048080310700918616,1.004167673396589,0.004167673396588967,259047424,40.38400650024414,259063808,0.24127197265625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,8,640,0.08,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.005530716084888864,0.13956491356291775,0.008487610220703318,0.00858604141596092,0.9690852429439215,0.9689107911912967,0.0001744517526247602,0.0001800493442851101,0.9392404644463593,0.9387881212869446,0.00045234315941478087,0.00048183732746286026,1.0005572873534934,0.0012748379185804552,0.0013913234393964507,0.0013913234393964507,0.003011247875840173,0.003011247875840173,0.9980975039248411,1.0030112478758402,-0.7609984300635642,1.2044991503360691,1.2044991503360691,0.9586300582177242,0.04793150291088621,-2.740863092043355e-16,2.862293735361732e-17,2.755768085960858e-16,-2.7506209115957247e-16,3.2959746043559335e-17,2.7702977972112113e-16,6.925744493028027e-17,-7.632783294297951e-17,7.632783294297951e-17,9.540979117872437e-18,0.033687611756552785,0.06520686285799138,28624,28624,0,576,0,0,0,0,0,2.220446049250313e-16,28624,49.69444444444444,1.5616169002015758,50.0,47,54,48.69444444444444,0.0,0.0,6.992893892674703e-17,1.3019152102345314e-18,2.168404344971009e-19,2.72653547651298e-16,1.208318368278364e-18,53.71236035728455,5.0259682281171525e-15,114.76747366495128,0.0,0.0,0.0,6.746491033406846e-18,1.382275277746305e-18,0.00010919134289178606,4.880714530615412,1.3877787807814457e-16,-8.760353553682876e-17,1.6411483443742913e-16,2.8009254464185907e-18,1.3877787807814457e-16,-7.719519468096792e-17,1.588030148508047e-16,2.7102693476085013e-18,1.735570302229821e-18,6.17615976868405e-17,-0.7184237365129158,-0.7184237365129158,0.0,1e-12,2.4420270058739615e-14,31.176821500004735,640,0.047952042166616596,0.047612771013518795,0.05021308397408575,0.047830621059983966,0.04807346327324922,1.005077128581724,0.005077128581723933,259063808,40.46630859375,259063808,0.24127197265625
sph-pio-poc.stage01d.dynamic-diagnostics.v1,stage01d2_sf_n24_const,87583422ddf81d1252a618cf87a57795097d2c519df1ded90d531c66ab2dcceb,dc403e7df9d33b89080ef66a7703ca418bcc761c,9,720,0.09,0.000125,OK,576,float64,cpu,True,0,0,0,0,0,0,0,,,,4.000000000000001,0.008771321406195583,0.2200650204183011,0.013436090394654774,0.012894021736206228,0.9653597852028982,0.9650932252390468,0.00026655996385138714,0.0002762012589875575,0.9321416260918742,0.9314049334023053,0.0007366926895688852,0.0007909478070701637,1.0006001572620735,0.0012271176354105365,0.0013660184590096758,0.0013660184590096758,0.0029608234362847874,0.0029608234362847874,0.9982593506283114,1.0029608234362848,-0.6962597486754429,1.184329374513915,1.184329374513915,0.955418986097516,0.0477709493048758,-2.8796409701215e-16,-8.673617379884035e-18,2.8809469416578216e-16,-2.8893987896738693e-16,-4.336808689942018e-18,2.8897242354124615e-16,7.224310588531153e-17,-1.3270634591222574e-16,1.3270634591222574e-16,1.6588293239028215e-17,0.05198245343437048,0.0633076898459809,28544,28544,0,576,0,0,0,0,0,2.220446049250313e-16,28544,49.55555555555556,1.55492050529208,49.0,48,54,48.55555555555556,0.0,0.0,3.780304367892498e-16,7.191911285691772e-18,3.2526065174565133e-19,2.2027456279178488e-16,7.683721274266629e-19,52.56327862960951,9.582096767930186e-16,117.16512662449993,0.0,0.0,0.0,7.423420718681438e-18,1.5280776339944129e-18,0.00010884022564282766,4.858012808731798,1.942890293094024e-16,9.974659986866641e-17,2.1839782758843932e-16,3.803429392091499e-18,1.6653345369377348e-16,9.627715291671279e-17,1.923608103874703e-16,3.34999101498834e-18,1.734723475976807e-18,6.47870062000152e-17,-0.7128307720460434,-0.7128307720460434,0.0,1e-12,2.4340789253273604e-14,35.047400249983184,720,0.04792572115911753,0.047612771013518795,0.049986459023784846,0.04782733410862016,0.0480241082096149,1.0041142602794428,0.0041142602794428385,259129344,40.26203155517578,259129344,0.2413330078125
