parameter,steps,parameter_value,finite_difference_step,loss,autograd_gradient,gradient_norm,finite_difference_gradient,relative_difference,finite,nonzero,AD_FD_threshold_applies,status,resolution,support_ratio,time_step,gradient_scope,density_scalar_scope,topology_differentiability_claimed,git_hash,config_sha256
physical_viscosity,1,0.02,1e-06,0.24998154830000585,-0.0009225487813835777,0.0009225487813835777,-0.0009225488012409855,2.15245066624675e-08,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,3,0.02,1e-06,0.24994464869757244,-0.002767238146810944,0.002767238146810944,-0.002767238160839014,5.069339580822767e-09,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,5,0.02,1e-06,0.24990775404281107,-0.004611383893364191,0.004611383893364191,-0.004611383871977459,4.637812051610639e-09,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,8,0.02,1e-06,0.24985242079181708,-0.007376584889745552,0.007376584889745552,-0.007376584898466376,1.1822306026260052e-09,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,16,0.02,1e-06,0.2497049058408068,-0.014744501167383465,0.014744501167383465,-0.014744501147800904,1.328126400797756e-09,True,True,False,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,1,1.0,1e-06,0.24998154830000585,0.4999630965993064,0.4999630965993064,0.49996309657573956,4.713710937131066e-11,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,3,1.0,1e-06,0.24994464869757244,0.49988929733631693,0.49988929733631693,0.4998892973312463,1.0143467013770841e-11,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,5,1.0,1e-06,0.24990775404281107,0.4998155076627141,0.4998155076627141,0.4998155076485489,2.8340906457926268e-11,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,8,1.0,1e-06,0.24985242079181708,0.49970483895242335,0.49970483895242335,0.4997048389382419,2.8379620727266252e-11,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,16,1.0,1e-06,0.2497049058408068,0.49940977176705476,0.49940977176705476,0.4994097717453405,4.34798090536929e-11,True,True,False,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,1,0.0,1e-06,0.24998154830000585,-0.0007473733821812486,0.0007473733821812486,-0.0007473733854013176,4.308514355257429e-09,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,3,0.0,1e-06,0.24994464869757244,-0.0007472625978820283,0.0007472625978820283,-0.00074726258514346,1.704697702560288e-08,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,5,0.0,1e-06,0.24990775404281107,-0.0007471508534160365,0.0007471508534160365,-0.0007471508411960315,1.6355472269619777e-08,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,8,0.0,1e-06,0.24985242079181708,-0.0007469802894942592,0.0007469802894942592,-0.0007469803109394491,2.8709176793445738e-08,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,16,0.0,1e-06,0.2497049058408068,-0.0007464958392166353,0.0007464958392166353,-0.0007464958373670783,2.4776522214472972e-09,True,True,False,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
reference_density_scalar,1,1.0,1e-06,0.24998154830000585,1.0407145437241826e-07,1.0407145437241826e-07,1.0408340855860843e-07,0.00011485198607266744,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
reference_density_scalar,3,1.0,1e-06,0.24994464869757244,9.365211790850524e-07,9.365211790850524e-07,9.365286324225508e-07,7.958472640744299e-06,True,True,True,PASS,16,4.0,0.0001,rebuilt_neighbor_indices_continuous_tensor_value_path,EOS_reference_density_only_with_fixed_baseline_masses,False,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
