parameter,steps,parameter_value,finite_difference_step,loss,autograd_gradient,gradient_norm,finite_difference_gradient,relative_difference,finite,nonzero,AD_FD_threshold_applies,status,gradient_scope,topology_differentiability_claimed,regression_context,git_hash,stage01d_config_sha256
physical_viscosity,1,0.02,1e-06,0.4998329733713628,-0.0034651963765488444,0.0034651963765488444,-0.00346519637983711,9.489405888688092e-10,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,3,0.02,1e-06,0.49969440275028243,-0.010392701421440552,0.010392701421440552,-0.010392701421668704,2.1953153181929125e-11,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,5,0.02,1e-06,0.49955587222688336,-0.017316357560075938,0.017316357560075938,-0.017316357570074103,5.773827116647684e-10,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,8,0.02,1e-06,0.49934815159995805,-0.027694628667218266,0.027694628667218266,-0.027694628645935637,7.684749520603249e-10,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
physical_viscosity,16,0.02,1e-06,0.49879467058409266,-0.055327740605676315,0.055327740605676315,-0.05532774061123291,1.004305758363417e-10,True,True,False,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,1,1.0,1e-06,0.4998329733713628,0.999665940558846,0.999665940558846,0.9996659405542285,4.618960566801685e-12,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,3,1.0,1e-06,0.49969440275028243,0.9993887845459013,0.9993887845459013,0.9993887844783611,6.75815025172162e-11,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,5,1.0,1e-06,0.49955587222688336,0.999111705525415,0.999111705525415,0.9991117055352383,9.832098142542863e-12,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,8,1.0,1e-06,0.49934815159995805,0.998696231308543,0.998696231308543,0.9986962312413805,6.725017646005257e-11,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
initial_velocity_amplitude,16,1.0,1e-06,0.49879467058409266,0.9975891461930309,0.9975891461930309,0.9975891461233566,6.984264676724858e-11,True,True,False,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,1,0.0,1e-06,0.4998329733713628,0.0015009368658270407,0.0015009368658270407,0.001500936874787584,5.969966755706452e-09,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,3,0.0,1e-06,0.49969440275028243,0.0015003100434529586,0.0015003100434529586,0.0015003100428678806,3.8997138994803004e-10,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,5,0.0,1e-06,0.49955587222688336,0.0014996834449849826,0.0014996834449849826,0.0014996834607483578,1.0511134922632863e-08,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,8,0.0,1e-06,0.49934815159995805,0.0014987439669196685,0.0014987439669196685,0.0014987439622693444,3.102814277952244e-09,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_velocity_x_particle_0,16,0.0,1e-06,0.49879467058409266,0.0014962411519082943,0.0014962411519082943,0.0014962411587493563,4.572165365904866e-09,True,True,False,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_pressure_particle_0,1,0.0,1e-06,0.4998329733713628,1.011595431790666e-06,1.011595431790666e-06,1.0115797088872114e-06,1.5542679375967417e-05,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_pressure_particle_0,3,0.0,1e-06,0.49969440275028243,3.034122117609633e-06,3.034122117609633e-06,3.034072992846859e-06,1.6190766511573288e-05,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_pressure_particle_0,5,0.0,1e-06,0.49955587222688336,5.055763459759364e-06,5.055763459759364e-06,5.055789120689269e-06,5.075553843865566e-06,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_pressure_particle_0,8,0.0,1e-06,0.49934815159995805,8.086566048494158e-06,8.086566048494158e-06,8.086586955613484e-06,2.5854070995691526e-06,True,True,True,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
local_pressure_particle_0,16,0.0,1e-06,0.49879467058409266,1.6158977473255786e-05,1.6158977473255786e-05,1.6158963056511766e-05,8.921817017089692e-07,True,True,False,PASS,fixed_neighbor_indices_and_geometry_value_path,False,stage01d_no_regression_check,3290b65837805ae5aa15f98580ffcd7e002161ba,7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0
