gate,check,passed,observed,threshold,source,severity,detail
I,scalar_decay_second_order,True,"{""decreases"":true,""finest_pair_order"":2.017727908586886,""fitted_order"":2.0414066768743058}","{""finest_pair_order_minimum"":1.75,""fitted_order_minimum"":1.8}",06_experiments/stage_01d_integrator_verification/results/integrator_verification.csv,HARD,
I,coupled_damped_oscillator_second_order,True,"{""decreases"":true,""finest_pair_order"":1.9964594041753698,""fitted_order"":1.992672681349704}","{""finest_pair_order_minimum"":1.75,""fitted_order_minimum"":1.8}",06_experiments/stage_01d_integrator_verification/results/integrator_verification.csv,HARD,
I,both_ode_integrator_gates,True,2/2,2/2,06_experiments/stage_01d_integrator_verification/results/integrator_verification.csv,HARD,
Z,position_drift,True,0.0,<= 1e-13,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,HARD,
Z,velocity_linf,True,2.5347314111606127e-14,<= 1e-12,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,HARD,
Z,pressure_linf,True,2.6645352591003757e-13,<= 1e-12,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,HARD,
Z,relative_density_drift,True,0.0,<= 1e-12,06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,HARD,
Z,zero_flow_100_steps_and_topology,True,"{""finite"":true,""sample_count"":101,""step_complete"":true,""topology"":{""neighbor_duplicate_edge_count"":0.0,""neighbor_missing_self_edge_count"":0.0,""neighbor_nonreciprocal_nonself_edge_count"":0.0,""neighbor_omitted_strict_support_edge_count"":0.0,""neighbor_out_of_bounds_edge_count"":0.0,""neighbor_unexpected_edge_count"":0.0}}","{""required_steps"":100,""topology_counts"":0}",06_experiments/stage_01d_fixed_physics_tgv/results/trajectory_samples/zero_flow_constant_neighbor_n16_h4p00_dt0p00100000_tf0p100_cs20p0_regular_s0.csv,HARD,spatially uniform initial kernel-summation density; particle masses remain rho0*dx^2
C,pressure_pair_residual,True,0.0,<= 1e-12,results/trajectory_samples/*.csv,HARD,
C,viscosity_pair_residual,True,0.0,<= 1e-12,results/trajectory_samples/*.csv,HARD,
C,reconstructed_total_internal_force,True,5.417403545550323e-18,<= 1e-10,results/trajectory_samples/*.csv,HARD,
C,assembled_mass_weighted_internal_force,True,5.417403545550323e-18,<= 1e-10,results/trajectory_samples/*.csv,HARD,
C,assembly_force_consistency,True,0.0,<= 1.4210854715202004e-14,results/trajectory_samples/*.csv,HARD,
C,viscous_power_nonpositive,True,0.0,<= 1e-12,results/trajectory_samples/*.csv,HARD,
C,all_accepted_samples_finite_and_topology_exact,True,"{""accepted_runs"":2,""accepted_samples"":112,""topology"":{""neighbor_duplicate_edge_count"":[0.0,""""],""neighbor_missing_self_edge_count"":[0.0,""""],""neighbor_nonreciprocal_nonself_edge_count"":[0.0,""""],""neighbor_omitted_strict_support_edge_count"":[0.0,""""],""neighbor_out_of_bounds_edge_count"":[0.0,""""],""neighbor_unexpected_edge_count"":[0.0,""""]}}",all finite; every topology defect count = 0,results/trajectory_samples/*.csv,HARD,
T,four_time_trajectories_finite,False,NOT_RUN,True,results/time_convergence_metrics.csv,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
T,analytic_endpoint_credible_decrease,False,NOT_RUN,at least one selected finest/coarsest ratio <= None,results/time_convergence_metrics.csv,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
T,velocity_self_convergence_credible_decrease,False,NOT_RUN,<= None,results/time_convergence_metrics.csv,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
T,analytic_or_self_time_trend,False,NOT_RUN,analytic OR self trend passes,results/time_convergence_metrics.csv,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
S,primary_selected_spatial_slopes_positive,False,NOT_RUN,all three fitted slopes > 0,results/space_convergence_metrics.csv,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
S,primary_velocity_n32_over_n16,False,NOT_RUN,<= None,results/space_convergence_metrics.csv,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
S,primary_space_gate,False,NOT_RUN,positive slopes and velocity N32/N16 gate,results/space_convergence_metrics.csv,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
S,conditional_time_pass_space_plateau,False,NOT_RUN,time complete/finite/credible; space complete; primary nonworsening plateau; support evidence complete,results/time_convergence_metrics.csv + results/space_convergence_metrics.csv,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
S,both_support_families_complete,False,NOT_RUN,3 regular trajectories per support family,results/space_convergence_metrics.csv,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
AD,dynamic_current_20_of_20,True,"{""metadata_pass"":true,""pass_count"":20,""raw_recomputed_declarations"":true,""row_count"":20,""short_max_relative_difference"":0.00011485198607266744,""step16"":true,""topology_disclaimed"":true}",20/20 recomputed from raw AD/FD; short <= 0.01; step16 finite nonzero; topology false; metadata exact,06_experiments/stage_01d_fixed_physics_tgv/results/dynamic_autograd_fd.csv,HARD,
AD,stage01c_current_regression_20_of_20,True,"{""metadata_pass"":true,""pass_count"":20,""raw_recomputed_declarations"":true,""row_count"":20,""short_max_relative_difference"":1.6190766511573288e-05,""step16"":true,""topology_disclaimed"":true}",20/20 recomputed from raw AD/FD; short <= 0.01; step16 finite nonzero; topology false; metadata exact,06_experiments/stage_01d_fixed_physics_tgv/results/stage01c_autograd_regression.csv,HARD,
AD,stage01c_frozen_baseline_20_of_20,True,"{""metadata_pass"":true,""pass_count"":20,""raw_recomputed_declarations"":true,""row_count"":20,""short_max_relative_difference"":1.6190766511573288e-05,""step16"":true,""topology_disclaimed"":true}",20/20 recomputed from raw AD/FD; short <= 0.01; step16 finite nonzero; topology false; metadata exact,06_experiments/stage_01c_autograd/results/native_autograd_fd.csv,HARD,
AD,current_stage01c_matches_frozen_case_keys,True,"{""parameter_step_keys_match"":true,""parameter_values_and_fd_steps_match"":true}","{""parameter_step_keys_match"":true,""parameter_values_and_fd_steps_match"":true}",results/stage01c_autograd_regression.csv + stage_01c_autograd/results/native_autograd_fd.csv,HARD,
SMOKE,n16_and_n32_smoke,False,"{""execution_status"":""COMPLETE"",""n16"":true,""n32"":false,""run_ids"":{""n16"":""smoke_n16_increasing_neighbor_n16_h4p00_dt0p00100000_tf0p010_cs20p0_regular_s0"",""n32"":""smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0""}}",both pass complete core sample gates,results/trajectory_samples/*.csv,HARD,
D,regular_disorder_control,False,NOT_RUN,True,results/disorder_summary.csv,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
D,jitter_05_disorder_control,False,NOT_RUN,True,results/disorder_summary.csv,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
D,jitter_10_velocity_error_multiplier,False,NOT_RUN,<= None,results/disorder_summary.csv,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
D,all_disorder_layouts_robust,False,NOT_RUN,all pre-registered runs pass core and clustering gates,results/disorder_summary.csv,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
D,conditional_disorder_regular_and_jitter05_only,False,NOT_RUN,PASS if all layouts pass; CONDITIONAL only if regular and 5% pass while 10% fails with sampled failure evidence,results/disorder_summary.csv,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
M,three_mach_runs_quantified,False,NOT_RUN,"all c_s={10,20,40} finite with error/density/cost evidence",results/mach_summary.csv,NOT_RUN,mach phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
M,conditional_quantified_model_form_error_dominant,False,NOT_RUN,three complete/core-passing Mach runs and a strict velocity-error decrease as Mach decreases,results/mach_summary.csv,NOT_RUN,mach phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
R,peak_rss,True,"{""archive_rss_failure_class_run_ids"":[],""effective_peak_rss_bytes"":324403200.0,""sample_peak_rss_bytes"":324386816.0,""summary_missing_or_nonfinite_run_ids"":[],""summary_post_archive_peak_rss_bytes"":324403200.0}",<= 8000000000,results/run_summary.csv + trajectory_samples/*.csv,HARD,
R,thermal_slowdown,True,0.05882581017894606,<= 0.3,results/run_summary.csv + trajectory_samples/*.csv,HARD,
R,minimum_separation_over_dx,True,0.9694777473544232,>= 0.25,results/run_summary.csv + trajectory_samples/*.csv,HARD,
R,sustained_memory_pressure_policy,True,"{""flagged_runs"":[],""missing_runs"":[]}","{""allowed_flagged_runs"":0,""consecutive_samples"":2,""free_percentage_below"":10.0}",run_summary flags or trajectory sample memory series,HARD,
R,sustained_current_rss_growth_policy,False,"{""flagged_runs"":[""smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0""],""missing_runs"":[]}","{""allowed_flagged_runs"":0,""consecutive_strict_increases"":4,""minimum_absolute_increase_bytes"":50000000,""minimum_fractional_increase"":0.25}",run_summary flags or trajectory sample current RSS series,HARD,
R,resource_and_unexplained_failure_gate,False,"{""core_nonaccepted"":[""smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0""],""hard_scope_states_finite"":true,""memory_growth_ok"":false,""memory_pressure_ok"":true,""unexplained"":[]}",all preregistered resource stop conditions clear,results/run_summary.csv + trajectory_samples/*.csv,HARD,
P,prerequisite_execution_order_and_evidence_identity,True,"{""execution_order_first_two"":[""independent scalar and coupled-ODE integrator verification"",""100-step regular zero-flow equilibrium""],""integrator_identity"":true,""master_config_sha256"":""7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0"",""run_git_identity"":true}",integrator then zero-flow; one exact git identity; integrator config hash equals current preregistration,06_experiments/stage_01d_fixed_physics_tgv/configs/preregistered_primary_tgv.yml,HARD,
P,configuration_logs_and_failure_evidence_retained,True,"{""actual_master_preregistration_sha256"":""7fa2dd01f7c9a493958fc3732a776e919077479d5c91baad345f172f177f6da0"",""config_and_git_hashes_complete"":true,""execution_order_first_two"":[""independent scalar and coupled-ODE integrator verification"",""100-step regular zero-flow equilibrium""],""expected_git_hash"":""3290b65837805ae5aa15f98580ffcd7e002161ba"",""failed_run_count"":1,""failure_evidence_missing_count"":0,""failure_evidence_present_count"":1,""integrator_identity_pass"":true,""missing_trajectory_state_run_ids"":[],""pass"":true,""preregistration_revision"":6,""preregistration_revision_at_least_5"":true,""preregistration_status_exact"":true,""prerequisite_execution_order_pass"":true,""recorded_paths_relative_only"":true,""resolved_config_mismatch_run_ids"":[],""resolved_config_verified_count"":3,""run_count"":3,""run_git_identity_pass"":true,""sample_table_count"":3,""source_trees_clean"":true,""stderr_log_missing_count"":0,""stderr_log_present_count"":3,""stdout_log_missing_count"":0,""stdout_log_present_count"":3,""trajectory_state_count"":3,""unique_run_git_hashes"":[""3290b65837805ae5aa15f98580ffcd7e002161ba""]}",all hashes/logs and failed-run evidence present,results/run_summary.csv,HARD,
V2,decision_hard_time_four_finite,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_time_credible_trend,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,time phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_primary_space,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_support_family_complete,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,space_and_support phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_smoke,False,False,True,derived from prior gate rows,HARD,failure-priority decision input
V2,decision_hard_disorder_complete,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_regular_disorder_control,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_jitter_05_disorder_control,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_mach_quantified,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,mach phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
V2,decision_hard_resources_and_clustering,False,False,True,derived from prior gate rows,HARD,failure-priority decision input
V2,decision_hard_disorder_outcome_qualified,False,NOT_RUN,True,derived from prior gate rows,NOT_RUN,disorder phase blocked by a prior preregistered hard gate; prior_failed_run_ids=smoke_n32_increasing_neighbor_n32_h5p00_dt0p00050000_tf0p010_cs20p0_regular_s0
