schema_version,run_id,step,time,state_all_finite,gc_enabled,grad_enabled,current_rss_bytes,peak_rss_bytes,system_available_memory_fraction,step_wall_seconds,edge_count,light_duplicate_edge_count,light_nonreciprocal_edge_count,full_structure_audit,neighbor_duplicate_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,pressure_relative_pair_force_residual,viscosity_relative_pair_force_residual,relative_total_internal_force,viscous_power
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,0,0.0,True,True,False,231309312,231309312,0.38346004486083984,0.0,82944,0,0,True,0,0,0,0,0,0,0.0,0.0,2.7229308929826035e-19,-0.7687928697867699
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,25,0.003125000000000002,True,True,False,275955712,275955712,0.38144397735595703,0.07696791598573327,76672,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,50,0.006250000000000005,True,True,False,276004864,276004864,0.38332271575927734,0.07815104199107736,76576,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,75,0.009375000000000007,True,True,False,276119552,276119552,0.38297367095947266,0.07706708298064768,77264,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,100,0.01250000000000001,True,True,False,276168704,276168704,0.3815269470214844,0.0768498329562135,77712,0,0,True,0,0,0,0,0,0,0.0,0.0,2.347444130899319e-18,-0.7615085076229487
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,125,0.01562500000000001,True,True,False,280363008,280363008,0.38187694549560547,0.07836158399004489,78096,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,150,0.018750000000000013,True,True,False,280772608,280772608,0.3833465576171875,0.07736058300361037,78256,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,175,0.021875000000000016,True,True,False,280838144,280838144,0.3820219039916992,0.07853874994907528,78544,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,200,0.02500000000000002,True,True,False,281165824,281165824,0.3844470977783203,0.07780237501719967,78736,0,0,True,0,0,0,0,0,0,0.0,0.0,4.435307040482214e-18,-0.753118760734567
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,225,0.02812500000000002,True,True,False,285392896,285392896,0.3856620788574219,0.0772674169857055,78864,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,250,0.03125000000000002,True,True,False,285442048,285442048,0.3820075988769531,0.07655929197790101,78928,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,275,0.034375000000000024,True,True,False,285442048,285442048,0.3843069076538086,0.07654258300317451,79248,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,300,0.037500000000000026,True,True,False,285474816,285474816,0.3854713439941406,0.077008374966681,79440,0,0,True,0,0,0,0,0,0,0.0,0.0,3.607248240977272e-18,-0.7466405931759803
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,325,0.04062500000000003,True,True,False,293978112,293978112,0.3816976547241211,0.07797633297741413,79760,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,350,0.04375000000000003,True,True,False,293994496,293994496,0.38303184509277344,0.07745949999662116,79984,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,375,0.046875000000000035,True,True,False,293994496,293994496,0.38290977478027344,0.0779482499929145,80208,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,400,0.05000000000000004,True,True,False,294043648,294043648,0.3808469772338867,0.07738166698254645,80400,0,0,True,0,0,0,0,0,0,0.0,0.0,2.7822782733221508e-18,-0.739920194325192
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,425,0.05312500000000004,True,True,False,298237952,298237952,0.3826732635498047,0.07758191705215722,80656,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,450,0.05625000000000004,True,True,False,298319872,298319872,0.38276004791259766,0.07846337498631328,80720,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,475,0.059375000000000046,True,True,False,298319872,298319872,0.3805990219116211,0.07741620799060911,80624,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,500,0.06250000000000004,True,True,False,298336256,298336256,0.38321685791015625,0.07769300002837554,80720,0,0,True,0,0,0,0,0,0,3.640187524492822e-19,2.4705350029332895e-19,6.399172061549766e-18,-0.7328353042547324
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,525,0.06562500000000004,True,True,False,298336256,298336256,0.38286304473876953,0.07755933300359175,80880,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,550,0.06875000000000005,True,True,False,298336256,298336256,0.3799724578857422,0.07726229203399271,80912,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,575,0.07187500000000005,True,True,False,298336256,298336256,0.37961578369140625,0.07786554202903062,80944,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,600,0.07500000000000005,True,True,False,299057152,299057152,0.37952518463134766,0.07775437500094995,81072,0,0,True,0,0,0,0,0,0,0.0,0.0,2.66464392464944e-18,-0.7251374285477121
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,625,0.07812500000000006,True,True,False,299057152,299057152,0.3775014877319336,0.07795025000814348,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,650,0.08125000000000006,True,True,False,299057152,299057152,0.37976837158203125,0.0778739579836838,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,675,0.08437500000000006,True,True,False,299057152,299057152,0.3782815933227539,0.07723687496036291,80896,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,700,0.08750000000000006,True,True,False,299089920,299089920,0.37605762481689453,0.07767191698076203,80864,0,0,True,0,0,0,0,0,0,0.0,0.0,4.714759101857465e-18,-0.7178268276193774
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,725,0.09062500000000007,True,True,False,299089920,299089920,0.3771963119506836,0.08126233401708305,80928,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,750,0.09375000000000007,True,True,False,299106304,299106304,0.37902259826660156,0.07788150000851601,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,775,0.09687500000000007,True,True,False,299106304,299106304,0.37738704681396484,0.07828937500016764,80960,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,800,0.10000000000000007,True,True,False,299106304,299106304,0.377410888671875,0.08117912500165403,80736,0,0,True,0,0,0,0,0,0,0.0,0.0,5.093937275243601e-18,-0.7119037218092428
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,825,0.10312500000000008,True,True,False,299106304,299106304,0.3793764114379883,0.07761216600192711,80352,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,850,0.10625000000000008,True,True,False,299122688,299122688,0.3770132064819336,0.0781796250375919,80256,0,0,False,,,,,,,,,,
sph-pio-poc.stage01dp.canary.v1,stage01dp_canary_r3,875,0.10937500000000008,True,True,False,299122688,299122688,0.37758541107177734,0.07770058303140104,80128,0,0,False,,,,,,,,,,
