order,run_id,control,repeat,steps,return_code,worker_status,elapsed_seconds,pid,process_reclaimed,stdout_path,stderr_path,summary_path,git_hash,config_sha256
1,stage01dr2_a_r1,A,1,1000,0,PASS,170.222632750,9007,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r1_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r1_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_a_r1.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
2,stage01dr2_a_r2,A,2,1000,0,PASS,170.984202000,9192,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r2_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r2_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_a_r2.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
3,stage01dr2_a_r3,A,3,1000,0,PASS,173.578602125,9389,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r3_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_a_r3_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_a_r3.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
4,stage01dr2_c_r1,C,1,1000,0,PASS,123.516313750,9575,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r1_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r1_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_c_r1.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
5,stage01dr2_d_r1,D,1,1000,0,PASS,123.504110334,9759,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r1_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r1_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_d_r1.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
6,stage01dr2_b_r1,B,1,1000,0,PASS,64.246022375,9909,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r1_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r1_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_b_r1.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
7,stage01dr2_b_r3,B,3,1000,0,PASS,65.021529458,9994,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r3_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r3_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_b_r3.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
8,stage01dr2_c_r3,C,3,1000,0,PASS,124.094492000,10087,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r3_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r3_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_c_r3.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
9,stage01dr2_d_r2,D,2,1000,0,PASS,125.181408459,10236,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r2_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r2_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_d_r2.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
10,stage01dr2_c_r2,C,2,1000,0,PASS,124.156775709,10382,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r2_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_c_r2_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_c_r2.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
11,stage01dr2_b_r2,B,2,1000,0,PASS,64.808983791,10530,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r2_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_b_r2_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_b_r2.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
12,stage01dr2_d_r3,D,3,1000,0,PASS,123.398976875,10622,True,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r3_stdout.log,06_experiments/stage_01dr2_storage_attribution/logs/stage01dr2_d_r3_stderr.log,06_experiments/stage_01dr2_storage_attribution/results/run_summaries/stage01dr2_d_r3.json,084c702c6eab16b6983078494c01627fd2d8cfbe,c281b5ac299fa2f20b71960b86439b21b3a7e10444cd2e7b92ae5ab1ef1fae23
