step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
0,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
1,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
2,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
3,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
4,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
25,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
50,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
75,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
100,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
125,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
150,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
175,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
200,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
225,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
250,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
275,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
300,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
325,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
350,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
375,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
400,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
425,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
450,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
475,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
500,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
525,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
550,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
575,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
600,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
625,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
650,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
675,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
700,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
725,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
750,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
775,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
800,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
825,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
850,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
875,22,21,4128832,65568,3981344,81920,0,0,0,0,0,65568,3981344,16384,16384,16384,0,32768,0,0,0,82944,41984
