step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
0,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
1,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
2,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
3,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
4,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
25,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
50,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
75,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
100,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
125,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
150,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
175,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
200,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
225,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
250,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
275,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
300,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
325,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
350,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
375,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
400,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
425,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
450,21,20,4128832,65568,3981344,65536,0,16384,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,16384,82944,41984
475,21,20,4128736,65568,3981248,65536,0,16384,0,0,0,65568,3981248,0,16384,16384,0,32768,0,0,16384,82942,41983
500,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
525,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
550,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
575,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
600,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
625,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
650,21,20,4128640,65568,3981152,65536,0,16384,0,0,0,65568,3981152,0,16384,16384,0,32768,0,0,16384,82940,41982
675,21,20,4128736,65568,3981248,65536,0,16384,0,0,0,65568,3981248,0,16384,16384,0,32768,0,0,16384,82942,41983
700,21,20,4128736,65568,3981248,65536,0,16384,0,0,0,65568,3981248,0,16384,16384,0,32768,0,0,16384,82942,41983
725,21,20,4128736,65568,3981248,65536,0,16384,0,0,0,65568,3981248,0,16384,16384,0,32768,0,0,16384,82942,41983
