run_id,control,gc_checkpoint_count,maximum_age2_alive_tensor_reference_count,maximum_old_survivor_storage_count,maximum_old_survivor_bytes,maximum_same_slot_multiple_generation_count,explicit_referrer_chain_count,pass
stage01dr2_b_r1,B,45,0,0,0,0,0,True
stage01dr2_b_r2,B,45,0,0,0,0,0,True
stage01dr2_b_r3,B,45,0,0,0,0,0,True
stage01dr2_c_r1,C,45,0,0,0,0,0,True
stage01dr2_c_r2,C,45,0,0,0,0,0,True
stage01dr2_c_r3,C,45,0,0,0,0,0,True
stage01dr2_d_r1,D,45,0,0,0,0,0,True
stage01dr2_d_r2,D,45,0,0,0,0,0,True
stage01dr2_d_r3,D,45,0,0,0,0,0,True
stage01dr2_d_confirm_2000,D,85,0,0,0,0,0,True
