step,edge_count,removed_vs_initial,added_vs_initial
0,82944,0,0
1,82944,0,0
2,82944,0,0
3,82944,0,0
4,82944,0,0
5,82944,0,0
6,82944,0,0
7,82944,0,0
8,82944,0,0
9,82944,0,0
10,82944,0,0
11,82944,0,0
12,82944,0,0
13,82944,0,0
14,82944,0,0
15,82944,0,0
16,82944,0,0
17,82944,0,0
18,82944,0,0
19,82944,0,0
20,82944,0,0
21,82944,0,0
22,82944,0,0
23,82944,0,0
24,82944,0,0
25,82944,0,0
26,82944,0,0
27,82944,0,0
28,82944,0,0
29,82944,0,0
30,82944,0,0
31,82944,0,0
32,82944,0,0
33,82944,0,0
34,82944,0,0
35,82944,0,0
36,82944,0,0
37,82944,0,0
38,82944,0,0
39,82944,0,0
40,82944,0,0
41,82944,0,0
42,82944,0,0
43,82944,0,0
44,82944,0,0
45,82944,0,0
46,82944,0,0
47,82944,0,0
48,82944,0,0
49,82944,0,0
50,82944,0,0
51,82944,0,0
52,82944,0,0
53,82944,0,0
54,82944,0,0
55,82944,0,0
56,82944,0,0
57,82944,0,0
58,82944,0,0
59,82944,0,0
60,82944,0,0
61,82944,0,0
62,82944,0,0
63,82944,0,0
64,82944,0,0
65,82944,0,0
66,82944,0,0
67,82944,0,0
68,82944,0,0
69,82944,0,0
70,82944,0,0
71,82944,0,0
72,82944,0,0
73,82944,0,0
74,82944,0,0
75,82944,0,0
76,82944,0,0
77,82944,0,0
78,82944,0,0
79,82944,0,0
80,82944,0,0
81,82944,0,0
82,82944,0,0
83,82944,0,0
84,82944,0,0
85,82944,0,0
86,82944,0,0
87,82944,0,0
88,82944,0,0
89,82944,0,0
90,82944,0,0
91,82944,0,0
92,82944,0,0
93,82944,0,0
94,82944,0,0
95,82944,0,0
96,82944,0,0
97,82944,0,0
98,82944,0,0
99,82944,0,0
100,82944,0,0
101,82944,0,0
102,82944,0,0
103,82944,0,0
104,82944,0,0
105,82944,0,0
106,82944,0,0
107,82944,0,0
108,82944,0,0
109,82944,0,0
110,82944,0,0
111,82944,0,0
112,82944,0,0
113,82944,0,0
114,82944,0,0
115,82944,0,0
116,82944,0,0
117,82944,0,0
118,82944,0,0
119,82944,0,0
120,82944,0,0
121,82944,0,0
122,82944,0,0
123,82944,0,0
124,82944,0,0
125,82944,0,0
126,82944,0,0
127,82944,0,0
128,82944,0,0
129,82944,0,0
130,82944,0,0
131,82944,0,0
132,82944,0,0
133,82944,0,0
134,82944,0,0
135,82944,0,0
136,82944,0,0
137,82944,0,0
138,82944,0,0
139,82944,0,0
140,82944,0,0
141,82944,0,0
142,82944,0,0
143,82944,0,0
144,82944,0,0
145,82944,0,0
146,82944,0,0
147,82944,0,0
148,82944,0,0
149,82944,0,0
150,82944,0,0
151,82944,0,0
152,82944,0,0
153,82944,0,0
154,82944,0,0
155,82944,0,0
156,82944,0,0
157,82944,0,0
158,82944,0,0
159,82944,0,0
160,82944,0,0
161,82944,0,0
162,82944,0,0
163,82944,0,0
164,82944,0,0
165,82944,0,0
166,82944,0,0
167,82944,0,0
168,82944,0,0
169,82944,0,0
170,82944,0,0
171,82944,0,0
172,82944,0,0
173,82944,0,0
174,82944,0,0
175,82944,0,0
176,82944,0,0
177,82944,0,0
178,82944,0,0
179,82944,0,0
180,82944,0,0
181,82944,0,0
182,82944,0,0
183,82944,0,0
184,82944,0,0
185,82944,0,0
186,82944,0,0
187,82944,0,0
188,82944,0,0
189,82944,0,0
190,82944,0,0
191,82944,0,0
192,82944,0,0
193,82944,0,0
194,82944,0,0
195,82944,0,0
196,82944,0,0
197,82944,0,0
198,82944,0,0
199,82944,0,0
200,82944,0,0
201,82944,0,0
202,82944,0,0
203,82944,0,0
204,82944,0,0
205,82944,0,0
206,82944,0,0
207,82944,0,0
208,82944,0,0
209,82944,0,0
210,82944,0,0
211,82944,0,0
212,82944,0,0
213,82944,0,0
214,82944,0,0
215,82944,0,0
216,82944,0,0
217,82944,0,0
218,82944,0,0
219,82944,0,0
220,82944,0,0
221,82944,0,0
222,82944,0,0
223,82944,0,0
224,82944,0,0
225,82944,0,0
226,82944,0,0
227,82944,0,0
228,82944,0,0
229,82944,0,0
230,82944,0,0
231,82944,0,0
232,82944,0,0
233,82944,0,0
234,82944,0,0
235,82944,0,0
236,82944,0,0
237,82944,0,0
238,82944,0,0
239,82944,0,0
240,82944,0,0
241,82944,0,0
242,82944,0,0
243,82944,0,0
244,82944,0,0
245,82944,0,0
246,82944,0,0
247,82944,0,0
248,82944,0,0
249,82944,0,0
250,82944,0,0
251,82944,0,0
252,82944,0,0
253,82944,0,0
254,82944,0,0
255,82944,0,0
256,82944,0,0
257,82944,0,0
258,82944,0,0
259,82944,0,0
260,82944,0,0
261,82944,0,0
262,82944,0,0
263,82944,0,0
264,82944,0,0
265,82944,0,0
266,82944,0,0
267,82944,0,0
268,82944,0,0
269,82944,0,0
270,82944,0,0
271,82944,0,0
272,82944,0,0
273,82944,0,0
274,82944,0,0
275,82944,0,0
276,82944,0,0
277,82944,0,0
278,82944,0,0
279,82944,0,0
280,82944,0,0
281,82944,0,0
282,82944,0,0
283,82944,0,0
284,82944,0,0
285,82944,0,0
286,82944,0,0
287,82944,0,0
288,82944,0,0
289,82944,0,0
290,82944,0,0
291,82944,0,0
292,82944,0,0
293,82944,0,0
294,82944,0,0
295,82944,0,0
296,82944,0,0
297,82944,0,0
298,82944,0,0
299,82944,0,0
300,82944,0,0
301,82944,0,0
302,82944,0,0
303,82944,0,0
304,82944,0,0
305,82944,0,0
306,82944,0,0
307,82944,0,0
308,82944,0,0
309,82944,0,0
310,82944,0,0
311,82944,0,0
312,82944,0,0
313,82944,0,0
