step,edge_count,action,edge_key,row,col,offset_x,offset_y,lattice_shell,relative_distance_r_over_H,absolute_relative_cutoff_distance,near_cutoff
474,82942,removed,16560,16,176,-5,0,5.0,1.000000000000004,3.9968028886505635e-15,True
474,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
475,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
475,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
476,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
476,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
477,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
477,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
478,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
478,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
479,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
479,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
480,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
480,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
481,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
481,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
482,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
482,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
483,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
483,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
484,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
484,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
485,82942,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
485,82942,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
486,82940,removed,11435,11,171,-5,0,5.0,1.000000000000004,3.9968028886505635e-15,True
486,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
486,82940,removed,175115,171,11,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
486,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
487,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
487,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
487,82940,removed,175115,171,11,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
487,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
488,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000047,4.6629367034256575e-15,True
488,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
488,82940,removed,175115,171,11,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
488,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
489,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
489,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
489,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
489,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
490,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
490,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
490,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
490,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
491,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
491,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
491,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
491,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
492,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
492,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
492,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
492,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
493,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
493,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
493,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
493,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
494,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
494,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
494,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
494,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
495,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
495,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
495,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
495,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
496,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
496,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
496,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
496,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
497,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
497,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
497,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
497,82940,removed,180240,176,16,5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
498,82940,removed,11435,11,171,-5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
498,82940,removed,16560,16,176,-5,0,5.0,1.0000000000000042,4.218847493575595e-15,True
498,82940,removed,175115,171,11,5,0,5.0,1.0000000000000049,4.884981308350689e-15,True
