step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
0,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
2,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
3,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
4,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
25,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
50,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
75,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
100,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
125,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
150,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
175,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
200,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
225,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
250,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
275,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
300,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
325,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
350,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
375,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
400,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
425,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
450,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
475,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
500,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
525,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
550,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
575,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
600,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
625,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
650,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
675,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
700,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
725,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
750,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
775,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
800,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
825,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
850,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
875,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
900,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
925,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
950,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
975,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1000,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1025,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1050,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1075,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1100,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1125,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1150,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1175,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1200,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1225,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1250,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1275,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1300,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1325,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1350,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1375,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1400,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1425,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1450,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1475,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1500,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1525,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1550,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1575,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1600,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1625,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1650,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1675,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1700,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1725,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1750,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1775,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1800,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1825,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1850,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1875,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1900,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1925,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1950,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
1975,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
2000,21,21,4620320,65568,3981312,65536,0,507904,0,0,0,65568,3981312,0,16384,16384,0,32768,0,0,507904,82944,41984
