step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes,directed_edge_count,unique_pair_count
0,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
1,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
2,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
3,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
4,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
25,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
50,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
75,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
100,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
125,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
150,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
175,24,23,4620352,65568,3981344,65536,0,507904,0,0,0,65568,3981344,0,16384,16384,0,32768,0,0,507904,82944,41984
