step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
0,True,0,0,0,0,0,0,0,0,0
1,False,32,32,32,0,0,0,0,0,0
1,True,32,18,18,0,0,0,0,0,0
2,False,64,50,32,18,0,0,0,0,0
2,True,64,33,18,15,0,0,0,0,0
3,False,96,65,32,18,15,0,0,0,0
3,True,96,48,18,15,15,0,0,0,0
4,False,128,80,32,18,15,0,0,0,0
4,True,128,63,18,15,15,0,0,0,0
5,False,160,95,32,18,15,0,0,0,0
6,False,192,95,20,15,15,0,0,0,0
7,False,224,127,32,20,15,0,0,0,0
8,False,256,123,18,15,15,0,0,0,0
9,False,288,155,32,18,15,0,0,0,0
10,False,320,153,18,15,15,0,0,0,0
11,False,352,185,32,18,15,0,0,0,0
12,False,384,183,18,15,15,0,0,0,0
13,False,416,215,32,18,15,0,0,0,0
14,False,448,213,18,15,15,0,0,0,0
15,False,480,245,32,18,15,0,0,0,0
16,False,512,243,18,15,15,0,0,0,0
17,False,544,275,32,18,15,0,0,0,0
18,False,576,273,18,15,15,0,0,0,0
19,False,608,305,32,18,15,0,0,0,0
20,False,640,303,18,15,15,0,0,0,0
21,False,672,335,32,18,15,0,0,0,0
22,False,704,333,18,15,15,0,0,0,0
23,False,736,365,32,18,15,0,0,0,0
24,False,768,363,18,15,15,0,0,0,0
25,False,800,395,32,18,15,0,0,0,0
25,True,800,378,18,15,15,0,0,0,0
26,False,672,410,32,18,15,0,0,0,0
27,False,704,408,18,15,15,0,0,0,0
28,False,736,440,32,18,15,0,0,0,0
29,False,768,438,18,15,15,0,0,0,0
30,False,800,470,32,18,15,0,0,0,0
31,False,832,468,18,15,15,0,0,0,0
32,False,864,500,32,18,15,0,0,0,0
33,False,896,498,18,15,15,0,0,0,0
34,False,928,530,32,18,15,0,0,0,0
35,False,960,528,18,15,15,0,0,0,0
36,False,992,560,32,18,15,0,0,0,0
37,False,1024,558,18,15,15,0,0,0,0
38,False,1056,590,32,18,15,0,0,0,0
39,False,1088,588,18,15,15,0,0,0,0
40,False,1120,620,32,18,15,0,0,0,0
41,False,1152,618,18,15,15,0,0,0,0
42,False,1184,650,32,18,15,0,0,0,0
43,False,1216,648,18,15,15,0,0,0,0
44,False,1248,680,32,18,15,0,0,0,0
45,False,1280,678,18,15,15,0,0,0,0
46,False,1312,710,32,18,15,0,0,0,0
47,False,1344,708,18,15,15,0,0,0,0
48,False,1376,740,32,18,15,0,0,0,0
49,False,1408,738,18,15,15,0,0,0,0
50,False,1440,770,32,18,15,0,0,0,0
50,True,1440,753,18,15,15,0,0,0,0
51,False,1272,785,32,18,15,0,0,0,0
52,False,1304,783,18,15,15,0,0,0,0
53,False,1336,815,32,18,15,0,0,0,0
54,False,1368,813,18,15,15,0,0,0,0
55,False,1400,845,32,18,15,0,0,0,0
56,False,1432,843,18,15,15,0,0,0,0
57,False,1464,875,32,18,15,0,0,0,0
58,False,1496,873,18,15,15,0,0,0,0
59,False,1528,905,32,18,15,0,0,0,0
60,False,1560,903,18,15,15,0,0,0,0
61,False,1592,935,32,18,15,0,0,0,0
62,False,1624,933,18,15,15,0,0,0,0
63,False,1656,965,32,18,15,0,0,0,0
64,False,1688,963,18,15,15,0,0,0,0
65,False,1720,995,32,18,15,0,0,0,0
66,False,1752,993,18,15,15,0,0,0,0
67,False,1784,1025,32,18,15,0,0,0,0
68,False,1816,1023,18,15,15,0,0,0,0
69,False,1848,1055,32,18,15,0,0,0,0
70,False,1880,1053,18,15,15,0,0,0,0
71,False,1912,1085,32,18,15,0,0,0,0
72,False,1944,1083,18,15,15,0,0,0,0
73,False,1976,1115,32,18,15,0,0,0,0
74,False,2008,1113,18,15,15,0,0,0,0
75,False,2040,1145,32,18,15,0,0,0,0
75,True,2040,1128,18,15,15,0,0,0,0
76,False,1872,1160,32,18,15,0,0,0,0
77,False,1904,1158,18,15,15,0,0,0,0
78,False,1936,1190,32,18,15,0,0,0,0
79,False,1968,1188,18,15,15,0,0,0,0
80,False,2000,1220,32,18,15,0,0,0,0
81,False,2032,1218,18,15,15,0,0,0,0
82,False,2064,1250,32,18,15,0,0,0,0
83,False,2096,1248,18,15,15,0,0,0,0
84,False,2128,1280,32,18,15,0,0,0,0
85,False,2160,1278,18,15,15,0,0,0,0
86,False,2192,1310,32,18,15,0,0,0,0
