order,run_id,kind,repeat,return_code,worker_status,elapsed_seconds,pid,process_reclaimed,summary_path,stdout_path,stderr_path,git_hash,config_sha256
1,stage01dr4_fixture_a_r1,fixture_A,1,0,PASS,2.336562583,19871,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_a_r1.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r1_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r1_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
2,stage01dr4_fixture_b_r1,fixture_B,1,0,PASS,2.342188125,19878,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_b_r1.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r1_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r1_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
3,stage01dr4_fixture_c_r1,fixture_C,1,0,PASS,2.341554000,19886,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_c_r1.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_c_r1_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_c_r1_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
4,stage01dr4_fixture_d_r1,fixture_D,1,0,PASS,2.337275833,19891,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_d_r1.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_d_r1_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_d_r1_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
5,stage01dr4_fixture_a_r2,fixture_A,2,0,PASS,2.320380541,19898,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_a_r2.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r2_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r2_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
6,stage01dr4_fixture_b_r2,fixture_B,2,0,PASS,2.376974958,19904,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_b_r2.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r2_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r2_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
7,stage01dr4_fixture_c_r2,fixture_C,2,0,PASS,2.347204625,19906,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_c_r2.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_c_r2_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_c_r2_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
8,stage01dr4_fixture_d_r2,fixture_D,2,0,PASS,2.328492417,19910,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_d_r2.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_d_r2_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_d_r2_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
9,stage01dr4_fixture_a_r3,fixture_A,3,0,PASS,2.354798334,19920,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_a_r3.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r3_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_a_r3_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
10,stage01dr4_fixture_b_r3,fixture_B,3,0,PASS,2.338085834,19924,True,06_experiments/stage_01dr4_weakref_semantics/results/fixture_summaries/stage01dr4_fixture_b_r3.json,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r3_stdout.log,06_experiments/stage_01dr4_weakref_semantics/logs/stage01dr4_fixture_b_r3_stderr.log,32bc4682f4f93eebce831a97f43971f57f087b55,3e3ee24edd6bf4c20a5b6093f0c0d09fb92e2b5a7b3c0d041d699dc7298e7081
