evidence,expected_sha256,observed_sha256,identity_pass
r2_edge_working_set_models.csv,8f07f85b9166fae2bc5c4aff636f5d93adfcf5dfef49379a7e9a61bdbfb39f92,8f07f85b9166fae2bc5c4aff636f5d93adfcf5dfef49379a7e9a61bdbfb39f92,True
r2_weakref_lifetime_summary.csv,269b227ea5ae9d3f6860a53ae182ce13dc494164baf9c5d00873cb50df2d0441,269b227ea5ae9d3f6860a53ae182ce13dc494164baf9c5d00873cb50df2d0441,True
r3_control_summary.csv,487ed8cbd1193a8424f49d69c0086b2e69de7e99e04c5bd045d270b0424d8eef,487ed8cbd1193a8424f49d69c0086b2e69de7e99e04c5bd045d270b0424d8eef,True
r3_gate_evidence.csv,a2d8b510363ec92a2145e3a42b0cc4e7ac2a120ee72c4276317c3915fb9c5b74,a2d8b510363ec92a2145e3a42b0cc4e7ac2a120ee72c4276317c3915fb9c5b74,True
r3_classification_correction.json,ee329c313e956d538d0725218c793d4a4bd7f2b0369347c12e6317a2e1871744,ee329c313e956d538d0725218c793d4a4bd7f2b0369347c12e6317a2e1871744,True
r3_cutoff_shell_audit_summary.json,01581466a6bb5aa07244ad9c247e6e4e486977e5e93c1bf5626152a449d53003,01581466a6bb5aa07244ad9c247e6e4e486977e5e93c1bf5626152a449d53003,True
semantic:r2_model_semantics,n/a,n/a,True
semantic:r2_old_survivor_zero,n/a,n/a,True
semantic:r3_old_survivor_zero,n/a,n/a,True
semantic:r3_control_m_3_of_3,n/a,n/a,True
semantic:r3_cutoff_shell_explanation,n/a,n/a,True
