run_id,fixture,repeat,expected_retention,peak_current_persistent,peak_old_survivor_storage_count,peak_same_slot_multigeneration_count,process_reclaimed,pass
stage01dr4_fixture_a_r1,A,1,False,1,0,0,True,True
stage01dr4_fixture_b_r1,B,1,False,0,0,0,True,True
stage01dr4_fixture_c_r1,C,1,True,0,99,1,True,True
stage01dr4_fixture_d_r1,D,1,False,0,0,0,True,True
stage01dr4_fixture_a_r2,A,2,False,1,0,0,True,True
stage01dr4_fixture_b_r2,B,2,False,0,0,0,True,True
stage01dr4_fixture_c_r2,C,2,True,0,99,1,True,True
stage01dr4_fixture_d_r2,D,2,False,0,0,0,True,True
stage01dr4_fixture_a_r3,A,3,False,1,0,0,True,True
stage01dr4_fixture_b_r3,B,3,False,0,0,0,True,True
stage01dr4_fixture_c_r3,C,3,True,0,99,1,True,True
stage01dr4_fixture_d_r3,D,3,False,0,0,0,True,True
