semantic_slot,object_id,storage_key,creation_step,first_observed_step,last_observed_step,age,belongs_to_fixed_initial_edge_index,still_read_by_current_solver,has_same_slot_update_object,has_different_storage_generation,is_current_working_set,is_retired_reference,is_old_survivor,direct_referrer_type_names,semantic_class
endpoint_neighborhood.col,4508090608,cpu:5507743744:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.domain_max,4508042736,cpu:4457477440:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.domain_min,4508043296,cpu:4457132032:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.particle_support,4507902720,cpu:4470412288:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
endpoint_neighborhood.row,4508091648,cpu:5371658240:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.col,4508090608,cpu:5507743744:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.domain_max,4508042736,cpu:4457477440:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.domain_min,4508043296,cpu:4457132032:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.particle_support,4507902720,cpu:4470412288:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
midpoint_neighborhood.row,4508091648,cpu:5371658240:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.col,4508090608,cpu:5507743744:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.domain_max,4508042736,cpu:4457477440:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.domain_min,4508043296,cpu:4457132032:16,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.particle_support,4507902720,cpu:4470412288:8192,0,198,200,2,False,True,True,False,True,False,False,"[""DynamicSPHState"",""PeriodicNeighborhood""]",current_persistent_reference
start_stage_neighborhood.row,4508091648,cpu:5371658240:663552,0,198,200,2,True,True,True,False,True,False,False,"[""FrozenReciprocalTopology"",""PeriodicNeighborhood""]",current_persistent_reference
