force_call_index,state_time,edge_count,edge_identity_sha256,duplicate_edge_count,nonreciprocal_edge_count,dimensionless_cutoff_margin,full_audit,omitted_strict_support_edge_count,unexpected_edge_count
1,0.0,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,True,0,0
2,0.00025,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
3,0.0005,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
4,0.00075,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
5,0.001,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
6,0.00125,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
7,0.0015,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
8,0.00175,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
9,0.002,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
10,0.0022500000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
11,0.0025,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
12,0.00275,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
13,0.003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
14,0.0032500000000000003,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
15,0.0035,82944,6a242012867dc8b837e29b1a8324e93d22fc3f743ff363b5f117270d386b5a71,0,0,0.0,False,0,0
