step,gc_collected,watched_tensor_reference_count,alive_tensor_reference_count,age0_alive_tensor_reference_count,age1_alive_tensor_reference_count,age2_alive_tensor_reference_count,old_survivor_storage_count,old_survivor_bytes,old_survivor_slot_count,same_slot_multiple_generation_count
0,True,0,0,0,0,0,0,0,0,0
1,False,32,18,18,0,0,0,0,0,0
1,True,32,18,18,0,0,0,0,0,0
2,False,64,33,18,15,0,0,0,0,0
2,True,64,33,18,15,0,0,0,0,0
3,False,96,48,18,15,15,0,0,0,0
3,True,96,48,18,15,15,0,0,0,0
4,False,128,63,18,15,15,0,0,0,0
4,True,128,63,18,15,15,0,0,0,0
5,False,160,78,18,15,15,0,0,0,0
6,False,192,110,32,18,15,0,0,0,0
7,False,224,123,30,18,15,0,0,0,0
8,False,256,133,27,16,15,0,0,0,0
9,False,288,139,18,15,16,1,8192,1,0
10,False,320,171,32,18,15,1,8192,1,0
11,False,352,184,30,18,15,1,8192,1,0
12,False,384,198,26,18,18,4,2662400,2,0
13,False,416,206,18,16,18,4,2662400,3,0
14,False,448,238,32,18,16,5,2678784,4,0
15,False,480,251,30,18,15,5,2678784,4,0
16,False,512,265,26,18,18,8,5332992,4,1
17,False,544,272,18,15,18,8,5332992,4,2
18,False,576,304,32,18,15,8,5332992,4,2
19,False,608,317,30,18,15,8,5332992,4,2
20,False,640,311,26,15,15,0,0,0,0
21,False,672,319,18,16,15,0,0,0,0
22,False,704,351,32,18,16,1,16384,1,0
23,False,736,370,30,21,18,4,2670592,2,0
24,False,768,378,26,15,18,4,2670592,3,0
25,False,800,385,18,15,15,4,2670592,3,0
25,True,800,378,18,15,15,0,0,0,0
26,False,672,410,32,18,15,0,0,0,0
27,False,704,417,27,15,15,0,0,0,0
28,False,736,423,18,15,15,0,0,0,0
29,False,768,455,32,18,15,0,0,0,0
30,False,800,468,30,18,15,0,0,0,0
31,False,832,481,25,18,18,3,2654208,1,0
32,False,864,492,18,18,18,3,2654208,2,0
33,False,896,524,32,18,18,6,5308416,3,0
34,False,928,537,30,18,15,6,5308416,3,0
35,False,960,544,25,15,15,6,5308416,3,0
36,False,992,555,18,18,15,6,5308416,3,0
37,False,1024,587,32,18,18,9,7962624,3,1
38,False,1056,600,30,18,15,9,7962624,3,1
39,False,1088,613,25,18,18,12,10616832,3,2
40,False,1120,624,18,18,18,12,10616832,3,3
41,False,1152,656,32,18,18,15,13271040,3,3
42,False,1184,648,30,18,15,0,0,0,0
43,False,1216,661,25,18,18,3,2654208,1,0
44,False,1248,669,18,15,18,3,2654208,2,0
45,False,1280,701,32,18,15,3,2654208,2,0
46,False,1312,714,30,18,15,3,2654208,2,0
47,False,1344,728,26,18,18,6,5308416,2,1
48,False,1376,735,18,15,18,6,5308416,2,2
49,False,1408,767,32,18,15,6,5308416,2,2
50,False,1440,780,30,18,15,6,5308416,2,2
50,True,1440,753,18,15,15,0,0,0,0
51,False,1272,785,32,18,15,0,0,0,0
52,False,1304,792,27,15,15,0,0,0,0
53,False,1336,798,18,15,15,0,0,0,0
54,False,1368,830,32,18,15,0,0,0,0
55,False,1400,849,30,21,18,3,2654208,1,0
56,False,1432,856,25,15,18,3,2654208,2,0
57,False,1464,867,18,18,15,3,2654208,2,0
58,False,1496,899,32,18,18,6,5308416,3,0
59,False,1528,912,30,18,15,6,5308416,3,0
60,False,1560,919,25,15,15,6,5308416,3,0
61,False,1592,927,18,15,15,6,5308416,3,0
62,False,1624,959,32,18,15,6,5308416,3,0
63,False,1656,972,30,18,15,6,5308416,3,0
64,False,1688,979,25,15,15,6,5308416,3,0
65,False,1720,990,18,18,15,6,5308416,3,0
66,False,1752,1022,32,18,18,9,7962624,3,1
67,False,1784,1023,30,18,15,0,0,0,0
68,False,1816,1030,25,15,15,0,0,0,0
69,False,1848,1041,18,18,15,0,0,0,0
70,False,1880,1073,32,18,18,3,2654208,1,0
71,False,1912,1086,30,18,15,3,2654208,1,0
72,False,1944,1099,25,18,18,6,5308416,2,0
73,False,1976,1110,18,18,18,6,5308416,3,0
74,False,2008,1142,32,18,18,9,7962624,3,1
