order,run_id,mode,repeat,steps,return_code,worker_status,elapsed_seconds,pid,process_reclaimed,summary_path,stdout_path,stderr_path,git_hash,config_sha256
1,stage01dr5_l1_r1,L1,1,200,0,PASS,11.740887917,23131,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_l1_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_l1_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_l1_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
2,stage01dr5_g1_r1,G1,1,2000,0,PASS,57.006602500,23154,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g1_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
3,stage01dr5_g2_r1,G2,1,2000,0,PASS,80.842832208,23242,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g2_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
4,stage01dr5_g3_r1,G3,1,2000,0,PASS,56.636287750,23377,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g3_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
5,stage01dr5_g1_r2,G1,2,2000,0,PASS,53.802456625,23450,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g1_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
6,stage01dr5_g2_r2,G2,2,2000,0,PASS,78.406807375,23545,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g2_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
7,stage01dr5_g3_r2,G3,2,2000,0,PASS,56.408372375,23652,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g3_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
8,stage01dr5_g1_r3,G1,3,2000,0,PASS,53.782605500,23741,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g1_r3.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r3_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g1_r3_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
9,stage01dr5_g2_r3,G2,3,2000,0,PASS,78.100332583,23814,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g2_r3.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r3_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g2_r3_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
10,stage01dr5_g3_r3,G3,3,2000,0,PASS,55.707311792,23917,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_g3_r3.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r3_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_g3_r3_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
11,stage01dr5_i0_r1,I0,1,500,0,PASS,12.236347542,23998,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i0_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i0_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i0_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
12,stage01dr5_i1_r1,I1,1,500,0,PASS,11.832857083,24021,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i1_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i1_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i1_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
13,stage01dr5_i2_r1,I2,1,500,0,PASS,12.081611833,24037,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i2_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i2_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i2_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
14,stage01dr5_i3_r1,I3,1,500,0,PASS,12.308595875,24059,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i3_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i3_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i3_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
15,stage01dr5_i4_r1,I4,1,500,0,PASS,13.057764417,24081,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i4_r1.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i4_r1_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i4_r1_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
16,stage01dr5_i0_r2,I0,2,500,0,PASS,12.993839208,24100,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i0_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i0_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i0_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
17,stage01dr5_i1_r2,I1,2,500,0,PASS,12.412389083,24120,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i1_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i1_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i1_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
18,stage01dr5_i2_r2,I2,2,500,0,PASS,12.442496625,24137,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i2_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i2_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i2_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
19,stage01dr5_i3_r2,I3,2,500,0,PASS,12.470873791,24156,True,06_experiments/stage_01dr5_gc_cycle_localization/results/run_summaries/stage01dr5_i3_r2.json,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i3_r2_stdout.log,06_experiments/stage_01dr5_gc_cycle_localization/logs/stage01dr5_i3_r2_stderr.log,7ff1ac65efa9922fea909be9474e65a1593d0a28,52626240f728ebc5490905e906b0ef50fd5cbc459280bea6d587ff54530ee815
