step,tracked_tensor_count,tracked_tensor_storage_bytes,tracked_type_PeriodicNeighborhood,tracked_type_ForceEvaluation,tracked_type_DynamicSPHState,tracked_type_function,tracked_type_cell,current_rss_bytes
25,49,12402720,1,1,1,27943,14773,271040512
50,71,17940512,1,1,1,27947,14785,275333120
75,95,23511072,1,1,1,27952,14800,277594112
100,126,31784992,1,1,1,27957,14815,279068672
125,29,6897696,1,1,1,27940,14764,280641536
150,18,4128800,1,1,1,27936,14752,283492352
175,117,29048864,1,1,1,27956,14812,287178752
200,62,15204384,1,1,1,27946,14782,289849344
225,18,4128800,1,1,1,27936,14752,295288832
250,117,29048864,1,1,1,27956,14812,296747008
275,62,15204384,1,1,1,27946,14782,299466752
300,148,37322784,1,1,1,27961,14827,301465600
325,29,6897696,1,1,1,27940,14764,301547520
350,106,26279968,1,1,1,27954,14806,304578560
375,183,45662240,1,1,1,27968,14848,308838400
400,73,17973280,1,1,1,27948,14788,314540032
425,150,37355552,1,1,1,27962,14830,316604416
450,29,6897696,1,1,1,27940,14764,316637184
475,106,26279968,1,1,1,27954,14806,316653568
500,183,45662240,1,1,1,27968,14848,319717376
