step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
50,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
75,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
100,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
125,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
150,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
175,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
200,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
225,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
250,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
275,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
300,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
