step,live_tensor_count,live_unique_storage_count,live_total_bytes,current_state_bytes,current_edge_dependent_bytes,current_force_workspace_bytes,monitor_bytes,unknown_live_bytes,old_survivor_bytes,old_survivor_storage_count,inventory_error_count,semantic_current_state_bytes,semantic_current_neighborhood_bytes,semantic_current_density_EOS_bytes,semantic_current_pressure_force_bytes,semantic_current_viscosity_force_bytes,semantic_RK2_midpoint_bytes,semantic_diagnostics_temporary_bytes,semantic_archive_checkpoint_bytes,semantic_memory_monitor_temporary_bytes,semantic_unknown_bytes
25,18,18,4128800,40960,3989536,81920,0,16384,0,0,0,40960,3989536,16384,16384,16384,0,32768,0,0,16384
50,48,48,20217888,106496,17260576,180224,0,2670592,0,0,0,106496,17260576,49152,32768,32768,0,65536,0,0,2670592
75,27,27,12091424,40960,9297952,81920,0,2670592,0,0,0,40960,9297952,16384,16384,16384,0,32768,0,0,2670592
100,38,38,14860320,73728,9297952,163840,0,5324800,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,5324800
125,35,35,12189728,106496,9297952,114688,0,2670592,0,0,0,106496,9297952,49152,16384,16384,0,32768,0,0,2670592
150,24,24,9437216,40960,6643744,81920,0,2670592,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,2670592
175,24,24,9437216,40960,6643744,81920,0,2670592,0,0,0,40960,6643744,16384,16384,16384,0,32768,0,0,2670592
200,38,38,14860320,73728,9297952,163840,0,5324800,0,0,0,73728,9297952,32768,32768,32768,0,65536,0,0,5324800
225,26,26,4227104,106496,3989536,114688,0,16384,0,0,0,106496,3989536,49152,16384,16384,0,32768,0,0,16384
250,59,59,15130656,139264,11952160,368640,0,2670592,0,0,0,139264,11952160,106496,65536,65536,0,131072,0,0,2670592
275,41,41,12271648,106496,11952160,196608,0,16384,0,0,0,106496,11952160,65536,32768,32768,0,65536,0,0,16384
300,43,43,12304416,73728,11952160,262144,0,16384,0,0,0,73728,11952160,65536,49152,49152,0,98304,0,0,16384
325,64,64,20430880,73728,19914784,425984,0,16384,0,0,0,73728,19914784,98304,81920,81920,0,163840,0,0,16384
350,62,62,20414496,139264,14606368,344064,0,5324800,0,0,0,139264,14606368,81920,65536,65536,0,131072,0,0,5324800
375,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
400,62,62,20414496,139264,14606368,344064,0,5324800,0,0,0,139264,14606368,81920,65536,65536,0,131072,0,0,5324800
425,48,48,14991392,106496,11952160,262144,0,2670592,0,0,0,106496,11952160,65536,49152,49152,0,98304,0,0,2670592
450,65,65,23068704,139264,17260576,344064,0,5324800,0,0,0,139264,17260576,81920,65536,65536,0,131072,0,0,5324800
475,47,47,12353568,172032,9297952,212992,0,2670592,0,0,0,172032,9297952,81920,32768,32768,0,65536,0,0,2670592
500,53,53,17678368,139264,11952160,262144,0,5324800,0,0,0,139264,11952160,65536,49152,49152,0,98304,0,0,5324800
