step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,483,3,6,311,28,2,6139,466,10,0,0.0,235159552,4112416,82944,0.022038916999008507
2,0,0,0,0,0,38,4,6,312,28,2,6438,466,10,0,0.0,244563968,4112416,82944,0.021496000001206994
3,3,2654208,0,1,3,323,4,6,312,28,2,6438,466,10,0,0.0,249413632,4112416,82944,0.02531904203351587
4,13,8011776,3,2,13,636,4,6,312,28,2,6438,466,10,0,0.0,250789888,4112416,82944,0.02332120796199888
5,7,2703360,0,1,7,154,5,6,313,28,2,6866,466,10,0,0.0,250822656,4112416,82944,0.022083875024691224
6,15,8028160,5,2,13,429,5,6,313,28,2,6866,466,10,0,0.0,253542400,4112416,82944,0.021636083023622632
7,25,13385728,13,3,13,18,6,6,314,28,2,7314,466,10,0,0.0,254263296,4112416,82944,0.021225165983196348
8,12,5373952,5,2,10,242,6,6,314,28,2,7314,466,10,0,0.0,254279680,4112416,82944,0.022440041007939726
9,22,10731520,10,3,13,529,6,6,314,28,2,7314,466,10,0,0.0,255672320,4112416,82944,0.02204891701694578
10,9,2719744,2,2,10,37,7,6,315,28,2,7759,466,10,0,0.0,256475136,4112416,82944,0.02141487499466166
11,12,5373952,5,2,10,284,7,6,315,28,2,7759,466,10,0,0.0,256475136,4112416,82944,0.021360207989346236
12,22,10731520,10,3,13,569,7,6,315,28,2,7759,466,10,0,0.0,256524288,4112416,82944,0.02134958398528397
13,14,5390336,8,3,10,37,8,6,316,28,2,8182,466,10,0,0.0,256540672,4112416,82944,0.021294000034686178
14,17,8044544,8,3,10,303,8,6,316,28,2,8182,466,10,0,0.0,256622592,4112416,82944,0.021362582978326827
15,27,13402112,10,4,13,592,8,6,316,28,2,8182,466,10,0,0.0,256704512,4112416,82944,0.021046874986495823
16,17,8044544,8,3,10,43,9,6,317,28,2,8648,466,10,0,0.0,260718592,4112416,82944,0.021059208025690168
17,20,10698752,8,4,10,299,9,6,317,28,2,8648,466,10,0,0.0,262111232,4112416,82944,0.021109708992298692
18,30,16056320,10,5,13,586,9,6,317,28,2,8648,466,10,0,0.0,262144000,4112416,82944,0.021569709002505988
19,17,8044544,8,3,10,38,10,6,318,28,2,9129,466,10,0,0.0,264257536,4112416,82944,0.021707250038161874
