step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,484,3,6,311,28,2,6139,466,10,0,0.0,232472576,4112416,82944,0.02242720901267603
2,0,0,0,0,0,39,4,6,312,28,2,6438,466,10,0,0.0,240386048,4112416,82944,0.02173379104351625
3,3,2654208,0,1,3,324,4,6,312,28,2,6438,466,10,0,0.0,240467968,4112416,82944,0.02263541694264859
4,13,8011776,3,2,13,638,4,6,312,28,2,6438,466,10,0,0.0,242925568,4112416,82944,0.0218932080315426
5,7,2703360,0,1,7,154,5,6,313,28,2,6866,466,10,0,0.0,244269056,4112416,82944,0.022071749961469322
6,15,8028160,5,2,13,426,5,6,313,28,2,6866,466,10,0,0.0,244350976,4112416,82944,0.02185633301269263
7,25,13385728,13,3,13,18,6,6,314,28,2,7309,466,10,0,0.0,249806848,4112416,82944,0.02155691699590534
8,12,5373952,5,2,10,247,6,6,314,28,2,7309,466,10,0,0.0,249823232,4112416,82944,0.021865250018890947
9,22,10731520,10,3,13,534,6,6,314,28,2,7309,466,10,0,0.0,251297792,4112416,82944,0.022702582995407283
10,9,2719744,2,2,10,37,7,6,315,28,2,7752,466,10,0,0.0,252723200,4112416,82944,0.021741374977864325
11,12,5373952,5,2,10,291,7,6,315,28,2,7752,466,10,0,0.0,252723200,4112416,82944,0.02205579204019159
12,22,10731520,10,3,13,577,7,6,315,28,2,7752,466,10,0,0.0,252772352,4112416,82944,0.021616250043734908
13,14,5390336,8,3,10,37,8,6,316,28,2,8178,466,10,0,0.0,257490944,4112416,82944,0.021740916999988258
14,17,8044544,8,3,10,303,8,6,316,28,2,8178,466,10,0,0.0,257540096,4112416,82944,0.02184954099357128
15,27,13402112,10,4,13,592,8,6,316,28,2,8178,466,10,0,0.0,257572864,4112416,82944,0.02153616596478969
16,17,8044544,8,3,10,43,9,6,317,28,2,8643,466,10,0,0.0,258965504,4112416,82944,0.021901459025684744
17,20,10698752,8,4,10,296,9,6,317,28,2,8643,466,10,0,0.0,258998272,4112416,82944,0.022468167007900774
18,30,16056320,10,5,13,583,9,6,317,28,2,8643,466,10,0,0.0,262438912,4112416,82944,0.02269879198865965
19,17,8044544,8,3,10,37,10,6,318,28,2,9134,466,10,0,0.0,265207808,4112416,82944,0.02167820802424103
20,20,10698752,8,4,10,292,10,6,318,28,2,9134,466,10,0,0.0,265207808,4112416,82944,0.0219748750096187
21,30,16056320,10,5,13,578,10,6,318,28,2,9134,466,10,0,0.0,265256960,4112416,82944,0.021974791015964
22,20,10698752,8,4,10,37,11,6,319,28,2,9612,466,10,0,0.0,266633216,4112416,82944,0.022518500045407563
23,23,13352960,8,5,10,289,11,6,319,28,2,9612,466,10,0,0.0,266649600,4112416,82944,0.021763917000498623
24,33,18710528,10,6,13,576,11,6,319,28,2,9612,466,10,0,0.0,266698752,4112416,82944,0.02142083301441744
25,0,0,0,0,0,37,0,7,319,29,2,9612,1112,10,0,0.0,270106624,4112416,82944,0.021194833039771765
26,3,2654208,0,1,3,222,0,7,319,29,2,9612,1112,10,0,0.0,270123008,4112416,82944,0.02252454200061038
27,13,8011776,3,2,13,444,0,7,319,29,2,9612,1112,10,0,0.0,270123008,4112416,82944,0.022437707986682653
