step,retired_old_survivor_count,retired_old_survivor_bytes,same_slot_multigeneration_count,maximum_retired_generations_in_one_slot,retired_slot_count,gc_count_generation_0,gc_count_generation_1,gc_count_generation_2,gc_collections_generation_0,gc_collections_generation_1,gc_collections_generation_2,gc_collected_generation_0,gc_collected_generation_1,gc_collected_generation_2,manual_gc_collected_objects,manual_gc_wall_seconds,current_rss_bytes,live_current_tensor_bytes,edge_count,step_wall_seconds
1,0,0,0,0,0,484,3,6,311,28,2,6139,466,10,0,0.0,236339200,4112416,82944,0.024272708978969604
2,0,0,0,0,0,39,4,6,312,28,2,6438,466,10,0,0.0,245710848,4112416,82944,0.024478500010445714
3,3,2654208,0,1,3,461,4,6,312,28,2,6438,466,10,0,0.0,245825536,4112416,82944,0.02553833305137232
4,4,49152,0,1,4,87,5,6,313,28,2,6773,466,10,0,0.0,246874112,4112416,82944,0.025390291993971914
5,7,2703360,0,1,7,353,5,6,313,28,2,6773,466,10,0,0.0,246890496,4112416,82944,0.02534541697241366
6,17,8060928,7,2,13,37,6,6,314,28,2,7090,466,10,0,0.0,249741312,4112416,82944,0.026398792047984898
7,7,2703360,0,1,7,313,6,6,314,28,2,7090,466,10,0,0.0,250445824,4112416,82944,0.026860125013627112
8,17,8060928,7,2,13,636,6,6,314,28,2,7090,466,10,0,0.0,250544128,4112416,82944,0.025292208010796458
9,4,49152,0,1,4,87,7,6,315,28,2,7496,466,10,0,0.0,250560512,4112416,82944,0.023883874993771315
10,10,5357568,0,1,10,374,7,6,315,28,2,7496,466,10,0,0.0,252592128,4112416,82944,0.022965457988902926
11,20,10715136,10,2,13,0,8,6,316,28,2,7949,466,10,0,0.0,253313024,4112416,82944,0.02380962501047179
12,7,2703360,0,1,7,222,8,6,316,28,2,7949,466,10,0,0.0,253313024,4112416,82944,0.023763582983519882
13,17,8060928,7,2,13,529,8,6,316,28,2,7949,466,10,0,0.0,253345792,4112416,82944,0.02295825001783669
14,4,49152,0,1,4,37,9,6,317,28,2,8392,466,10,0,0.0,254722048,4112416,82944,0.02390533295692876
15,7,2703360,0,1,7,285,9,6,317,28,2,8392,466,10,0,0.0,254722048,4112416,82944,0.022979874978773296
16,17,8060928,7,2,13,600,9,6,317,28,2,8392,466,10,0,0.0,254738432,4112416,82944,0.022959624999202788
