run_id,rows,bitwise_hash_identity
stage01dr5_g1_r1,5,True
stage01dr5_g1_r2,5,True
stage01dr5_g1_r3,5,True
stage01dr5_g2_r1,5,True
stage01dr5_g2_r2,5,True
stage01dr5_g2_r3,5,True
stage01dr5_g3_r1,5,True
stage01dr5_g3_r2,5,True
stage01dr5_g3_r3,5,True
stage01dr5_i0_r1,5,True
stage01dr5_i0_r2,5,True
stage01dr5_i0_r3,5,True
stage01dr5_i1_r1,5,True
stage01dr5_i1_r2,5,True
stage01dr5_i1_r3,5,True
stage01dr5_i2_r1,5,True
stage01dr5_i2_r2,5,True
stage01dr5_i2_r3,5,True
stage01dr5_i3_r1,5,True
stage01dr5_i3_r2,5,True
stage01dr5_i3_r3,5,True
stage01dr5_i4_r1,5,True
stage01dr5_i4_r2,5,True
stage01dr5_i4_r3,5,True
stage01dr5_l1_r1,5,True
