semantic_slot,tensor_object_id,storage_key,shape,dtype,nbytes,gc_is_tracked,is_tensor_view,base_storage,creation_step,replacement_step,retirement_step,last_alive_step,gc_generation,python_owner_object_type,owner_creation_location,owner_source_module,owner_category,owner_project_owned,owner_diagnostic_owned
endpoint_neighborhood.displacement,4451419792,cpu:5772509184:1327104,82944x2,torch.float64,1327104,True,False,none,0,9,10,11,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454706752,cpu:5772509184:1327104,82944x2,torch.float64,1327104,True,False,none,0,190,191,192,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451373840,cpu:5246189568:1327104,82944x2,torch.float64,1327104,True,False,none,1,2,3,3,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451382480,cpu:5775556608:1327104,82944x2,torch.float64,1327104,True,False,none,1,5,6,6,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453808112,cpu:5775556608:1327104,82944x2,torch.float64,1327104,True,False,none,1,193,194,194,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451948480,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,51,52,53,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452438560,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,58,59,60,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452577792,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,65,66,66,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452872944,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,75,76,78,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453259600,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,90,91,92,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453260320,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,182,183,183,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453262560,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,124,125,127,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453363104,cpu:5237800960:1327104,82944x2,torch.float64,1327104,True,False,none,2,133,134,134,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451269552,cpu:5773524992:1327104,82944x2,torch.float64,1327104,True,False,none,3,4,5,6,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453525504,cpu:5239144448:1327104,82944x2,torch.float64,1327104,True,False,none,3,131,132,134,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451419552,cpu:5245206528:1327104,82944x2,torch.float64,1327104,True,False,none,5,6,7,8,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451381360,cpu:5776932864:1327104,82944x2,torch.float64,1327104,True,False,none,6,7,8,8,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451648048,cpu:5238456320:1327104,82944x2,torch.float64,1327104,True,False,none,9,10,11,11,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451653648,cpu:5778964480:1327104,82944x2,torch.float64,1327104,True,False,none,10,11,12,13,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452108560,cpu:5778964480:1327104,82944x2,torch.float64,1327104,True,False,none,10,34,35,36,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454710352,cpu:5240487936:1327104,82944x2,torch.float64,1327104,True,False,none,10,174,175,177,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451431872,cpu:5774573568:1327104,82944x2,torch.float64,1327104,True,False,none,11,12,13,13,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451265712,cpu:5242519552:1327104,82944x2,torch.float64,1327104,True,False,none,12,31,32,33,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451812048,cpu:5781651456:1327104,82944x2,torch.float64,1327104,True,False,none,13,14,15,21,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452112720,cpu:5781651456:1327104,82944x2,torch.float64,1327104,True,False,none,13,36,37,39,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451420432,cpu:5775228928:1327104,82944x2,torch.float64,1327104,True,False,none,14,53,54,165,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451426432,cpu:5773197312:1327104,82944x2,torch.float64,1327104,True,False,none,14,26,27,28,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451658448,cpu:5775228928:1327104,82944x2,torch.float64,1327104,True,False,none,14,15,16,16,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451821968,cpu:5773197312:1327104,82944x2,torch.float64,1327104,True,False,none,14,18,19,19,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4453020720,cpu:5773197312:1327104,82944x2,torch.float64,1327104,True,False,none,14,179,180,181,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4454461072,cpu:5776572416:1327104,82944x2,torch.float64,1327104,True,False,none,15,185,186,186,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451821168,cpu:5777915904:1327104,82944x2,torch.float64,1327104,True,False,none,16,17,18,19,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451826768,cpu:5243895808:1327104,82944x2,torch.float64,1327104,True,False,none,18,19,20,21,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451820368,cpu:5247303680:1327104,82944x2,torch.float64,1327104,True,False,none,19,20,21,21,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452108160,cpu:5773885440:1327104,82944x2,torch.float64,1327104,True,False,none,20,45,46,47,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451951360,cpu:5239832576:1327104,82944x2,torch.float64,1327104,True,False,none,21,22,23,24,2,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452440080,cpu:5239832576:1327104,82944x2,torch.float64,1327104,True,False,none,21,47,48,49,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452864704,cpu:5239832576:1327104,82944x2,torch.float64,1327104,True,False,none,21,66,67,89,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451658848,cpu:5775196160:1327104,82944x2,torch.float64,1327104,True,False,none,22,23,24,24,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452106320,cpu:5785714688:1327104,82944x2,torch.float64,1327104,True,False,none,24,25,26,28,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451663008,cpu:5243207680:1327104,82944x2,torch.float64,1327104,True,False,none,26,27,28,28,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452319952,cpu:5243207680:1327104,82944x2,torch.float64,1327104,True,False,none,26,78,79,89,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451949760,cpu:5244551168:1327104,82944x2,torch.float64,1327104,True,False,none,27,28,29,30,1,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4452874064,cpu:5244551168:1327104,82944x2,torch.float64,1327104,True,False,none,27,80,81,81,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451661568,cpu:5245894656:1327104,82944x2,torch.float64,1327104,True,False,none,28,29,30,30,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451657248,cpu:5506465792:1327104,82944x2,torch.float64,1327104,True,False,none,31,32,33,33,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451956000,cpu:5780307968:1327104,82944x2,torch.float64,1327104,True,False,none,34,35,36,36,0,unresolved,unresolved,unresolved,unresolved,False,False
endpoint_neighborhood.displacement,4451371840,cpu:5238489088:1327104,82944x2,torch.float64,1327104,True,False,none,36,37,38,39,0,unresolved,unresolved,unresolved,unresolved,False,False
