semantic_slot,retired_instance_count,unique_storage_count,first_retirement_step,last_alive_step,owner_types,owner_categories
endpoint_neighborhood.displacement,154,110,3,200,"[""unresolved""]","[""unresolved""]"
endpoint_neighborhood.distance,154,110,3,200,"[""unresolved""]","[""unresolved""]"
endpoint_neighborhood.edge_support,154,115,3,200,"[""unresolved""]","[""unresolved""]"
midpoint_neighborhood.displacement,98,67,5,200,"[""unresolved""]","[""unresolved""]"
midpoint_neighborhood.distance,98,70,5,200,"[""unresolved""]","[""unresolved""]"
midpoint_neighborhood.edge_support,98,73,5,200,"[""unresolved""]","[""unresolved""]"
old_state.densities,88,60,3,200,"[""unresolved""]","[""unresolved""]"
old_state.positions,87,70,3,200,"[""unresolved""]","[""unresolved""]"
old_state.pressures,88,75,3,200,"[""unresolved""]","[""unresolved""]"
old_state.velocities,87,69,3,200,"[""unresolved""]","[""unresolved""]"
start_stage_neighborhood.displacement,87,68,5,200,"[""unresolved""]","[""unresolved""]"
start_stage_neighborhood.distance,87,69,5,200,"[""unresolved""]","[""unresolved""]"
start_stage_neighborhood.edge_support,87,71,5,200,"[""unresolved""]","[""unresolved""]"
