run_id,resolution,repeat,variant,solver_completed,archive_only_failure,archive_localized,archive_overhead_bounded,archive_current_rss_increment_bytes,archive_current_rss_increment_fraction,archive_path_contract_pass,archive_array_contract_pass,archive_sha256_contract_pass,archive_phase_contract_pass,archive_contract_detail
stage01dr_n16_vc_r1,16,1,C,True,False,True,True,32768.0,0.00011097547442015315,True,True,True,True,completed archive validation
stage01dr_n32_va_r3,32,3,A,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_va_r2,32,2,A,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_vb_r1,32,1,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n16_vb_r2,16,2,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_vb_r2,32,2,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_vb_r3,32,3,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_vc_r3,32,3,C,True,False,True,True,32768.0,8.820286659316427e-05,True,True,True,True,completed archive validation
stage01dr_n32_vc_r2,32,2,C,True,False,True,True,32768.0,8.686587908269631e-05,True,True,True,True,completed archive validation
stage01dr_n16_vb_r3,16,3,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n16_va_r3,16,3,A,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_vc_r1,32,1,C,True,False,True,True,32768.0,8.517162081594413e-05,True,True,True,True,completed archive validation
stage01dr_n16_va_r2,16,2,A,True,False,True,True,,,,,,,archive disabled
stage01dr_n16_vb_r1,16,1,B,True,False,True,True,,,,,,,archive disabled
stage01dr_n32_va_r1,32,1,A,True,False,True,True,,,,,,,archive disabled
stage01dr_n16_vc_r2,16,2,C,True,False,True,True,32768.0,0.00011207621182404035,True,True,True,True,completed archive validation
stage01dr_n16_vc_r3,16,3,C,True,False,True,True,32768.0,0.00011323104795334881,True,True,True,True,completed archive validation
stage01dr_n16_va_r1,16,1,A,True,False,True,True,,,,,,,archive disabled
