run_id,kind,order,resolution,variant,repeat,evaluable,analysis_error,status,completed_steps,planned_steps,completion_pass,provenance_pass,sampling_coverage_pass,process_reclamation_pass,numerical_pass,system_memory_pressure_pass,rss_limit_pass,postwarmup_sample_count,required_phase_coverage_pass,first_quartile_rss_median_bytes,final_quartile_rss_median_bytes,final_minus_first_rss_bytes,final_over_first_rss_fractional_increase,rss_theil_sen_bytes_per_step,rss_bootstrap_ci95_lower_bytes_per_step,rss_bootstrap_ci95_upper_bytes_per_step,rss_bootstrap_effective_seed,rss_sustained_positive,rss_significantly_positive,rss_slope_limit_pass,rss_quartile_limit_pass,rolling_50_step_maximum_rss_increase_bytes,maximum_current_rss_bytes,peak_rss_bytes,postwarmup_vms_final_minus_first_bytes,postwarmup_minor_page_fault_delta,postwarmup_major_page_fault_delta,postwarmup_process_fault_delta,postwarmup_process_pagein_delta,postwarmup_process_cow_fault_delta,maximum_tracemalloc_peak_bytes,maximum_tracemalloc_internal_bytes,tensor_inventory_sample_count,tensor_inventory_contract_pass,retention_sample_count,retention_contract_pass,maximum_watched_object_alive_count,system_pressure_sample_count,system_pressure_contract_pass,tensor_count_theil_sen_per_step,tensor_count_final_minus_first,tensor_count_sustained_positive,tensor_bytes_theil_sen_per_step,tensor_bytes_final_minus_first,tensor_bytes_sustained_positive,tracemalloc_theil_sen_bytes_per_step,tracemalloc_final_minus_first_bytes,tracemalloc_sustained_positive,gc_object_theil_sen_per_step,gc_object_final_minus_first,gc_object_sustained_positive,archive_write_count,archive_checkpoint_count,archive_sha256,archive_bytes,archive_uncompressed_array_bytes,before_archive_current_rss_bytes,after_archive_current_rss_bytes,peak_rss_through_archive_bytes,archive_current_rss_delta_bytes,archive_current_rss_fraction,archive_path,solver_completed,last_completed_phase,failure_class,failure_phase,failure_evidence_path,particle_count,final_quartile_rss_bytes_per_particle,final_live_tensor_unique_storage_bytes,final_live_tensor_unique_storage_bytes_per_particle,mean_step_wall_seconds,final_edge_count,final_edges_per_particle,config_hash,git_hash,memory_sample_path,summary_path,process_exit_path,worker_config_path,retention_sample_path,numerical_rows,numerical_expected_rows,numerical_identity_and_step_coverage_pass,maximum_pair_force_residual,maximum_relative_total_internal_force,maximum_viscous_power,maximum_momentum_drift_normalized,minimum_separation_over_dx,maximum_topology_defect_count,topology_values_exact_nonnegative_integers,numerical_path
stage01dr_n16_vc_r1,qualifying,1,16,C,1,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,288145408.0,292880384.0,4734976.0,0.016432592255643374,15961.187096774194,12485.105426944838,18583.051686332976,2252530068,True,True,True,True,2736128.0,295305216.0,295305216.0,402653184.0,98860.0,0.0,98860.0,0.0,1705.0,67210663.0,38218208.0,7,True,12,True,0,29,True,0.0,0.0,False,38.4,23040.0,True,399.28666666666663,230709.0,False,0.0,0.0,False,1,10,07a868db0d44e48626251d9688294f369dd0f94b6c86ed3b9e02e67bcad5273c,43558,123040,295272448,295305216,295305216,32768.0,0.00011097547442015315,06_experiments/stage_01dr_memory_diagnosis/snapshots/stage01dr_n16_vc_r1.npz,True,after_archive,,,,256,1144064.0,657496.0,2568.34375,0.04036932550904263,12928,50.5,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n16_vc_r1.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n16_vc_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n16_vc_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n16_vc_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n16_vc_r1.csv,21,21,True,0.0,1.156733667853334e-17,-0.5351180812603817,2.710505431213761e-17,0.40246939138784577,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n16_vc_r1.csv
stage01dr_n32_va_r3,qualifying,2,32,A,3,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,341229568.0,365363200.0,24133632.0,0.07072550055216786,61615.54285714286,51885.55755102046,69139.28126984178,4045830013,True,True,True,True,9732096.0,365363200.0,365363200.0,269484032.0,141704.0,0.0,141704.0,0.0,1732.0,66820857.0,38144480.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,84.7561224489796,74974.0,False,0.0,0.0,False,0,0,,0,0,365363200,365363200,365363200,0.0,0.0,,True,after_archive,,,,1024,356800.0,3998296.0,3904.5859375,0.1184588606665784,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_va_r3.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_va_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_va_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_va_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_va_r3.csv,5,5,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,1.7276321621596215e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_va_r3.csv
stage01dr_n32_va_r2,qualifying,3,32,A,2,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,337395712.0,344244224.0,6848512.0,0.020298159568785508,19396.54193548387,12034.696608562143,25048.31592270998,989350373,True,True,True,True,4997120.0,344244224.0,344244224.0,268435456.0,143093.0,0.0,143093.0,0.0,1693.0,66824993.0,38146976.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,94.58974358974359,75634.0,False,0.0,0.0,False,0,0,,0,0,344244224,344244224,344244224,0.0,0.0,,True,after_archive,,,,1024,336176.0,3998296.0,3904.5859375,0.11678554339475038,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_va_r2.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_va_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_va_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_va_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_va_r2.csv,5,5,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,1.7276321621596215e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_va_r2.csv
stage01dr_n32_vb_r1,qualifying,4,32,B,1,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,359653376.0,375455744.0,15802368.0,0.04393777190624786,42173.62962962963,24719.615808603605,54248.43928705758,450961579,True,True,True,True,11141120.0,379666432.0,379666432.0,583008256.0,183461.0,0.0,183461.0,0.0,1669.0,67085224.0,38215264.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,324.44443277310927,184733.0,False,0.0,0.0,False,0,0,,0,0,379666432,379666432,379666432,0.0,0.0,,True,after_archive,,,,1024,366656.0,3998296.0,3904.5859375,0.1156795212518773,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_vb_r1.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_vb_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_vb_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_vb_r1.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_vb_r1.csv,21,21,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,2.3821439950090528e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_vb_r1.csv
stage01dr_n16_vb_r2,qualifying,5,16,B,2,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,282681344.0,286490624.0,3809280.0,0.013475526704726577,7553.588965517241,3676.341952129833,10044.429451560012,2780969608,True,True,True,True,2572288.0,286523392.0,286523392.0,0.0,99691.0,0.0,99691.0,0.0,1565.0,67085833.0,38215744.0,7,True,12,True,0,29,True,0.0,0.0,False,38.4,23040.0,True,319.8386896221904,187512.0,False,0.0,0.0,False,0,0,,0,0,286523392,286523392,286523392,0.0,0.0,,True,after_archive,,,,256,1119104.0,657496.0,2568.34375,0.040568974804045865,12928,50.5,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n16_vb_r2.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n16_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n16_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n16_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n16_vb_r2.csv,21,21,True,0.0,1.156733667853334e-17,-0.5351180812603817,2.710505431213761e-17,0.40246939138784577,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n16_vb_r2.csv
stage01dr_n32_vb_r2,qualifying,6,32,B,2,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,359219200.0,369737728.0,10518528.0,0.02928164196123147,12136.296296296296,3393.0614009774067,17293.216131687248,3872764615,True,True,True,True,11042816.0,371064832.0,371064832.0,430964736.0,186257.0,0.0,186257.0,0.0,1620.0,67090241.0,38218112.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,319.78210526315786,187826.0,False,0.0,0.0,False,0,0,,0,0,369786880,371064832,371064832,1277952.0,0.0034559149313247673,,True,after_archive,,,,1024,361072.0,3998296.0,3904.5859375,0.1168710281872336,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_vb_r2.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_vb_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_vb_r2.csv,21,21,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,2.3821439950090528e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_vb_r2.csv
stage01dr_n32_vb_r3,qualifying,7,32,B,3,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,359415808.0,372572160.0,13156352.0,0.036604822901946485,31734.956883116884,17730.48305568447,41119.622700921085,2551053422,True,True,True,True,8519680.0,372670464.0,372670464.0,16777216.0,182980.0,0.0,182980.0,0.0,1616.0,67088980.0,38217536.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,326.3184523809524,184998.0,False,0.0,0.0,False,0,0,,0,0,372670464,372670464,372670464,0.0,0.0,,True,after_archive,,,,1024,363840.0,3998296.0,3904.5859375,0.11466188763370155,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_vb_r3.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_vb_r3.csv,21,21,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,2.3821439950090528e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_vb_r3.csv
stage01dr_n32_vc_r3,qualifying,8,32,C,3,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,361603072.0,367050752.0,5447680.0,0.015065358736775334,17283.513725490197,9893.044705882563,22018.11371122996,960218986,True,True,True,True,8945664.0,371539968.0,371539968.0,171966464.0,182579.0,0.0,182579.0,0.0,1587.0,67587405.0,38223360.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,672.6401960784314,389472.0,False,0.0,0.0,False,1,10,79d6e0fbe889c40008364f6bdcf986920e12d72f06f6dcbce8f61fed07d51e9c,178194,491680,371507200,371539968,371539968,32768.0,8.820286659316427e-05,06_experiments/stage_01dr_memory_diagnosis/snapshots/stage01dr_n32_vc_r3.npz,True,after_archive,,,,1024,358448.0,3998296.0,3904.5859375,0.11565917577475678,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_vc_r3.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_vc_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_vc_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_vc_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_vc_r3.csv,21,21,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,2.3821439950090528e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_vc_r3.csv
stage01dr_n32_vc_r2,qualifying,9,32,C,2,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,361725952.0,377176064.0,15450112.0,0.04271220219222756,45616.39800995025,36605.49830460439,51376.61862945015,1812485368,True,True,True,True,15138816.0,377257984.0,377257984.0,574619648.0,181145.0,0.0,181145.0,0.0,1587.0,67576581.0,38218656.0,7,True,12,True,0,29,True,0.0,0.0,False,10.24,112896.0,True,666.2974074074075,385154.0,False,0.0,0.0,False,1,10,79d6e0fbe889c40008364f6bdcf986920e12d72f06f6dcbce8f61fed07d51e9c,178194,491680,377225216,377257984,377257984,32768.0,8.686587908269631e-05,06_experiments/stage_01dr_memory_diagnosis/snapshots/stage01dr_n32_vc_r2.npz,True,after_archive,,,,1024,368336.0,3998296.0,3904.5859375,0.11645910633221017,80224,78.34375,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n32_vc_r2.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n32_vc_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n32_vc_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n32_vc_r2.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n32_vc_r2.csv,21,21,True,1.2858928595215372e-16,1.0721510262957422e-17,-0.6307554999962869,2.3821439950090528e-17,0.4797147122503702,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n32_vc_r2.csv
stage01dr_n16_vb_r3,qualifying,10,16,B,3,True,,PASS,500,500,True,True,True,True,True,True,True,96,True,285687808.0,290947072.0,5259264.0,0.01840913001089637,9485.473684210527,5609.690296328998,12022.926836116654,1439645884,True,True,True,True,2850816.0,290996224.0,290996224.0,575668224.0,101057.0,0.0,101057.0,0.0,1608.0,67079743.0,38211264.0,7,True,12,True,0,29,True,0.0,0.0,False,38.4,23040.0,True,320.1132592592593,184465.0,False,0.0,0.0,False,0,0,,0,0,290996224,290996224,290996224,0.0,0.0,,True,after_archive,,,,256,1136512.0,657496.0,2568.34375,0.04051979517316795,12928,50.5,1d0fbdaeba85d26a6c76b2d04079393b3dff704c0ede9de35726859870bf6dc8,0d562a4d8ed662c33797b738cd0f7ae9c00c1618,06_experiments/stage_01dr_memory_diagnosis/results/memory_samples/stage01dr_n16_vb_r3.jsonl,06_experiments/stage_01dr_memory_diagnosis/results/run_summaries/stage01dr_n16_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/process_exit/stage01dr_n16_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/run_configs/stage01dr_n16_vb_r3.json,06_experiments/stage_01dr_memory_diagnosis/results/retention_samples/stage01dr_n16_vb_r3.csv,21,21,True,0.0,1.156733667853334e-17,-0.5351180812603817,2.710505431213761e-17,0.40246939138784577,0.0,True,06_experiments/stage_01dr_memory_diagnosis/results/numerical_samples/stage01dr_n16_vb_r3.csv
