schema_version,run_id,step,time,state_all_finite,pressure_relative_pair_force_residual,viscosity_relative_pair_force_residual,relative_total_internal_force,viscous_power,momentum_drift_normalized,minimum_separation,minimum_separation_over_dx,neighbor_duplicate_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,edge_count
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,0,0.0,True,0.0,0.0,3.747080214597893e-18,-0.7380934935476665,0.0,0.125,1.0,0,0,0,0,0,0,12544
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,25,0.025,True,0.0,0.0,1.156733667853334e-17,-0.723611348718739,2.001478396158556e-17,0.11562674450807786,0.9250139560646229,0,0,0,0,0,0,12448
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,50,0.05,True,0.0,0.0,4.7634135141213805e-18,-0.7114358063834376,1.2922602919446656e-17,0.10738474365633255,0.8590779492506604,0,0,0,0,0,0,12608
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,75,0.075,True,0.0,0.0,5.327288561110185e-18,-0.6982294765558208,1.1646975920164511e-17,0.09977403058998391,0.7981922447198713,0,0,0,0,0,0,12768
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,100,0.1,True,0.0,0.0,2.8767947632013768e-18,-0.6833301691330043,2.2808544860113032e-17,0.09259678699041607,0.7407742959233286,0,0,0,0,0,0,12704
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,125,0.125,True,0.0,0.0,2.289083228426054e-18,-0.6714298531419827,2.710505431213761e-17,0.08647235520211849,0.6917788416169479,0,0,0,0,0,0,12736
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,150,0.15,True,0.0,0.0,1.620277883965532e-18,-0.6574675386554694,2.014749883300536e-17,0.08054231332495476,0.6443385065996381,0,0,0,0,0,0,12768
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,175,0.17500000000000002,True,0.0,0.0,2.370839976714173e-18,-0.6440937587155419,1.677678060179868e-17,0.07532913299731736,0.6026330639785389,0,0,0,0,0,0,12784
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,200,0.2,True,0.0,0.0,3.2010632137409742e-18,-0.6298357045962962,1.5913783426361992e-17,0.07082251679334406,0.5665801343467525,0,0,0,0,0,0,12784
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,225,0.225,True,0.0,0.0,2.1192544694083657e-18,-0.6121869499328275,2.5504343825533347e-17,0.06662026644340102,0.5329621315472082,0,0,0,0,0,0,12832
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,250,0.25,True,0.0,0.0,2.673706307883915e-18,-0.5955057238911317,2.3588811032038857e-17,0.06345932121397135,0.5076745697117708,0,0,0,0,0,0,12864
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,275,0.275,True,0.0,0.0,4.590635783897697e-18,-0.5731516083069073,2.620272391237754e-17,0.06101447282445882,0.48811578259567057,0,0,0,0,0,0,12752
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,300,0.3,True,0.0,0.0,2.7246794663746693e-18,-0.5534993677357476,1.6437019851329332e-17,0.059491941783252233,0.47593553426601787,0,0,0,0,0,0,12752
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,325,0.325,True,0.0,0.0,1.7112525686116835e-18,-0.5372827824817877,2.0791820566232395e-17,0.05901543438955903,0.47212347511647224,0,0,0,0,0,0,12672
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,350,0.35000000000000003,True,0.0,0.0,2.444374125092793e-18,-0.5351180812603817,2.49602084513694e-17,0.05881079901343206,0.47048639210745646,0,0,0,0,0,0,12736
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,375,0.375,True,0.0,0.0,5.519094353392889e-18,-0.5833807574950423,1.995992348133353e-17,0.058546551017011804,0.46837240813609443,0,0,0,0,0,0,12816
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,400,0.4,True,0.0,0.0,4.922054173628966e-18,-0.6952207865274004,1.3867619687405846e-17,0.058770778197337364,0.4701662255786989,0,0,0,0,0,0,12880
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,425,0.425,True,0.0,0.0,7.591056621254277e-18,-0.9062214984382353,1.456994370266976e-17,0.05774978723252532,0.4619982978602026,0,0,0,0,0,0,12784
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,450,0.45,True,0.0,0.0,4.6264369144373066e-18,-1.1944783865726518,7.337413799674976e-18,0.054524813983406695,0.43619851186725356,0,0,0,0,0,0,12832
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,475,0.47500000000000003,True,0.0,0.0,7.779153518144477e-18,-1.4404509022107521,1.0138304889669714e-17,0.05143158053690052,0.4114526442952042,0,0,0,0,0,0,12736
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n16_vb_r1,500,0.5,True,0.0,0.0,1.993865779603612e-18,-1.5369931512203598,5.029576366822123e-18,0.05030867392348072,0.40246939138784577,0,0,0,0,0,0,12928
