schema_version,run_id,step,time,state_all_finite,pressure_relative_pair_force_residual,viscosity_relative_pair_force_residual,relative_total_internal_force,viscous_power,momentum_drift_normalized,minimum_separation,minimum_separation_over_dx,neighbor_duplicate_edge_count,neighbor_missing_self_edge_count,neighbor_nonreciprocal_nonself_edge_count,neighbor_out_of_bounds_edge_count,neighbor_omitted_strict_support_edge_count,neighbor_unexpected_edge_count,edge_count
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,0,0.0,True,0.0,0.0,1.0721510262957422e-17,-0.7687928697867699,0.0,0.0625,1.0,0,0,0,0,0,0,82944
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,25,0.0125,True,0.0,0.0,2.7327283719491123e-18,-0.7615082822649121,5.536095631233426e-18,0.06007481525226144,0.961197044036183,0,0,0,0,0,0,77712
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,50,0.025,True,0.0,0.0,2.029128186175175e-18,-0.7531189747728129,7.880384487981338e-18,0.057744925139955994,0.9239188022392959,0,0,0,0,0,0,78736
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,75,0.0375,True,0.0,0.0,4.525612874847571e-18,-0.746642634387161,3.984827677450223e-18,0.0555911955642292,0.8894591290276672,0,0,0,0,0,0,79440
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,100,0.05,True,0.0,0.0,2.229730458572967e-18,-0.7399185488893272,6.388636720477729e-18,0.05355505533428029,0.8568808853484846,0,0,0,0,0,0,80400
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,125,0.0625,True,0.0,0.0,1.2818535132096562e-18,-0.7328340730348922,7.694381648457078e-18,0.051540945682992056,0.8246551309278729,0,0,0,0,0,0,80720
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,150,0.075,True,0.0,0.0,3.1836733590499643e-18,-0.7251314997988622,1.2201597307044812e-17,0.049576806555053476,0.7932289048808556,0,0,0,0,0,0,81072
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,175,0.08750000000000001,True,1.210460782949903e-16,1.2584456983578022e-16,3.620195806161885e-18,-0.7178273128950383,1.5201233879258898e-17,0.04774211123805894,0.763873779808943,0,0,0,0,0,0,80864
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,200,0.1,True,0.0,0.0,8.794857760230809e-19,-0.7118990630490483,1.310918369275032e-17,0.046027304254968815,0.736436868079501,0,0,0,0,0,0,80736
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,225,0.1125,True,3.4544254310905157e-19,5.656126316114424e-19,2.4091069403181518e-18,-0.7049081583516857,1.4485728251358903e-17,0.04436110972498497,0.7097777555997595,0,0,0,0,0,0,80000
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,250,0.125,True,1.099421023085649e-16,1.2858928595215372e-16,5.594076555640814e-18,-0.6981122951799792,1.7276321621596215e-17,0.04271793961835613,0.683487033893698,0,0,0,0,0,0,79808
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,275,0.1375,True,0.0,0.0,1.9149740120779903e-18,-0.6904016167855147,1.375104759064118e-17,0.041146519695035355,0.6583443151205657,0,0,0,0,0,0,79984
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,300,0.15,True,0.0,0.0,1.283233103834158e-18,-0.6845102232173583,2.329223311033863e-17,0.0396915463636387,0.6350647418182191,0,0,0,0,0,0,80336
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,325,0.1625,True,0.0,0.0,8.395622123777413e-18,-0.6779758947605803,2.3821439950090528e-17,0.03831276626052382,0.6130042601683812,0,0,0,0,0,0,80560
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,350,0.17500000000000002,True,0.0,0.0,2.699192553276151e-18,-0.6713675653967164,2.245843908785005e-17,0.03694717053593366,0.5911547285749386,0,0,0,0,0,0,80272
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,375,0.1875,True,0.0,0.0,1.0008944684888261e-18,-0.6639423909156008,1.6021191285359887e-17,0.03561970804260661,0.5699153286817058,0,0,0,0,0,0,79872
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,400,0.2,True,0.0,0.0,3.0638075029853255e-18,-0.657272515179398,2.1452692738885566e-17,0.03439142943036888,0.5502628708859021,0,0,0,0,0,0,79840
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,425,0.2125,True,0.0,0.0,1.0492467225266283e-18,-0.6514434033326852,1.5526326858308047e-17,0.03324595115411921,0.5319352184659074,0,0,0,0,0,0,79824
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,450,0.225,True,0.0,0.0,2.6393773985797913e-18,-0.6447456625753929,1.534321466082396e-17,0.03212524442283904,0.5140039107654246,0,0,0,0,0,0,80224
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,475,0.23750000000000002,True,0.0,0.0,9.967443245560956e-19,-0.6380612344649375,1.5745329115657694e-17,0.031023903888949045,0.4963824622231847,0,0,0,0,0,0,80096
sph-pio-poc.stage01dr.rollout-probe.v1,stage01dr_n32_vc_r2,500,0.25,True,0.0,0.0,2.127241383132837e-18,-0.6307554999962869,1.4932123070345143e-17,0.029982169515648138,0.4797147122503702,0,0,0,0,0,0,80224
