gate,check,passed,observed,threshold,source,severity,detail
A,n32_variant_a_required_complete,True,3,3,results/run_summaries/*.json,HARD,
B,n32_variant_b_required_complete,True,3,3,results/run_summaries/*.json,HARD,
C,n32_variant_c_minimum_complete,True,3,>=2,results/run_summaries/*.json,HARD,
D,all_numerical_topology_and_system_resource_gates,True,"{""numerical"":true,""resource"":true}","{""numerical"":true,""resource"":true}",results/numerical_samples/*.csv + results/memory_samples/*.jsonl,HARD,
E,postwarmup_quartile_rss_bounds,True,18/18,18/18,results/memory_run_metrics.csv,HARD,
F,postwarmup_rss_slope_bounds,True,18/18,18/18,results/memory_run_metrics.csv,HARD,
G,live_tensor_count_and_bytes_not_repeatedly_positive,False,"[{""bytes_positive"":3,""count_positive"":0,""resolution"":16,""trusted"":3,""variant"":""A""},{""bytes_positive"":3,""count_positive"":0,""resolution"":16,""trusted"":3,""variant"":""B""},{""bytes_positive"":3,""count_positive"":0,""resolution"":16,""trusted"":3,""variant"":""C""},{""bytes_positive"":3,""count_positive"":0,""resolution"":32,""trusted"":3,""variant"":""A""},{""bytes_positive"":3,""count_positive"":0,""resolution"":32,""trusted"":3,""variant"":""B""},{""bytes_positive"":3,""count_positive"":0,""resolution"":32,""trusted"":3,""variant"":""C""}]",required trusted repeats and fewer than 2 positive repeats,results/variant_summary.csv,HARD,
H,variant_b_extra_memory_bounded,True,"[{""a_median_final_quartile_rss_bytes"":282271744.0,""b_median_final_quartile_rss_bytes"":288235520.0,""b_minus_a_bounded_extra_bytes"":5963776.0,""b_minus_a_fraction_of_a"":0.02112778245349276,""evidence_complete"":true,""pass"":true,""resolution"":16},{""a_median_final_quartile_rss_bytes"":346857472.0,""b_median_final_quartile_rss_bytes"":372572160.0,""b_minus_a_bounded_extra_bytes"":25714688.0,""b_minus_a_fraction_of_a"":0.07413618006187855,""evidence_complete"":true,""pass"":true,""resolution"":32}]","{""bytes"":100000000,""fraction"":0.2}",results/diagnostics_overhead.csv,HARD,
I,variant_c_archive_localized_and_bounded,True,"{""bounded"":true,""localized"":true,""n32_archive_only_failures"":0}","{""archive_only_failures"":""<=1"",""bounded"":true,""localized"":true}",results/archive_assessment.csv + snapshots/*.npz,HARD,
J,all_child_processes_reclaimed,True,22/22,22/22,results/process_exit/*.json,HARD,
P,freeze_provenance_sampling_order_and_source_complete,True,"{""campaign_order"":{""expected_run_count"":18,""identity_exact"":true,""index_path"":""06_experiments/stage_01dr_memory_diagnosis/results/campaign_qualifying_index.csv"",""observed_run_count"":18,""order_exact"":true,""serial_nonoverlap"":true},""freeze"":{""categories"":{""failure_stack"":1,""gate_evidence"":1,""report"":8,""run_summary"":1,""state_archive"":3,""status"":1},""final_evidence_commit"":""6c910a1a6d34befa205cb12c0a1f0d0c47c1f7f4"",""formal_run_commit"":""3290b65837805ae5aa15f98580ffcd7e002161ba"",""manifest_rows"":15,""mismatches"":0,""old_status"":""V2_FAIL"",""tag"":""stage-01d-v2-fail-resource-gate"",""tag_target"":""6c910a1a6d34befa205cb12c0a1f0d0c47c1f7f4""},""raw_worker_provenance"":true,""retention_fix_contract"":true,""schedule"":true,""source_changes"":[],""source_tree_clean"":true}",True,freeze manifest + run configs + campaign index + memory traces + git status,HARD,
N16,all_n16_scale_controls_complete,True,9,9,results/run_summaries/*.json,HARD,
REG,frozen_first_four_state_regression,True,"{""bitwise_equal_count"":40,""identity_pass"":true,""row_count"":40,""tolerance_pass_count"":40}","{""bitwise"":40,""rows"":40,""tolerance"":40}",results/numerical_samples/stage01dr_frozen_regression_*.csv,HARD,
SENTINEL,no_grad_vs_grad_graph_sentinel,True,"[{""evidence_error"":"""",""final_current_rss_bytes"":301334528,""final_live_tensor_count"":20,""final_live_tensor_unique_storage_bytes"":3841344,""final_positions_has_grad_fn"":false,""final_velocities_has_grad_fn"":false,""identity_pass"":true,""live_tensor_bytes_delta_from_no_grad"":0,""live_tensor_count_delta_from_no_grad"":0,""mode"":""no_grad"",""process_reclaimed"":true,""reachable_grad_graph_node_count"":0,""rss_delta_from_no_grad_bytes"":0,""run_id"":""stage01dr_d_no_grad_n32_r1"",""status"":""PASS""},{""evidence_error"":"""",""final_current_rss_bytes"":1044283392,""final_live_tensor_count"":3174,""final_live_tensor_unique_storage_bytes"":1360056240,""final_positions_has_grad_fn"":true,""final_velocities_has_grad_fn"":true,""identity_pass"":true,""live_tensor_bytes_delta_from_no_grad"":1356214896,""live_tensor_count_delta_from_no_grad"":3154,""mode"":""grad_enabled"",""process_reclaimed"":true,""reachable_grad_graph_node_count"":4677,""rss_delta_from_no_grad_bytes"":742948864,""run_id"":""stage01dr_d_grad_enabled_n32_r1"",""status"":""PASS""}]",no_grad graph=0; grad-enabled graph>0; both reclaimed,results/graph_sentinel_summary.csv,HARD,
STATUS,decision_valid_and_unique,True,RESOURCE_FAIL_LINEAR_GROWTH,"[""RESOURCE_CONDITIONAL"",""RESOURCE_FAIL_LINEAR_GROWTH"",""RESOURCE_FAIL_UNRESOLVED"",""RESOURCE_PASS_AFTER_RETENTION_FIX"",""RESOURCE_PASS_ALLOCATOR_PLATEAU""]",configs/preregistered_memory_diagnosis.yml,STATUS,"{""ambiguous_growth"": false, ""confirmed_linear"": true, ""hard_complete"": false, ""isolated_overhead_only"": false, ""retention_fix_applied"": false}"
