run_id,phase,layout,seed,N,dx,H,H_over_dx,mean_edge_count,wall_time_seconds,status
stage01d2_dis_j05_s1,extended,jitter_05,20261001,32,0.0625,0.3125,5.0,79688.85714285714,33.54592637496535,FAIL
stage01d2_dis_j05_s2,extended,jitter_05,20261019,32,0.0625,0.3125,5.0,79682.76190476191,33.45453070796793,FAIL
stage01d2_dis_j05_s3,extended,jitter_05,20261037,32,0.0625,0.3125,5.0,79704.76190476191,33.904262292024214,FAIL
stage01d2_dis_j10_s4,extended,jitter_10,20261061,32,0.0625,0.3125,5.0,79750.66666666667,33.65640329098096,FAIL
stage01d2_dis_j10_s5,extended,jitter_10,20261079,32,0.0625,0.3125,5.0,79737.23809523809,33.37001891602995,FAIL
stage01d2_dis_j10_s6,extended,jitter_10,20261103,32,0.0625,0.3125,5.0,79767.33333333333,32.92783925001277,FAIL
stage01d2_dis_regular,extended,regular,0,32,0.0625,0.3125,5.0,79949.71428571429,33.2204063750105,PASS
stage01d2_mach_cs10,extended,regular,0,32,0.0625,0.3125,5.0,79703.61904761905,32.91528533300152,PASS
stage01d2_mach_cs40,extended,regular,0,32,0.0625,0.3125,5.0,80070.85714285714,33.11277504102327,PASS
stage01d2_n48_smoke,n48_smoke,regular,0,48,0.041666666666666664,0.22916666666666666,5.5,223268.57142857142,22.157227999996394,PASS
stage01d2_prereq_smoke_n16,prerequisite,regular,0,16,0.125,0.5,4.0,12123.42857142857,1.019322500040289,PASS
stage01d2_prereq_smoke_n32,prerequisite,regular,0,32,0.0625,0.3125,5.0,77048.38095238095,3.0910422499873675,PASS
stage01d2_prereq_zero_n16,prerequisite,regular,0,16,0.125,0.5,4.0,12544.0,2.842844458995387,PASS
stage01d2_s_n16_inc,main,regular,0,16,0.125,0.5,4.0,12657.52380952381,37.190735707990825,PASS
stage01d2_s_n24_inc,main,regular,0,24,0.08333333333333333,0.375,4.5,37426.28571428572,74.89542520797113,PASS
stage01d2_s_n48_inc,n48_full,regular,0,48,0.041666666666666664,0.22916666666666666,5.5,218516.57142857142,292.97886520798784,PASS
stage01d2_sf_n24_const,main,regular,0,24,0.08333333333333333,0.3333333333333333,4.0,28437.333333333332,78.02925391698955,PASS
stage01d2_sf_n32_const,main,regular,0,32,0.0625,0.25,4.0,50566.857142857145,134.63671616703505,PASS
stage01d2_t_n32_dt1e3,main,regular,0,32,0.0625,0.3125,5.0,80120.38095238095,17.732303457974922,PASS
stage01d2_t_n32_dt1p25e4,main,regular,0,32,0.0625,0.3125,5.0,80118.85714285714,127.70256108295871,PASS
stage01d2_t_n32_dt2p5e4,main,regular,0,32,0.0625,0.3125,5.0,80118.85714285714,64.47706829098752,PASS
stage01d2_t_n32_dt5e4,main,regular,0,32,0.0625,0.3125,5.0,80118.85714285714,33.36335845803842,PASS
