step,stage,stage_time,position_object_identity,source_l1,source_l2,source_linf,external_force_x,external_force_y,internal_force_x,internal_force_y,total_force_x,total_force_y,assembly_defect_l2,pair_force_residual,internal_force_residual,viscous_power
1,start,0.0,4502646736,2.130815739171638,2.221445373970282,3.025834855050348,1.3444106938820255e-17,-4.336808689942018e-18,-2.7885679876327174e-16,1.1232334506949826e-16,-2.5560066216345767e-16,1.2224379494774062e-16,1.7307378425061647e-17,0.0,9.981287541251655e-18,0.0
1,midpoint,0.00025,4502862688,2.130815739171638,2.221445373970282,3.025834855050348,-8.890457814381136e-18,-1.5178830414797062e-17,-1.0993810029003015e-16,4.2717565595928875e-17,-9.557242150459722e-17,3.984442983884229e-17,2.6311176533139214e-17,0.0,3.915879187549778e-18,-2.4583164598288506e-08
2,start,0.0005,4502856688,2.1308157394768816,2.2214453742235194,3.025835006205177,-9.280770596475918e-17,-6.049848122469115e-17,-2.461138931542095e-16,-1.0625181290357943e-17,-3.7746498635082837e-16,-4.1687573532067645e-17,4.849820650208712e-17,0.0,7.946904827046084e-18,-9.831451315144374e-08
2,midpoint,0.00075,4502851408,2.1308157397818084,2.2214453744764766,3.0258351573457762,-6.678685382510707e-17,-6.353424730765056e-17,-1.1058862159352145e-17,1.0126448291014611e-16,-5.149960319306146e-17,4.494018004952416e-17,2.7314848675149037e-17,0.0,3.3805899125457875e-18,-2.210825390439067e-07
3,start,0.001,4502952592,2.1308157403906858,2.2214453749815424,3.025835459497928,-2.8384412875670506e-16,2.47198095326695e-17,-7.090682208055199e-17,-6.570265165262157e-17,-3.2677853478713104e-16,-2.47198095326695e-17,3.235648758157106e-17,0.0,3.2067419755716293e-18,-3.9259101329471386e-07
3,midpoint,0.00125,4502859408,2.130815740998487,2.2214453754856693,3.0258357615208307,-1.684850176042474e-16,7.849623728795052e-17,-7.134050294954619e-17,4.2500725161431774e-17,-3.286216784803564e-16,7.638204305160379e-17,9.937428588618565e-17,0.0,2.7535787640718862e-18,-6.128213915149044e-07
4,start,0.0015,4502949472,2.1308157419076403,2.2214453762396444,3.0258362141825534,-2.0664893407573715e-16,9.302454639925628e-17,-6.873841773558098e-17,-2.688821387764051e-17,-2.6871950845053227e-16,2.439454888092385e-17,4.2270990485086953e-17,0.0,2.4460242102431915e-18,-8.809412553092369e-07
4,midpoint,0.00175,4502859568,2.1308157428147565,2.2214453769918454,3.0258366665997847,-6.505213034913027e-17,9.085614205428527e-17,1.4094628242311558e-17,-1.1058862159352145e-16,-4.6458063091003865e-17,-1.5070410197548512e-17,6.4791852885791856e-18,0.0,3.692262342060607e-18,-1.1973222371083762e-06
5,start,0.002,4502955712,2.130815744019333,2.221445377990515,3.0258372690542665,-1.468009741545373e-16,-6.331740687315346e-17,2.5738959574805875e-16,4.7488055154865094e-17,9.73613550891983e-17,-1.214306433183765e-17,1.3731325277331934e-17,0.0,8.661599550343614e-18,-1.5603038521491004e-06
5,midpoint,0.0022500000000000003,4502858128,2.1308157452207164,2.221445378986402,3.0258378711489695,-1.231653667943533e-16,-2.209604027525458e-16,2.8037468180475145e-16,8.109832250191573e-17,1.2815269678778662e-16,-1.2387009820646888e-16,3.31667084926342e-17,0.0,9.651186380906528e-18,-1.9709426001474807e-06
6,start,0.0025,4502956272,2.1308157467143944,2.2214453802242784,3.0258386224514866,-3.3610267347050637e-16,-2.6454533008646308e-17,1.3834419720915037e-16,9.324138683375338e-18,-2.2676088437534325e-16,-2.7755575615628914e-17,3.088744330408792e-17,0.0,4.580495490770111e-18,-2.4264632237794233e-06
