step,stage,stage_time,position_object_identity,source_l1,source_l2,source_linf,external_force_x,external_force_y,internal_force_x,internal_force_y,total_force_x,total_force_y,assembly_defect_l2,pair_force_residual,internal_force_residual,viscous_power
1,start,0.0,4453905056,2.128665995434318,2.2214453739702815,3.1123156105933463,-1.3240819031479223e-17,-4.336808689942018e-19,-1.4235574524734673e-16,1.1449174941446927e-16,-1.3674499900473425e-16,9.958396954279358e-17,2.376722649411928e-17,0.0,3.59796802050805e-18,0.0
1,midpoint,0.000125,4454165840,2.128665995434318,2.2214453739702815,3.1123156105933463,-2.7376104855258987e-18,2.3744027577432547e-17,-1.613970459016234e-16,9.86623976961809e-17,-1.6910843385342655e-16,1.1432911908859644e-16,9.485849328898355e-18,0.0,3.798653659582042e-18,-1.1309840531510852e-09
2,start,0.00025,4454259424,2.128665995488482,2.221445374016865,3.1123156193422252,-1.1233689759665433e-16,3.5236570605778894e-17,1.2059038663470023e-16,1.3010426069826053e-18,3.8055496254241206e-17,2.0355895788415346e-17,3.3911762161756574e-17,0.0,2.3750911371894195e-18,-4.523501425595853e-09
2,midpoint,0.000375,4454179424,2.1286659955426286,2.2214453740634315,3.112315628090681,-1.2176945649727822e-16,1.4203048459560108e-17,1.235990476633475e-16,-3.61039323437673e-17,1.6398557858843255e-18,-2.974779710757103e-17,7.849206752882497e-18,0.0,2.535859934457769e-18,-1.0176041973996298e-08
3,start,0.0005,4454164080,2.1286659956508447,2.2214453741564983,3.1123156455852112,-1.3014491827972874e-16,2.8406096919120216e-17,-7.37257477290143e-17,-5.681219383824043e-17,-1.8767539605724082e-16,-3.6917083973131426e-17,1.8295454884631242e-17,0.0,1.8329242983894538e-18,-1.8084213727218195e-08
3,midpoint,0.000625,4454262064,2.1286659957589844,2.221445374249497,3.112315663077358,-1.2014315323854996e-16,4.651227319962814e-17,7.237049501340742e-18,2.970713952610282e-17,-1.3608092517408688e-16,2.0342343261259277e-17,6.049230728422051e-17,0.0,4.704514386074561e-19,-2.8247950236024983e-08
4,start,0.00075,4454310976,2.1286659959209873,2.2214453743888116,3.112315689308862,-1.7593890754008523e-16,1.0527603094834248e-16,-1.3501027552875744e-16,-6.06069014419397e-17,-3.127110115991316e-16,3.9979955110402976e-18,4.0709276341380354e-17,0.0,2.8517758227388877e-18,-4.065538796971032e-08
4,midpoint,0.000875,4454179824,2.128665996082853,2.221445374528005,3.1123157155360195,-2.56061448086764e-16,1.1687699419393738e-16,-2.5760643618255585e-16,3.415236843329339e-17,-4.928647550847542e-16,1.877296061658651e-16,4.2186230688043183e-17,0.0,5.116340284595151e-18,-5.5311930155287156e-08
5,start,0.001,4454170000,2.12866599629826,2.22144537471323,3.112315750491909,-8.82811618946322e-17,9.074772183703672e-17,-2.587584009908217e-16,-5.312590645178972e-18,-2.8819448997380315e-16,7.284483346386983e-17,6.017689093711033e-17,0.0,5.095208178943142e-18,-7.21942383149247e-08
5,midpoint,0.0011250000000000001,4454263504,2.128665996513469,2.221445374898279,3.112315785441485,-6.911788849595091e-17,9.345822726825048e-17,1.5964876989849053e-16,-6.1257422745431e-17,8.779327091701372e-17,3.152317816501604e-17,2.820228475008949e-18,0.0,3.3820143872088835e-18,-9.131720043408441e-08
