step,stage,stage_time,position_object_identity,source_l1,source_l2,source_linf,external_force_x,external_force_y,internal_force_x,internal_force_y,total_force_x,total_force_y,assembly_defect_l2,pair_force_residual,internal_force_residual,viscous_power
1,start,0.0,4479594448,2.305213028506013,2.728118487565166,4.399633666530933,0.0,-4.553649124439119e-18,-2.8796409701215e-16,1.0104764247564901e-16,-2.220446049250313e-16,8.998878031629687e-17,6.623969530163392e-17,0.0,9.131250830574867e-18,-0.73809342741719
1,midpoint,0.00025,4479801040,2.304925236443376,2.72779943649079,4.399150655982723,5.551115123125783e-17,1.3010426069826053e-18,2.8145888397723695e-16,4.380176776841438e-17,2.220446049250313e-16,4.5319650809894085e-17,1.1492563484972905e-16,0.0,8.5146365322167e-18,-0.7378448722223083
2,start,0.0005,4479902624,2.3046377212053937,2.7274808295617894,4.398666745331613,-1.1102230246251565e-16,7.014788055981214e-17,3.5301622736128024e-16,-2.2551405187698492e-17,2.7755575615628914e-16,4.0115480381963664e-17,3.634018613644265e-17,0.0,1.0571329541182835e-17,-0.7375960467605647
2,midpoint,0.00075,4479805920,2.304350276068851,2.7271624077494145,4.398181806578725,5.551115123125783e-17,3.3859633846722303e-16,-2.8189256484623115e-17,8.716985466783456e-17,5.551115123125783e-17,4.360661137736699e-16,3.001204002259056e-17,0.0,2.7401524288289602e-18,-0.7373477794862207
3,start,0.001,4479907424,2.3040631276838477,2.726844429417578,4.397695972786709,-2.220446049250313e-16,2.277908764392045e-16,-1.1275702593849246e-16,-1.0451708942760263e-16,-4.440892098500626e-16,9.952975943416931e-17,1.1183717524301499e-16,0.0,4.59721461197958e-18,-0.7370992420005462
3,midpoint,0.00125,4479802160,2.3037760699723515,2.7265266357073386,4.397209113946377,-1.6653345369377348e-16,3.0943130002736297e-16,8.283304597789254e-17,-1.8301332671555315e-16,-1.1102230246251565e-16,4.96564594998361e-17,8.147892939436561e-17,0.0,6.004292020025658e-18,-0.7368512616796732
4,start,0.0015,4479900144,2.303489330252528,2.7262092844256363,4.396721365035934,-1.6653345369377348e-16,3.968179951296946e-16,-9.194034422677078e-17,3.903127820947816e-17,-3.885780586188048e-16,4.889751797909625e-16,1.4053284522902557e-16,0.0,2.984025232059605e-18,-0.7366030107371315
4,midpoint,0.00175,4479801600,2.30320270368612,2.7258921172715747,4.3962325941490725,-1.6653345369377348e-16,3.2699537522162814e-16,-2.0556473190325164e-16,-5.724587470723463e-17,-3.885780586188048e-16,2.7603787311480943e-16,1.763887311524302e-17,0.0,6.171950516268452e-18,-0.736355315788053
5,start,0.002,4479900784,2.3029164178919066,2.725575391108627,4.395742938066223,-2.220446049250313e-16,3.647256108241237e-16,2.892651396191326e-16,1.474514954580286e-17,1.6653345369377348e-16,3.5626883387873676e-16,1.0198718190605145e-16,0.0,8.745992453774343e-18,-0.7361073493469393
5,midpoint,0.0022500000000000003,4479806400,2.302630269882111,2.7252588485809137,4.395252263096889,-3.3306690738754696e-16,2.502338614096544e-16,-6.505213034913027e-17,5.594483210025203e-17,-1.6653345369377348e-16,3.220080452281948e-16,2.321259380429385e-16,0.0,2.558232625609401e-18,-0.7358599375824222
