step,stage,stage_time,position_object_identity,source_l1,source_l2,source_linf,external_force_x,external_force_y,internal_force_x,internal_force_y,total_force_x,total_force_y,assembly_defect_l2,pair_force_residual,internal_force_residual,viscous_power
1,start,0.0,4529026976,2.3101248635436953,2.728118487565166,4.444884537563798,1.3877787807814457e-17,-1.4677386910022516e-17,-1.0581813203458523e-16,1.5048726154098802e-16,-2.2898349882893854e-16,1.305108365129426e-16,1.3714556510616707e-16,0.0,3.265357684461012e-18,-0.7687928364746826
1,midpoint,0.000125,4529279600,2.3100186144583974,2.7279589388493592,4.444544477805976,1.249000902703301e-16,7.058156142880634e-17,-2.2605615296322767e-16,5.963111948670274e-17,-4.718447854656915e-16,1.2914203127017965e-16,3.7069026893295747e-16,0.0,4.151584690187772e-18,-0.7686603613113921
2,start,0.00025,4529306224,2.309912359480915,2.7277994636097285,4.44420423973275,-6.938893903907228e-17,-4.117257750013703e-17,-2.0057740190981832e-16,9.768661574094395e-17,-2.498001805406602e-16,7.601612481838993e-17,2.8053616638323514e-17,0.0,3.965314013815322e-18,-0.7685278061487881
2,midpoint,0.000375,4529385984,2.3098060955296496,2.7276400347083762,4.443863824243523,-1.734723475976807e-16,3.393552799879629e-17,3.0162504438546733e-16,2.5045070184415152e-17,2.3592239273284576e-16,4.6918849014310204e-17,1.0844258000021941e-16,0.0,5.37931564667111e-18,-0.7683953851716983
3,start,0.0005,4529287440,2.3096998265559403,2.7274806792392305,4.443523231162256,-1.3183898417423734e-16,-6.906367838732663e-17,3.2385118892142017e-16,-8.174884380540703e-17,2.3592239273284576e-16,-1.3032110113275763e-16,4.845619615687437e-17,0.0,5.9362761156362565e-18,-0.7682628842541637
3,midpoint,0.000625,4529296384,2.3095935494550464,2.7273213700733354,4.443182461187419,-6.938893903907228e-17,3.7947076036992655e-18,-7.990570011218168e-17,1.22514845490862e-17,-1.942890293094024e-16,-5.773376568485311e-18,5.000588690230324e-17,0.0,1.4323326831799647e-18,-0.7681305174268745
4,start,0.00075,4529384944,2.3094872682460537,2.72716213428359,4.442841514342746,2.7755575615628914e-17,-3.241764495731658e-17,1.32164244825983e-16,1.1720225484568303e-16,9.71445146547012e-17,1.0798653637955624e-16,6.692584261361765e-17,0.0,3.1804376649130892e-18,-0.7679980707109553
4,midpoint,0.000875,4529278480,2.3093809798177443,2.7270029447620905,4.44250039112697,-2.3592239273284576e-16,5.063224145507306e-17,1.7401444868392346e-16,1.4170522394385543e-16,-4.163336342344337e-17,2.082752373344654e-16,2.5788974268245603e-17,0.0,3.987825946724949e-18,-0.7678657579873418
5,start,0.001,4529306704,2.309274688243044,2.7268438285486174,4.442159091762385,2.0816681711721685e-17,-8.825405684032006e-17,-2.5912431922403556e-17,2.0816681711721685e-17,-1.457167719820518e-16,-5.2150124496552763e-17,1.4144953798408488e-16,0.0,5.906028455957859e-19,-0.7677333654198962
5,midpoint,0.0011250000000000001,4529439280,2.309168390421015,2.7266847585684153,4.4418176165492,-6.938893903907228e-17,1.0083080204115191e-17,1.6566609195578508e-16,5.421010862427522e-17,3.677613769070831e-16,4.6485168145316e-17,2.7206765606426347e-16,0.0,3.116723172812551e-18,-0.7676011067441718
6,start,0.00125,4529427136,2.309062090464641,2.726525761816077,4.441475965907051,-1.249000902703301e-16,-5.117434254131581e-17,-3.892285799222961e-17,-2.3201926491189795e-17,-1.3183898417423734e-16,-7.147602822110688e-17,3.2115188860836525e-17,0.0,8.29969040758667e-19,-0.7674687682624461
6,midpoint,0.001375,4529287440,2.308955785300118,2.726366811262069,4.441134139938821,-1.1796119636642288e-16,1.713039432527097e-17,1.6718397499726478e-16,-7.546047120499111e-17,1.5959455978986625e-16,-7.139471305817047e-17,1.111423177493201e-16,0.0,3.2442616503303605e-18,-0.7673365635692417
7,start,0.0015,4529450320,2.3088494790668497,2.7262079338437557,4.440792139260278,-1.8735013540549517e-16,3.686287386450715e-18,6.862999751833243e-17,7.318364664277155e-17,-9.020562075079397e-17,4.4072818311535755e-17,4.345950398842108e-17,0.0,1.7375666880832447e-18,-0.767204279100958
7,midpoint,0.0016250000000000001,4529298784,2.3087431687351208,2.7260491025888722,4.440449963778193,2.2898349882893854e-16,4.9873299934333204e-17,4.7813315806610746e-17,2.7538735181131813e-17,5.551115123125783e-17,1.0359551758098995e-16,2.2282935080976166e-16,0.0,9.799056834917674e-19,-0.7670721283154132
