kind,case_id,pid,return_code,child_reclaimed,child_rss_after_reap_bytes,parent_rss_before_bytes,parent_rss_after_bytes,scalar_only_summary,result_path,log_path,config_sha256,code_git_hash,wall_time_seconds
zero,zero_n16,76229,0,True,0,198737920,198737920,True,06_experiments/stage_01f2_mms_implementation/results/zero_source_zero_n16.json,06_experiments/stage_01f2_mms_implementation/logs/zero_n16.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,5.49467583297519
zero,tgv_n16_20,76242,0,True,0,198885376,198885376,True,06_experiments/stage_01f2_mms_implementation/results/zero_source_tgv_n16_20.json,06_experiments/stage_01f2_mms_implementation/logs/tgv_n16_20.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,2.003117374959402
zero,tgv_n32_20,76251,0,True,0,198885376,198885376,True,06_experiments/stage_01f2_mms_implementation/results/zero_source_tgv_n32_20.json,06_experiments/stage_01f2_mms_implementation/logs/tgv_n32_20.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,4.323105332965497
reference,mms_b_n16_reference,76352,0,True,0,198737920,198852608,True,06_experiments/stage_01f2_mms_implementation/results/mms_b_n16_reference_summary.json,06_experiments/stage_01f2_mms_implementation/logs/mms_b_n16_reference.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,1.156965375004802
reference,mms_b_n32_reference,76359,0,True,0,198852608,198868992,True,06_experiments/stage_01f2_mms_implementation/results/mms_b_n32_reference_summary.json,06_experiments/stage_01f2_mms_implementation/logs/mms_b_n32_reference.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,1.1482374999905005
mms,A1,76435,0,True,0,198541312,198541312,True,06_experiments/stage_01f2_mms_implementation/run_summaries/A1.json,06_experiments/stage_01f2_mms_implementation/logs/A1.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,2.011266749992501
mms,A2_repeat1,76468,0,True,0,198557696,198557696,True,06_experiments/stage_01f2_mms_implementation/run_summaries/A2_repeat1.json,06_experiments/stage_01f2_mms_implementation/logs/A2_repeat1.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,14.08563420799328
mms,A2_repeat2,76566,0,True,0,198574080,198574080,True,06_experiments/stage_01f2_mms_implementation/run_summaries/A2_repeat2.json,06_experiments/stage_01f2_mms_implementation/logs/A2_repeat2.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,14.126812750007957
mms,B1,76681,0,True,0,198574080,198574080,True,06_experiments/stage_01f2_mms_implementation/run_summaries/B1.json,06_experiments/stage_01f2_mms_implementation/logs/B1.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,2.080076792044565
mms,B2_repeat1,76715,0,True,0,198574080,198672384,True,06_experiments/stage_01f2_mms_implementation/run_summaries/B2_repeat1.json,06_experiments/stage_01f2_mms_implementation/logs/B2_repeat1.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,14.295034207985736
mms,B2_repeat2,76815,0,True,0,198672384,198803456,True,06_experiments/stage_01f2_mms_implementation/run_summaries/B2_repeat2.json,06_experiments/stage_01f2_mms_implementation/logs/B2_repeat2.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,e6a8ac2709c3bb6bd214d37f9f5879c01cb32566,14.324524833995383
ad,source_ad_fd_v2,77383,0,True,0,200671232,200916992,True,06_experiments/stage_01f2_mms_implementation/results/source_ad_fd_v2_summary.json,06_experiments/stage_01f2_mms_implementation/logs/source_ad_fd_v2.log,d66a5a0db2e4d3c9d668d3e358707b76a192031790f86e5895d661ff235b7f13,908f366ffa415c83a40ea5329f0b8b5f0e4c1845,1.0650988750276156
