role,run_id,pid,return_code,child_reclaimed,child_rss_after_reap_bytes,parent_rss_before_bytes,parent_rss_after_bytes,parent_scalar_only,result_path,log_path,wall_time_seconds,config_sha256,code_git_hash
semidiscrete_reference,f3c_ref_n32_a,52669,0,True,0,19136512,11632640,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ref_n32_a.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ref_n32_a.log,5005.353682457993,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,5680e04b5e74a0d999cfeca1eae6924edc644941
semidiscrete_reference,f3c_ref_n32_b,60074,0,True,0,13910016,13860864,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ref_n32_b.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ref_n32_b.log,5036.180679625017,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,5680e04b5e74a0d999cfeca1eae6924edc644941
semidiscrete_reference,f3c_ref_heldout_a,66884,0,True,0,14090240,14155776,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ref_heldout_a.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ref_heldout_a.log,1257.9649630420026,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,5680e04b5e74a0d999cfeca1eae6924edc644941
semidiscrete_reference,f3c_ref_heldout_b,68564,0,True,0,14172160,14237696,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ref_heldout_b.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ref_heldout_b.log,1273.9683304579812,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,5680e04b5e74a0d999cfeca1eae6924edc644941
heldout,f3c_ho_a_001,71220,0,True,0,18857984,18907136,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_a_001.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_a_001.log,1.8131708340370096,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
heldout,f3c_ho_a_0005,71240,0,True,0,18939904,18939904,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_a_0005.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_a_0005.log,2.3237700419849716,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
heldout,f3c_ho_a_00025,71272,0,True,0,18939904,18939904,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_a_00025.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_a_00025.log,3.8601068750140257,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
heldout,f3c_ho_a_000125,71326,0,True,0,18939904,18939904,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_a_000125.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_a_000125.log,6.8822650839574635,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
heldout,f3c_ho_a_0000625,71420,0,True,0,18939904,18939904,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_a_0000625.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_a_0000625.log,12.928892959025688,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
heldout_deterministic_repeat,f3c_ho_repeat_a_0000625,71599,0,True,0,18939904,18939904,True,06_experiments/stage_01f3c_ct2_adjudication/run_summaries/f3c_ho_repeat_a_0000625.json,06_experiments/stage_01f3c_ct2_adjudication/logs/f3c_ho_repeat_a_0000625.log,12.770286416984163,9dfdce8065e233a68cebd10fa4dcb0f9c65fcc4305fbc9ac7a42afdae8516aba,28755204b93e286966b5040826ef4229367d9438
