label,solution,time,density_absolute_linf,density_relative_linf,pressure_absolute_linf,pressure_relative_linf,pressure_acceleration_absolute_linf,pressure_acceleration_relative_linf,viscosity_acceleration_absolute_linf,viscosity_acceleration_relative_linf,source_absolute_linf,source_relative_linf,total_acceleration_absolute_linf,total_acceleration_relative_linf,dx_dt_absolute_linf,dx_dt_relative_linf,dv_dt_absolute_linf,dv_dt_relative_linf,finite
MMS_A_initial,MMS_A,0.0,0.0,0.0,0.0,0.0,2.4980018054066022e-15,1.0853967776059188e-15,0.0,0.0,0.0,0.0,2.4980018054066022e-15,3.4598122795049946e-15,0.0,0.0,2.4980018054066022e-15,3.4598122795049946e-15,True
MMS_B_initial,MMS_B,0.0,0.0,0.0,0.0,0.0,2.4980018054066022e-15,1.0853967776059188e-15,2.220446049250313e-16,6.264816410810439e-16,0.0,0.0,2.4424906541753444e-15,1.1230007769588205e-15,0.0,0.0,2.4424906541753444e-15,1.1230007769588205e-15,True
baseline_replay_00,MMS_B,0.0,0.0,0.0,0.0,0.0,2.4980018054066022e-15,1.0853967776059188e-15,2.220446049250313e-16,6.264816410810439e-16,0.0,0.0,2.4424906541753444e-15,1.1230007769588205e-15,0.0,0.0,2.4424906541753444e-15,1.1230007769588205e-15,True
baseline_replay_01,MMS_B,0.0005,0.0,0.0,0.0,0.0,3.1086244689504383e-15,1.349454847300454e-15,2.7755575615628914e-16,7.831133346635492e-16,0.0,0.0,3.1086244689504383e-15,1.431995315834623e-15,0.0,0.0,3.1086244689504383e-15,1.431995315834623e-15,True
baseline_replay_02,MMS_B,0.001,0.0,0.0,0.0,0.0,2.4424906541753444e-15,1.059610968700741e-15,1.942890293094024e-16,5.481853387461988e-16,0.0,0.0,2.4424906541753444e-15,1.1255590666914383e-15,0.0,0.0,2.4424906541753444e-15,1.1255590666914383e-15,True
baseline_replay_03,MMS_B,0.0015,0.0,0.0,0.0,0.0,2.3869795029440866e-15,1.0336213495858397e-15,2.498001805406602e-16,7.048228769817121e-16,0.0,0.0,2.4424906541753444e-15,1.1284932460157595e-15,0.0,0.0,2.4424906541753444e-15,1.1284932460157595e-15,True
baseline_replay_04,MMS_B,0.002,0.0,0.0,0.0,0.0,2.220446049250313e-15,9.599756828905221e-16,2.7755575615628914e-16,7.831484440031188e-16,0.0,0.0,2.6645352591003757e-15,1.2324096785522723e-15,0.0,0.0,2.6645352591003757e-15,1.2324096785522723e-15,True
baseline_replay_05,MMS_B,0.0025,0.0,0.0,0.0,0.0,2.886579864025407e-15,1.2445859142860212e-15,2.498001805406602e-16,7.048497770540138e-16,0.0,0.0,3.1086244689504383e-15,1.4425794534005523e-15,0.0,0.0,3.1086244689504383e-15,1.4425794534005523e-15,True
baseline_replay_06,MMS_B,0.003,0.0,0.0,0.0,0.0,3.1086244689504383e-15,1.3368970989597325e-15,2.220446049250313e-16,6.265453547759906e-16,0.0,0.0,3.1086244689504383e-15,1.4451570398732414e-15,0.0,0.0,3.1086244689504383e-15,1.4451570398732414e-15,True
baseline_replay_07,MMS_B,0.0035,0.0,0.0,0.0,0.0,3.3861802251067274e-15,1.451123485096441e-15,2.498001805406602e-16,7.048827481233505e-16,0.0,0.0,3.3306690738754696e-15,1.554624398920459e-15,0.0,0.0,3.3306690738754696e-15,1.554624398920459e-15,True
baseline_replay_08,MMS_B,0.004,0.0,0.0,0.0,0.0,2.55351295663786e-15,1.0904463734619775e-15,2.220446049250313e-16,6.265773736675817e-16,0.0,0.0,2.55351295663786e-15,1.1942945079188221e-15,0.0,0.0,2.55351295663786e-15,1.1942945079188221e-15,True
baseline_replay_09,MMS_B,0.0045000000000000005,0.0,0.0,0.0,0.0,2.609024107869118e-15,1.109371679798496e-15,1.942890293094024e-16,5.482725458261032e-16,0.0,0.0,2.55351295663786e-15,1.196823082293319e-15,0.0,0.0,2.55351295663786e-15,1.196823082293319e-15,True
