particle_i,particle_j,time_before,time_after,estimated_event_time,ratio_before,ratio_after,added,reciprocal,evaluation_ratio_before,evaluation_ratio_after,directed_edge_before,reverse_edge_before,directed_edge_after,reverse_edge_after,pressure_before_l2,pressure_after_l2,viscosity_before_l2,viscosity_after_l2,pair_total_max_l2,aggregated_rhs_jump_linf
5,9,0.005,0.006,0.00563300441333479,0.9982905535941966,1.0009910844260095,False,True,0.9999999999729942,1.0000000000270048,True,True,False,False,1.877530926535403e-52,0.0,5.946333042282955e-53,0.0,1.2836840503432425e-52,4.735238867681346e-10
6,10,0.005,0.006,0.005632092540050856,0.9982924911255441,1.000993851733965,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.347370235746529e-52,0.0,5.954944388576834e-53,0.0,7.525085993815623e-53,4.743210268998155e-10
16,208,0.005,0.006,0.005632092540051559,0.9982924911255423,1.000993851733963,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.3473702357465315e-52,0.0,5.9549443885768815e-53,0.0,7.5250859938156e-53,4.73990624527687e-10
31,223,0.005,0.006,0.0056330044133345,0.9982905535941966,1.0009910844260104,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.8788786510030063e-52,0.0,5.950601423923577e-53,0.0,1.2846055011585536e-52,4.738534009618434e-10
32,224,0.005,0.006,0.0056330044133345,0.9982905535941966,1.0009910844260104,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.8776081139956072e-52,0.0,5.94657750288582e-53,0.0,1.283736824074123e-52,4.738534009618434e-10
47,239,0.005,0.006,0.005632092540051559,0.9982924911255423,1.000993851733963,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.3482820949288293e-52,0.0,5.958974513759885e-53,0.0,7.530178743070313e-53,4.73990624527687e-10
87,151,0.005,0.006,0.00563300441333479,0.9982905535941966,1.0009910844260095,False,True,0.9999999999729942,1.0000000000270048,True,True,False,False,1.877530926536386e-52,0.0,5.94633304228296e-53,0.0,1.2836840503442247e-52,4.735238867681346e-10
88,152,0.005,0.006,0.005632092540050856,0.9982924911255441,1.000993851733965,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.3482820949244311e-52,0.0,5.958974513759854e-53,0.0,7.530178743026379e-53,4.743210268998155e-10
103,167,0.005,0.006,0.005632092540050856,0.9982924911255441,1.000993851733965,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.3473702357416447e-52,0.0,5.954944388576864e-53,0.0,7.525085993766766e-53,4.743210268998155e-10
104,168,0.005,0.006,0.00563300441333479,0.9982905535941966,1.0009910844260095,False,True,0.9999999999729939,1.0000000000270048,True,True,False,False,1.8788786510030063e-52,0.0,5.950601423923555e-53,0.0,1.2846055011585555e-52,4.735238867681346e-10
113,125,0.005,0.006,0.005632092540051559,0.9982924911255423,1.000993851733963,False,True,0.9999999999729863,1.0000000000270133,True,True,False,False,1.347370235744091e-52,0.0,5.954944388576908e-53,0.0,7.525085993791173e-53,4.73990624527687e-10
