run_id,category,mms,method,resolution,particle_count,support_ratio,time_control,reference_level,parent_run_id,conditional,output_dir
f5_ref_main_a_baseline,main_reference,MMS-A,DOP853,20,400,4.357388321059432,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_a_baseline
f5_ref_main_a_tighter,main_reference,MMS-A,DOP853,20,400,4.357388321059432,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_a_tighter
f5_ref_main_a_third,main_reference,MMS-A,DOP853,20,400,4.357388321059432,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_a_third
f5_ref_main_b_baseline,main_reference,MMS-B,DOP853,20,400,4.357388321059432,max_step=3.125e-5,baseline,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_b_baseline
f5_ref_main_b_tighter,main_reference,MMS-B,DOP853,20,400,4.357388321059432,max_step=1.5625e-5,tighter,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_b_tighter
f5_ref_main_b_third,main_reference,MMS-B,DOP853,20,400,4.357388321059432,max_step=7.8125e-6,third,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_main_b_third
f5_main_a_dt1e3,main_rk2,MMS-A,RK2,20,400,4.357388321059432,dt=1e-3,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt1e3
f5_main_a_dt5e4,main_rk2,MMS-A,RK2,20,400,4.357388321059432,dt=5e-4,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt5e4
f5_main_a_dt2p5e4,main_rk2,MMS-A,RK2,20,400,4.357388321059432,dt=2.5e-4,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt2p5e4
f5_main_a_dt1p25e4,main_rk2,MMS-A,RK2,20,400,4.357388321059432,dt=1.25e-4,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt1p25e4
f5_main_a_dt6p25e5,main_rk2,MMS-A,RK2,20,400,4.357388321059432,dt=6.25e-5,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_a_dt6p25e5
f5_main_b_dt1e3,main_rk2,MMS-B,RK2,20,400,4.357388321059432,dt=1e-3,,,false,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_b_dt1e3
