run_id,execution_group,formal_space_t_final,formal_space_common_times,horizon_source,binding_status
f5_space_iso_a_dt6p25e5,space_dt_isolation,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_iso_a_dt3p125e5,space_dt_isolation,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_iso_b_dt6p25e5,space_dt_isolation,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_iso_b_dt3p125e5,space_dt_isolation,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n16,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n24,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n32,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n48,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n16,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n24,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n32,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n48,formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n32_rep2,space_determinism_repeat,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n32_rep2,space_determinism_repeat,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n16_baseline,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n16_tighter,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n16_third,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n24_baseline,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n24_tighter,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n24_third,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n32_baseline,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n32_tighter,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n32_third,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n48_baseline,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n48_tighter,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n48_third,space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_a_n64,conditional_formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_space_b_n64,conditional_formal_space,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n64_baseline,conditional_space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n64_tighter,conditional_space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
f5_ref_space_b_n64_third,conditional_space_mms_b_reference,0.02,06_experiments/stage_01f5q_space_horizon_amendment/configs/formal_space_common_times.csv,formal_space_horizon_amendment.yml,FROZEN
