run_id,benchmark,future_output_directory,run_id_unique,output_directory_unique,preregistered_not_executed,output_absent_or_empty,artifact_count,status
g_shear_n24,shear,06_experiments/stage_01g_validation_execution/runs/g_shear_n24,true,true,true,true,0,PASS
g_shear_n32,shear,06_experiments/stage_01g_validation_execution/runs/g_shear_n32,true,true,true,true,0,PASS
g_shear_n48,shear,06_experiments/stage_01g_validation_execution/runs/g_shear_n48,true,true,true,true,0,PASS
g_shear_n32_dt_half,shear,06_experiments/stage_01g_validation_execution/runs/g_shear_n32_dt_half,true,true,true,true,0,PASS
g_shear_n48_rep2,shear,06_experiments/stage_01g_validation_execution/runs/g_shear_n48_rep2,true,true,true,true,0,PASS
g_acoustic_e5e3_n24,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e5e3_n24,true,true,true,true,0,PASS
g_acoustic_e5e3_n32,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e5e3_n32,true,true,true,true,0,PASS
g_acoustic_e5e3_n48,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e5e3_n48,true,true,true,true,0,PASS
g_acoustic_e5e3_n32_dt_half,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e5e3_n32_dt_half,true,true,true,true,0,PASS
g_acoustic_e5e3_n48_rep2,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e5e3_n48_rep2,true,true,true,true,0,PASS
g_acoustic_e2p5e3_n48,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e2p5e3_n48,true,true,true,true,0,PASS
g_acoustic_e1e2_n48,acoustic,06_experiments/stage_01g_validation_execution/runs/g_acoustic_e1e2_n48,true,true,true,true,0,PASS
