run_id,config_resolve,directory_resolve,metadata_schema,evaluator_schema,provenance_schema,hash_linked,status
g_shear_n24,True,True,True,True,True,True,PASS
g_shear_n32,True,True,True,True,True,True,PASS
g_shear_n48,True,True,True,True,True,True,PASS
g_shear_n32_dt_half,True,True,True,True,True,True,PASS
g_shear_n48_rep2,True,True,True,True,True,True,PASS
g_acoustic_e5e3_n24,True,True,True,True,True,True,PASS
g_acoustic_e5e3_n32,True,True,True,True,True,True,PASS
g_acoustic_e5e3_n48,True,True,True,True,True,True,PASS
g_acoustic_e5e3_n32_dt_half,True,True,True,True,True,True,PASS
g_acoustic_e5e3_n48_rep2,True,True,True,True,True,True,PASS
g_acoustic_e2p5e3_n48,True,True,True,True,True,True,PASS
g_acoustic_e1e2_n48,True,True,True,True,True,True,PASS
