extension,count,total_size_bytes,total_size_MB
.py,656,6459790,6.460
.ipynb,0,0,0.000
.sh,0,0,0.000
.yaml,47,539244,0.539
.yml,35,142946,0.143
.json,5986,507365525,507.366
.toml,0,0,0.000
.ini,1,372,0.000
.cfg,0,0,0.000
.csv,557,35913592,35.914
.tsv,0,0,0.000
.md,1027,1944775,1.945
.txt,69,1691249,1.691
.tex,0,0,0.000
.pt,1882,668334034,668.334
.pth,0,0,0.000
.ckpt,0,0,0.000
.npy,0,0,0.000
.npz,4364,223565452,223.565
.h5,0,0,0.000
.hdf5,0,0,0.000
.pkl,0,0,0.000
.joblib,0,0,0.000
.parquet,0,0,0.000
.pdf,105,165276542,165.277
.docx,8,1221827,1.222
.pptx,0,0,0.000
.xlsx,2,20109,0.020
.png,769,244758723,244.759
.jpg,0,0,0.000
.jpeg,0,0,0.000
.svg,50,22580544,22.581
.tiff,0,0,0.000
.bib,1,16499,0.016
.bin,45,26147622,26.148
.cache-9,9,12636760,12.637
.jsonl,110,278118489,278.118
.log,426,644753,0.645
.mjs,2,13289,0.013
.ndjson,2,188212,0.188
.pyc,841,10581264,10.581
.sha256,2,1549,0.002
.tag,3,591,0.001
.xml,5,23681,0.024
.zip,1,25265812,25.266
[none],127,406935,0.407
