path,size,category,recommended_action,scientific_role,tracked_equivalent,hash_reference,reason
project_wide_synthesis/01_artifact_inventory/complete_artifact_inventory.json,4325448,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/02_stage_timeline/complete_stage_timeline.json,61010,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_input_freeze_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/03_hypothesis_register/complete_hypothesis_register.json,5990,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/04_failure_register/complete_failure_register.json,17505,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/04_failure_register/failure_causal_tree.json,1421,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/05_innovation_register/complete_innovation_register.json,16246,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/05_innovation_register/innovation_evidence_map.json,6025,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/06_evidence_hierarchy/project_wide_evidence_matrix.json,2185,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/06_evidence_hierarchy/status_ontology.json,1473,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/09_publication_options/cross_paper_overlap_matrix.xlsx.inspect.ndjson,50041,GENERATED_ARTIFACT,REGENERATE_OR_ARCHIVE_OUTSIDE_GIT;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,inspection/preview output,,manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,Derived inspection or preview output is reproducible presentation tooling output.
