dataset_id,relative_path,file_name,size_bytes,sha256,role,stage,frozen_status,notes
MANIFEST-0001,07_reports/stage_01f5p_execution_manifest.md,stage_01f5p_execution_manifest.md,1834,ccf6ffbc463ea94de6d080fec65a9de2b440cfd19340def5dae42fe6c361c178,EXISTING_PROVENANCE_SOURCE,Stage01,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0002,07_reports/stage_01ge_hash_manifest.md,stage_01ge_hash_manifest.md,528,5ced4f018e1dee4f3bce5762da25552ca9cf4f613dc9794daaf38757230501e1,EXISTING_PROVENANCE_SOURCE,Stage01,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0003,stage_02_Particle_Interaction_Operator/08_route_closure/freeze/stage02ms_historical_freeze_manifest.json,stage02ms_historical_freeze_manifest.json,567808,4f86adc1f493250f4dde5de70aac46280532310b37544b2dcd804781bc0789fe,EXISTING_PROVENANCE_SOURCE,Stage02,FROZEN_OR_HASHED,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0004,stage_02_Particle_Interaction_Operator/08_route_closure/manifests/stage02ms_closure_manifest.json,stage02ms_closure_manifest.json,685433,14f6dd91ed115c8a67fbd3205b14b79455db7fb6ac9928c4088087178a20abb8,EXISTING_PROVENANCE_SOURCE,Stage02,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0005,stage_02_Particle_Interaction_Operator/03_dataset/cases/case_manifest.yaml,case_manifest.yaml,2138,6c659ef2bbb2e91840a320fa35f900cfc4421615dc2adab05211e837f20798a6,EXISTING_PROVENANCE_SOURCE,Stage02,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0006,stage_02_Particle_Interaction_Operator/03_dataset/manifests/generation_run_manifest.json,generation_run_manifest.json,4730,24efd700545ed4b52731474d8a3836d63d0789d865fea269c259ef1013b2ae89,EXISTING_PROVENANCE_SOURCE,Stage02,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0007,stage_02_Particle_Interaction_Operator/03_dataset/manifests/sample_hashes.sha256,sample_hashes.sha256,1455,2daeb194b8fe3ad5d7dd2dc4496b385bc7050c6cf905cd7b6798c5c7790cd77f,EXISTING_PROVENANCE_SOURCE,Stage02,FROZEN_OR_HASHED,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0008,stage_02_Particle_Interaction_Operator/03_dataset/manifests/dataset_manifest.json,dataset_manifest.json,3360,923cb45de72692670a0ced9808df41b697b3f81fb95a2b84794b773d13a845e7,EXISTING_PROVENANCE_SOURCE,Stage02,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0009,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/freeze/stage02mq_execution_freeze_manifest.json,stage02mq_execution_freeze_manifest.json,21833,695960fb5fa040b0842fe93f3875a84f95494d9153f5a11d267f6730d30cb3bd,EXISTING_PROVENANCE_SOURCE,Stage02,FROZEN_OR_HASHED,Index entry only; the referenced existing manifest remains the source of truth.
MANIFEST-0010,stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/manifests/stage02mq_run_manifest.json,stage02mq_run_manifest.json,158716,98f0ccce3ef8e08286ac2222db3c225f71064deda5f1cbcf22a039b2204c1efb,EXISTING_PROVENANCE_SOURCE,Stage02,SEE_SOURCE_MANIFEST,Index entry only; the referenced existing manifest remains the source of truth.
