field,value
reference_roles[0][0],analytic closure
reference_roles[0][1],VERIFIED
reference_roles[1][0],exact trajectory
reference_roles[1][1],QUALIFIED
reference_roles[2][0],DOP853 tolerance audit
reference_roles[2][1],QUALIFIED
reference_roles[3][0],finite-resolution V2
reference_roles[3][1],NOT QUALIFIED
mms.MMS_A[0].N,16
mms.MMS_A[0].dx,0.125
mms.MMS_A[0].errors.density,0.00040639822536474253
mms.MMS_A[0].errors.position,8.618407597633834e-05
mms.MMS_A[0].errors.pressure,0.162559290145897
mms.MMS_A[0].errors.velocity,0.006811741501805772
mms.MMS_A[0].hard_status,PASS
mms.MMS_A[0].run_id,f5_space_a_n16
mms.MMS_A[1].N,24
mms.MMS_A[1].dx,0.08333333333333333
mms.MMS_A[1].errors.density,0.00020905762354456406
mms.MMS_A[1].errors.position,4.8355561716693443e-05
mms.MMS_A[1].errors.pressure,0.08362304941782563
mms.MMS_A[1].errors.velocity,0.003680241376619745
mms.MMS_A[1].hard_status,PASS
mms.MMS_A[1].run_id,f5_space_a_n24
mms.MMS_A[2].N,32
mms.MMS_A[2].dx,0.0625
mms.MMS_A[2].errors.density,0.00011561546792113654
mms.MMS_A[2].errors.position,3.458818350340058e-05
mms.MMS_A[2].errors.pressure,0.04624618716845462
mms.MMS_A[2].errors.velocity,0.002593997366237996
mms.MMS_A[2].hard_status,PASS
mms.MMS_A[2].run_id,f5_space_a_n32
mms.MMS_A[3].N,48
mms.MMS_A[3].dx,0.041666666666666664
mms.MMS_A[3].errors.density,6.354374925153564e-05
mms.MMS_A[3].errors.position,1.841573028873427e-05
mms.MMS_A[3].errors.pressure,0.025417499700614257
mms.MMS_A[3].errors.velocity,0.0013563770078318742
mms.MMS_A[3].hard_status,PASS
mms.MMS_A[3].run_id,f5_space_a_n48
mms.MMS_B[0].N,16
mms.MMS_B[0].dx,0.125
mms.MMS_B[0].errors.density,0.00041634595696465963
mms.MMS_B[0].errors.position,8.627800039675982e-05
mms.MMS_B[0].errors.pressure,0.16653838278586386
mms.MMS_B[0].errors.velocity,0.006825446378759745
mms.MMS_B[0].hard_status,PASS
mms.MMS_B[0].run_id,f5_space_b_n16
mms.MMS_B[1].N,24
mms.MMS_B[1].dx,0.08333333333333333
mms.MMS_B[1].errors.density,0.00021190202381569617
mms.MMS_B[1].errors.position,4.840908120485662e-05
mms.MMS_B[1].errors.pressure,0.08476080952627847
mms.MMS_B[1].errors.velocity,0.0036883498757485423
mms.MMS_B[1].hard_status,PASS
mms.MMS_B[1].run_id,f5_space_b_n24
mms.MMS_B[2].N,32
mms.MMS_B[2].dx,0.0625
mms.MMS_B[2].errors.density,0.00011721992768086766
mms.MMS_B[2].errors.position,3.462604581303427e-05
mms.MMS_B[2].errors.pressure,0.046887971072347066
mms.MMS_B[2].errors.velocity,0.0025996762605600956
mms.MMS_B[2].hard_status,PASS
mms.MMS_B[2].run_id,f5_space_b_n32
mms.MMS_B[3].N,48
mms.MMS_B[3].dx,0.041666666666666664
mms.MMS_B[3].errors.density,6.422003280091577e-05
mms.MMS_B[3].errors.position,1.8437233490784202e-05
mms.MMS_B[3].errors.pressure,0.02568801312036631
mms.MMS_B[3].errors.velocity,0.001359664242983002
mms.MMS_B[3].hard_status,PASS
mms.MMS_B[3].run_id,f5_space_b_n48
zero_counts.passed,288
zero_counts.required,288
zero_counts.pass,True
rk2_counts.passed,48
rk2_counts.required,48
rk2_counts.pass,True
d0_diagnostic_max_l2[0],2.7497875170826774e-10
d0_diagnostic_max_l2[1],5.517416102023323e-10
d0_diagnostic_max_l2[2],1.1177424984112541e-09
d0_diagnostic_max_l2[3],2.348976153537421e-09
d0_diagnostic_max_l2[4],2.018068174782348e-09
d0_diagnostic_max_l2[5],4.036339457766141e-09
d0_diagnostic_max_l2[6],8.06996037900396e-09
d0_diagnostic_max_l2[7],1.6100682735573067e-08
d0_diagnostic_max_l2[8],2.7289506331144288e-09
d0_diagnostic_max_l2[9],5.457373091300106e-09
d0_diagnostic_max_l2[10],1.0904118887305467e-08
d0_diagnostic_max_l2[11],2.169764076082846e-08
d0_diagnostic_max_l2[12],2.15742341077708e-09
d0_diagnostic_max_l2[13],4.313542377650947e-09
d0_diagnostic_max_l2[14],8.615379755481115e-09
d0_diagnostic_max_l2[15],1.7132197948385628e-08
d0_diagnostic_max_l2[16],2.1599795854298625e-09
d0_diagnostic_max_l2[17],4.318614918696418e-09
d0_diagnostic_max_l2[18],8.625332349049863e-09
d0_diagnostic_max_l2[19],1.7151068274054768e-08
d0_diagnostic_max_l2[20],2.1616786219990093e-09
d0_diagnostic_max_l2[21],4.32199528122031e-09
d0_diagnostic_max_l2[22],8.63198748704684e-09
d0_diagnostic_max_l2[23],1.7163683166727225e-08
topology.s[0],0.0
topology.s[1],0.000244140625
topology.s[2],0.00048828125
topology.s[3],0.000732421875
topology.s[4],0.0009765625
topology.s[5],0.001220703125
topology.s[6],0.00146484375
topology.s[7],0.001708984375
topology.s[8],0.001953125
topology.s[9],0.002197265625
topology.s[10],0.00244140625
topology.s[11],0.002685546875
topology.s[12],0.0029296875
topology.s[13],0.003173828125
topology.s[14],0.00341796875
topology.s[15],0.003662109375
topology.s[16],0.00390625
topology.s[17],0.004150390625
topology.s[18],0.00439453125
topology.s[19],0.004638671875
