figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600611.jsonl,sha256:c33445675d0152d31a6985c6b6ae70953f4e1edcb35246e9757356211b098abe,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600611.jsonl,sha256:6c1714a66864a78915b43b184e89e3f54bd8b2b225dd440354708eabb7791b96,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600611/run_summary.json,sha256:12b6641eb87346f6c3d2bea026d2c7a276f5f2f6f9b9a85fac67348152040aa7,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600612.jsonl,sha256:325122faadb4c805efa6b3b2170be9cb308b44a0b9982f93d2a3ae9eb66a7510,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600612.jsonl,sha256:2574fd7ce2242168de32ae032ccc47621f5c4d9149988f51379c0dba085aeb2e,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600612/run_summary.json,sha256:9448043371c91e0823a0791136f2bf1a4888dff3530f5580171975dd6790aaf3,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D1_seed20600613.jsonl,sha256:e9c9bebb4b3191afc29f5bde09fb7eddbc51aecdf1ca5872fc4d32001f85caf5,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D1_seed20600613.jsonl,sha256:263775fae764a8cb5a66d4db106a41f322d8029a4ca8ada666bedf312aedc12d,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D1_seed20600613/run_summary.json,sha256:545f1aff109d68d3a1fb826be58c990ee8bf8d36776c4df07fd7b4e41b1e514f,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600611.jsonl,sha256:ba994ab39670c3ded975f758794b557bf32a2c8b5d54eee8aead102a5789b9e7,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600611.jsonl,sha256:e500d386298f85b62c606af09ca2e3f63aa9995c9b768c55524cae503d610b3d,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600611/run_summary.json,sha256:c6a39fbc52bd5a9d50ae67c6345358cbcf871992b43bba00b500421536c41e24,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600612.jsonl,sha256:ecf3743aa46b2a200d249c05a78d4a13d4d4e36d701668cbf3a024cebf4a82ed,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600612.jsonl,sha256:20b002e60d6373e61c20a9964381606985778ca4ea353487faec8baef78c4039,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
