panel,resolution,particle_count,layout,jitter_fraction,s0_mean_abs,s0_l2,s0_linf,s1_l2,s1_linf,operator,norm,error,observed_order_from_previous,force_type,state_case,density_perturbation,pair_force_residual_l2,pair_force_residual_linf,total_internal_force,characteristic_normalized_internal_force,total_internal_torque,viscous_power,density_offset,density_amplitude,minimum_pressure,maximum_pressure,integration_scheme,dt,numerical,exact,absolute_error,observed_order,ad_completed_cases,ad_pass,canary_rows_used,conservation_pass,disorder_status,evidence_complete,final_status,gci_justified,gci_statement,jitter10_median_velocity_error_multiplier,mach_complete,mach_density_nonworsening,prerequisite_pass,provenance_pass,resource_pass,schema_version,space_gates,space_pass,space_slope_modal,space_slope_velocity,stage02_started,time_gates,time_modal_errors,time_pass,time_self_difference_coarse,time_self_difference_fine,time_self_difference_series_coarse,time_self_difference_series_fine,time_velocity_errors,v3_started
a-b,16,256,regular,0.0,0.0004157493822276592,0.0004157493822276592,0.0004159212112426758,2.73822720053829e-09,1.259468263015151e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,24,576,regular,0.0,0.0004158318042755127,0.0004158319206908345,0.00041675567626953125,1.3605723658827173e-08,2.7492717435961822e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,32,1024,regular,0.0,0.00041574984788894653,0.0004157498187851161,0.0004159212112426758,1.3030009293757416e-09,6.170012056827545e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,16,256,jitter_05,0.05,0.007487163878977299,0.009243255481123924,0.027165532112121582,0.0011762353824451566,0.0037809594068676233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,24,576,jitter_05,0.05,0.007005825638771057,0.008717029355466366,0.025014817714691162,0.000746977748349309,0.002309763338416815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,32,1024,jitter_05,0.05,0.007333568297326565,0.009103583171963692,0.02729552984237671,0.0005366101977415383,0.0017212365055456758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,16,256,jitter_10,0.1,0.014547029510140419,0.017911165952682495,0.05071735382080078,0.002107231179252267,0.005596170201897621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,24,576,jitter_10,0.1,0.0140277910977602,0.017624709755182266,0.062102675437927246,0.0014527963940054178,0.00555449491366744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,32,1024,jitter_10,0.1,0.015230206772685051,0.019146494567394257,0.078213632106781,0.0011093358043581247,0.004207118880003691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,16,256,jitter_05,0.05,,,,,,generic_sph_divergence,l1,1.1680903434753418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
