panel,run_id,status,completed_steps,final_time,finite,default_gc,no_grad,topology_pass,max_pressure_pair_residual,max_viscosity_pair_residual,max_viscous_power,current_rss_bytes,peak_rss_bytes,rss_quartile_increase_bytes,rss_relative_increase,step_time_ratio,minimum_system_available_fraction,policy_gate_pass,total_intercept,total_edge_coefficient,total_step_coefficient,total_step_ci95_lower,total_step_ci95_upper,total_edge_ci95_lower,total_edge_ci95_upper,total_robust_scale,total_observations,total_bootstrap_samples,unknown_intercept,unknown_edge_coefficient,unknown_step_coefficient,unknown_step_ci95_lower,unknown_step_ci95_upper,unknown_edge_ci95_lower,unknown_edge_ci95_upper,unknown_robust_scale,unknown_observations,unknown_bootstrap_samples,total_adjusted_step_near_zero,total_step_ci_includes_zero,unknown_adjusted_step_near_zero,unknown_step_ci_includes_zero,pass,control,sample_count,unique_directed_edge_counts,directed_edge_count,live_tensor_count_delta,unknown_live_bytes_delta,old_survivor_bytes_delta,repeat,iterations,tensor_count_delta,unique_storage_bytes_delta,fixture_tensor_count,fixture_unique_storage_count,fixture_unique_storage_bytes,view_base_deduplication_pass,inventory_self_retention_pass,rows,bitwise_and_finite_rows,maximum_absolute_difference
a-b,stage01dp_canary_r1,PASS,1600,0.19999999999999182,True,True,True,True,2.6104379709827384e-18,4.565966847116971e-18,-0.657299791882664,308183040,308183040,20963328.0,0.0729912433326678,1.0089003425153997,0.38274288177490234,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,stage01dp_canary_r2,PASS,1600,0.19999999999999182,True,True,True,True,2.6104379709827384e-18,4.565966847116971e-18,-0.657299791882664,308658176,308658176,19759104.0,0.06840224604389995,1.007240688484484,0.3800983428955078,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,stage01dp_canary_r3,PASS,1600,0.19999999999999182,True,True,True,True,2.6104379709827384e-18,4.565966847116971e-18,-0.657299791882664,300957696,300957696,17661952.0,0.062348178137651825,1.006605503045955,0.37605762481689453,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,stage01dr2_d_r1,,,,,,,,,,,,,,,,,,131136.0000000398,47.99999999999949,1.5524179954147517e-12,-5.311281780272223e-12,6.733571747296883e-12,47.999999999998586,48.00000000000144,6.903894245624542e-10,45,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,45,500,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
c,stage01dr2_d_r2,,,,,,,,,,,,,,,,,,131136.0000000398,47.99999999999949,1.5524179954147517e-12,-7.460523820580966e-12,6.7583212243764146e-12,47.99999999999823,48.000000000001265,6.903894245624542e-10,45,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,45,500,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
c,stage01dr2_d_r3,,,,,,,,,,,,,,,,,,131136.0000000398,47.99999999999949,1.5524179954147517e-12,-5.4612310997489074e-12,4.749891646613047e-12,47.999999999998614,48.0000000000011,6.903894245624542e-10,45,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,45,500,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
c,stage01dr2_d_confirm_2000,,,,,,,,,,,,,,,,,,131136.00000007747,47.99999999999902,1.27637498105874e-12,-2.4405501063662435e-12,2.6450963813161396e-12,47.999999999998614,48.00000000000166,6.903894245624542e-10,85,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,85,500,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
d,stage01dr2_b_r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,B,45,1,82944,0,0,0,,,,,,,,,,,,
d,stage01dr2_b_r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,B,45,1,82944,0,0,0,,,,,,,,,,,,
d,stage01dr2_b_r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,B,45,1,82944,0,0,0,,,,,,,,,,,,
