panel,run_id,resolution,support_ratio,velocity_relative_l2,modal_error,kinetic_energy_error,status,dt,peak_rss_bytes,wall_time_seconds,layout,seed,density_fluctuation,momentum_drift,minimum_separation_over_dx,mean_neighbor_count,failure_type,ad_completed_cases,ad_pass,canary_rows_used,conservation_pass,disorder_status,evidence_complete,final_status,gci_justified,gci_statement,jitter10_median_velocity_error_multiplier,mach_complete,mach_density_nonworsening,prerequisite_pass,provenance_pass,resource_pass,schema_version,space_gates,space_pass,space_slope_modal,space_slope_velocity,stage02_started,time_gates,time_modal_errors,time_pass,time_self_difference_coarse,time_self_difference_fine,time_self_difference_series_coarse,time_self_difference_series_fine,time_velocity_errors,v3_started
a-b,stage01d2_s_n16_inc,16,4.0,0.01865615480046095,0.002550509801116485,0.0059537335716813855,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,stage01d2_s_n24_inc,24,4.5,0.004906640448520584,0.0016072477529518459,0.003284279398274692,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-b,stage01d2_t_n32_dt1p25e4,32,5.0,0.01498544527448892,0.0011821416163716458,0.0025234233918977056,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-d,stage01d2_t_n32_dt1e3,,,0.015718080795089264,0.0011930012666233614,0.0025628230138463604,PASS,0.001,331120640,17.732303457974922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-d,stage01d2_t_n32_dt5e4,,,0.015156228567847272,0.0011847299148405321,0.002532629450333279,PASS,0.0005,339902464,33.36335845803842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-d,stage01d2_t_n32_dt2p5e4,,,0.015019148461665084,0.0011826622109748497,0.002525253820042872,PASS,0.00025,339001344,64.47706829098752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c-d,stage01d2_t_n32_dt1p25e4,,,0.01498544527448892,0.0011821416163716458,0.0025234233918977056,PASS,0.000125,334462976,127.70256108295871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_regular,,,0.019051732145121715,0.000754134086710434,0.0018009766072755173,PASS,,338460672,,regular,0,0.0004468636984357712,2.5792065744824317e-17,0.7364349851576275,78.07589285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j05_s1,,,0.10024077135343075,0.0006510222405653465,0.01044717497411396,FAIL,,540114944,,jitter_05,20261001,0.0035524392846853882,1.26732452492824e-17,0.6949268403069132,77.82114955357143,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j05_s2,,,0.10866472900933127,0.0007579991003682229,0.012494864261277994,FAIL,,549044224,,jitter_05,20261019,0.004028892165706842,1.8407604951333855e-17,0.6654984503316976,77.81519717261905,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j05_s3,,,0.1060065877220418,0.0007169890863658601,0.011648459879961659,FAIL,,526893056,,jitter_05,20261037,0.003914270353288548,1.6598609439156833e-17,0.6960968809468291,77.83668154761905,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j10_s4,,,0.17116944773707451,0.001536340379371337,0.02998770217503577,FAIL,,521961472,,jitter_10,20261061,0.006515053968422911,1.3895669857978997e-17,0.6076589889265523,77.88151041666667,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j10_s5,,,0.1871060325628093,0.00034856547496264767,0.03317152554579106,FAIL,,520814592,,jitter_10,20261079,0.006259913251590729,2.782300488232911e-17,0.6329058027143573,77.86839657738095,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,stage01d2_dis_j10_s6,,,0.17789926873379658,0.0009245843522520669,0.03158855819904283,FAIL,,516145152,,jitter_10,20261103,0.007819408932600747,1.3923795431893276e-17,0.579261090074289,77.89778645833333,ResourceGateFailure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
