figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261201/training_history.json,sha256:9ebccc2b15de2f2542b27ceccc14d1228ea362b90cf005896940ed0a571469ef,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261202/training_history.json,sha256:15bdd45dad7be54318f13fbd5d457c318bbe00684403b2333a06d34498474c73,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261203/training_history.json,sha256:6920f8e9f2723206957feba59177be57e18c0f537931b7e2d87187c120ba91f2,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261201/training_history.json,sha256:1ee639fbc884001b5699680487f6013293140ce33cbab11629989d73e7a0e332,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261202/training_history.json,sha256:1854cbb4d7751bac591b732be2bb4a1c4849d5e35ef0a918d0d31fdc3ea8e776,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261203/training_history.json,sha256:ab4a29cbf88942b6b365e02f69eb6e09c3f52e37d9cf2d07fd56cce6e2d0da75,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261201/training_history.json,sha256:0d4b0f626def91f8ea115d17d9fcd12f15a3e13b2fac4d121c7fd5230081cc26,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261202/training_history.json,sha256:69d86e3d9eae9b1f62dfac87b27716107a1fcf2f75240e64d5a420b73f292889,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261203/training_history.json,sha256:8f20f292b50a6332375f23b73b27d8b5219c79c914dadfc77f4fd328953ae6da,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(d),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261211/training_history.json,sha256:21d22947c4548a22257712b77a9f8715f93014883e9e9cdb6c7d5d11c05e4e66,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
